#Resampling
#Console: python /store/home/mad/anaconda2/envs/python3/bin/transit resampling 2018_Carey_A-H/Rv_1.wig,2018_Carey_A-H/Rv_2.wig,2018_Carey_A-H/Rv_3.wig 2018_Carey_A-H/663_1.wig,2018_Carey_A-H/663_2.wig /quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/H37Rv.prot_table /quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/Results/result_resampling_carey_663_vs_carey_rv_LOESS.txt -l
#Control Data: b'2018_Carey_A-H/Rv_1.wig,2018_Carey_A-H/Rv_2.wig,2018_Carey_A-H/Rv_3.wig'
#Experimental Data: b'2018_Carey_A-H/663_1.wig,2018_Carey_A-H/663_2.wig'
#Annotation path: b'/quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/H37Rv.prot_table' 
#Time: 2109.9459793567657
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	Sum Ctrl	Sum Exp	Delta Mean	p-value	Adj. p-value
Rv1144	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	11	158.2	209.7	0.41	5219.7	4612.76	51.5	0.45630	0.92394
Rv1145	mmpL13a	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL13A 	11	131.8	230.3	0.81	4348.8	5066.54	98.5	0.50620	0.94344
Rv1146	mmpL13b	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL13B 	23	280.0	303.8	0.12	19320.2	13976.21	23.8	0.72230	0.99595
Rv1147	-	hypothetical protein Rv1147 	9	71.8	121.9	0.76	1939.5	2193.85	50.0	0.16710	0.71384
Rv1148c	-	hypothetical protein Rv1148c 	23	141.4	124.3	-0.19	9756.9	5717.96	-17.1	0.58800	0.96820
Rv1149	-	POSSIBLE TRANSPOSASE 	6	96.7	93.3	-0.05	1740.0	1119.32	-3.4	0.93490	1.00000
Rv1151c	-	NAD-dependent deacetylase 	9	266.3	458.9	0.78	7191.1	8259.58	192.5	0.33220	0.90516
Rv1152	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	146.7	117.8	-0.32	2200.8	1177.94	-28.9	0.62650	0.97682
Rv1153c	omt	PROBABLE O-METHYLTRANSFERASE OMT 	19	149.8	237.7	0.67	8539.0	9033.09	87.9	0.13510	0.70459
Rv1154c	-	hypothetical protein Rv1154c 	16	178.4	145.5	-0.29	8564.9	4657.21	-32.9	0.45120	0.92394
Rv1155	-	hypothetical protein Rv1155 	11	178.5	158.4	-0.17	5889.3	3483.91	-20.1	0.66890	0.98519
Rv1156	-	hypothetical protein Rv1156 	12	119.8	203.4	0.76	4313.7	4881.16	83.6	0.35570	0.90731
Rv1157c	-	CONSERVED HYPOTHETICAL ALA-, PRO-RICH PROTEIN 	8	84.4	68.5	-0.30	2025.2	1096.24	-15.9	0.68830	0.98803
Rv1158c	-	CONSERVED HYPOTHETICAL ALA-, PRO-RICH PROTEIN 	11	126.8	41.8	-1.60	4184.6	920.55	-85.0	0.06170	0.47989
Rv1159	pimE	mannosyltransferase 	28	20.0	29.4	0.56	1677.3	1645.61	9.4	0.27940	0.86183
Rv1159A	phhB	pterin-4-alpha-carbinolamine dehydratase 	13	86.1	47.4	-0.86	3359.0	1232.32	-38.7	0.24290	0.82028
Rv1160	mutT2	PROBABLE MUTATOR PROTEIN MUTT (7,8-dihydro-8-oxoguanine-triphosphatase) (8-OXO-DGTPASE) 	4	110.7	106.8	-0.05	1328.9	854.03	-4.0	0.95210	1.00000
Rv1161	narG	PROBABLE RESPIRATORY NITRATE REDUCTASE (ALPHA CHAIN) NARG 	75	84.7	77.7	-0.12	19050.9	11653.89	-7.0	0.59610	0.97153
Rv1162	narH	PROBABLE RESPIRATORY NITRATE REDUCTASE (BETA CHAIN) NARH 	35	148.1	141.5	-0.07	15547.4	9904.42	-6.6	0.82430	1.00000
Rv1163	narJ	PROBABLE RESPIRATORY NITRATE REDUCTASE (DELTA CHAIN) NARJ 	15	92.0	145.8	0.66	4141.5	4374.74	53.8	0.19900	0.77467
Rv1164	narI	PROBABLE RESPIRATORY NITRATE REDUCTASE (GAMMA CHAIN) NARI 	18	172.4	173.0	0.00	9311.2	6227.23	0.5	0.99090	1.00000
Rv1165	typA	POSSIBLE GTP-BINDING TRANSLATION ELONGATION FACTOR TYPA (TYROSINE PHOSPHORYLATED PROTEIN A) (GTP-BINDING PROTEIN) 	15	173.0	175.9	0.02	7785.6	5276.98	2.9	0.94930	1.00000
Rv1166	lpqW	PROBABLE CONSERVED LIPOPROTEIN LPQW 	23	0.0	0.2	0.21	0.0	7.15	0.2	0.39610	0.90731
Rv1167c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	9	56.1	69.1	0.30	1514.1	1243.65	13.0	0.71830	0.99595
Rv1168c	PPE17	PPE FAMILY PROTEIN 	16	161.6	136.0	-0.25	7756.1	4351.20	-25.6	0.53680	0.95348
Rv1169c	PE11	PE FAMILY PROTEIN 	3	260.1	167.5	-0.63	2340.5	1005.15	-92.5	0.52720	0.95052
Rv1170	mshB	N-Acetyl-1-D-myo-Inosityl-2-Amino-2-Deoxy-alpha- D-Glucopyranoside Deacetylase mshB (GlcNAc-Ins deacetylase) 	11	128.9	177.9	0.47	4253.2	3914.67	49.1	0.37400	0.90731
Rv1171	-	hypothetical protein Rv1171 	6	153.2	198.6	0.37	2758.3	2383.01	45.3	0.62840	0.97682
Rv1172c	PE12	PE FAMILY PROTEIN 	15	152.9	131.7	-0.22	6879.9	3949.77	-21.2	0.64040	0.97878
Rv1173	fbiC	FO synthase 	43	64.9	80.6	0.31	8372.1	6935.80	15.7	0.39970	0.90731
Rv1174c	TB8.4	LOW MOLECULAR WEIGHT T-CELL ANTIGEN TB8.4 	8	324.5	431.3	0.41	7787.6	6900.44	106.8	0.21490	0.79247
Rv1175c	fadH	PROBABLE NADPH DEPENDENT 2,4-DIENOYL-COA REDUCTASE FADH (2,4-dienoyl coenzyme A reductase) (4-enoyl-CoA reductase) 	28	113.3	163.6	0.53	9514.7	9162.45	50.3	0.26090	0.83681
Rv1176c	-	hypothetical protein Rv1176c 	15	85.4	147.6	0.79	3842.1	4427.51	62.2	0.08660	0.58665
Rv1177	fdxC	PROBABLE FERREDOXIN FDXC 	7	0.0	1.5	1.34	0.0	21.37	1.5	0.05280	0.45502
Rv1178	-	N-succinyldiaminopimelate aminotransferase 	20	101.8	157.8	0.63	6108.4	6310.26	55.9	0.14840	0.70459
Rv1179c	-	hypothetical protein Rv1179c 	41	107.1	106.5	-0.01	13178.9	8734.08	-0.6	0.97600	1.00000
Rv1180	pks3	PROBABLE POLYKETIDE BETA-KETOACYL SYNTHASE PKS3 	25	44.5	14.1	-1.66	3336.7	703.58	-30.4	0.02050	0.27916
Rv1181	pks4	PROBABLE POLYKETIDE BETA-KETOACYL SYNTHASE PKS4 	70	46.9	20.2	-1.21	9841.3	2834.15	-26.6	0.00760	0.14865
Rv1182	papA3	PROBABLE CONSERVED POLYKETIDE SYNTHASE ASSOCIATED PROTEIN PAPA3 	40	30.0	17.6	-0.77	3600.8	1407.78	-12.4	0.07720	0.55005
Rv1183	mmpL10	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL10 	52	39.0	16.7	-1.22	6080.5	1740.22	-22.2	0.00200	0.05356
Rv1184c	-	POSSIBLE EXPORTED PROTEIN 	22	39.4	12.5	-1.65	2603.6	551.26	-26.9	0.00630	0.13092
Rv1185c	fadD21	acyl-CoA synthetase 	32	58.3	17.3	-1.76	5600.5	1105.66	-41.1	0.00060	0.01900
Rv1186c	-	hypothetical protein Rv1186c 	18	22.5	61.6	1.45	1213.8	2215.87	39.1	0.16420	0.70905
Rv1187	rocA	PROBABLE PYRROLINE-5-CARBOXYLATE DEHYDROGENASE ROCA 	24	19.2	22.9	0.26	1380.3	1100.39	3.8	0.75000	0.99595
Rv1188	-	PROBABLE PROLINE DEHYDROGENASE 	22	25.6	23.4	-0.13	1689.0	1027.56	-2.2	0.85550	1.00000
Rv1189	sigI	RNA polymerase sigma factor SigI 	8	52.6	53.9	0.03	1263.2	861.88	1.2	0.98680	1.00000
Rv1190	-	hypothetical protein Rv1190 	9	107.6	61.7	-0.80	2905.5	1110.44	-45.9	0.21700	0.79653
Rv1191	-	hypothetical protein Rv1191 	9	160.2	275.9	0.78	4326.4	4966.07	115.7	0.16590	0.71195
Rv1192	-	hypothetical protein Rv1192 	14	132.2	125.6	-0.07	5554.1	3517.61	-6.6	0.88160	1.00000
Rv1193	fadD36	acyl-CoA synthetase 	21	33.8	13.6	-1.32	2131.2	570.02	-20.3	0.06540	0.49704
Rv1194c	-	hypothetical protein Rv1194c 	18	84.3	58.3	-0.53	4550.7	2099.15	-26.0	0.27940	0.86183
Rv1195	PE13	PE FAMILY PROTEIN 	5	236.3	348.2	0.56	3543.9	3481.98	111.9	0.39750	0.90731
Rv1196	PPE18	PPE FAMILY PROTEIN 	10	245.4	237.6	-0.05	7360.9	4752.64	-7.7	0.92710	1.00000
Rv1197	esxK	ESAT-6 LIKE PROTEIN ESXK (ESAT-6 LIKE PROTEIN 3) 	3	151.8	111.4	-0.45	1365.8	668.12	-40.4	0.61330	0.97458
Rv1198	esxL	PUTATIVE ESAT-6 LIKE PROTEIN ESXL (ESAT-6 LIKE PROTEIN 4) 	4	182.5	192.2	0.07	2190.1	1537.65	9.7	0.92490	1.00000
Rv1199c	-	POSSIBLE TRANSPOSASE 	16	107.6	116.5	0.11	5165.0	3728.70	8.9	0.75780	0.99595
Rv1200	-	PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN 	29	203.1	214.1	0.08	17666.5	12418.91	11.1	0.83800	1.00000
Rv1201c	-	PROBABLE TRANSFERASE 	11	0.0	0.4	0.45	0.0	8.02	0.4	0.40100	0.90731
Rv1202	dapE	dipeptidase 	16	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1203c	-	hypothetical protein Rv1203c 	8	95.5	224.6	1.23	2293.2	3593.85	129.1	0.09690	0.62819
Rv1204c	-	hypothetical protein Rv1204c 	16	175.2	207.3	0.24	8408.2	6635.05	32.2	0.45260	0.92394
Rv1205	-	hypothetical protein Rv1205 	13	166.0	134.9	-0.30	6474.5	3506.83	-31.1	0.57430	0.96199
Rv1206	fadD6	acyl-CoA synthetase 	37	117.3	177.5	0.60	13025.7	13134.51	60.1	0.09440	0.61848
Rv1207	folP2	PROBABLE DIHYDROPTEROATE SYNTHASE 2 FOLP2 (DHPS 2) (Dihydropteroate pyrophosphorylase 2) 	10	80.1	108.0	0.43	2403.9	2159.75	27.9	0.49220	0.93838
Rv1208	-	hypothetical protein Rv1208 	14	1.4	1.9	0.46	57.7	53.08	0.5	0.65790	0.98519
Rv1209	-	hypothetical protein Rv1209 	5	184.9	301.8	0.71	2773.4	3018.35	116.9	0.27110	0.85128
Rv1210	tagA	PROBABLE DNA-3-METHYLADENINE GLYCOSYLASE I TAGA (TAG I) (3-methyladenine-DNA glycosylase I, constitutive) (DNA-3-methyladenine glycosidase I ) 	11	148.8	112.6	-0.40	4910.4	2478.10	-36.2	0.47860	0.93412
Rv1211	-	hypothetical protein Rv1211 	4	40.4	33.6	-0.27	484.2	268.51	-6.8	0.84220	1.00000
Rv1212c	-	PUTATIVE GLYCOSYL TRANSFERASE 	32	113.8	113.9	0.00	10927.4	7287.10	0.0	0.99930	1.00000
Rv1213	glgC	glucose-1-phosphate adenylyltransferase 	30	92.6	118.9	0.36	8336.6	7134.97	26.3	0.41010	0.90972
Rv1214c	PE14	PE FAMILY PROTEIN 	5	67.0	51.6	-0.38	1004.4	516.10	-15.3	0.53670	0.95348
Rv1215c	-	hypothetical protein Rv1215c 	26	71.5	60.5	-0.24	5575.1	3144.33	-11.0	0.58730	0.96820
Rv1216c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	19	163.9	127.5	-0.36	9342.6	4844.47	-36.4	0.49140	0.93838
Rv1217c	-	PROBABLE TETRONASIN-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER 	20	56.6	33.4	-0.76	3396.7	1335.47	-23.2	0.44830	0.92394
Rv1218c	-	PROBABLE TETRONASIN-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	6	76.4	33.1	-1.21	1375.7	397.28	-43.3	0.18470	0.74818
Rv1219c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	10	103.0	74.5	-0.47	3088.6	1489.13	-28.5	0.58760	0.96820
Rv1220c	-	PROBABLE METHYLTRANSFERASE 	10	158.7	62.8	-1.34	4761.6	1256.11	-95.9	0.03760	0.38174
Rv1221	sigE	RNA polymerase sigma factor SigE 	17	37.0	7.9	-2.23	1884.8	268.36	-29.1	0.21360	0.79135
Rv1222	-	hypothetical protein Rv1222 	2	121.0	297.9	1.30	726.1	1191.56	176.9	0.45190	0.92394
Rv1223	htrA	PROBABLE SERINE PROTEASE HTRA (DEGP PROTEIN) 	22	32.0	14.8	-1.12	2111.5	649.87	-17.2	0.36250	0.90731
Rv1224	tatB	sec-independent translocase 	5	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1225c	-	hypothetical protein Rv1225c 	6	189.5	235.2	0.31	3411.8	2822.23	45.6	0.52540	0.95052
Rv1226c	-	PROBABLE TRANSMEMBRANE PROTEIN 	15	166.8	195.2	0.23	7507.8	5855.33	28.3	0.67660	0.98519
Rv1227c	-	PROBABLE TRANSMEMBRANE PROTEIN 	6	78.1	189.8	1.28	1405.8	2277.71	111.7	0.11750	0.68044
Rv1228	lpqX	PROBABLE LIPOPROTEIN LPQX 	9	264.6	316.9	0.26	7144.0	5704.32	52.3	0.53640	0.95348
Rv1229c	mrp	PROBABLE MRP-RELATED PROTEIN MRP 	16	12.3	4.8	-1.36	591.1	153.88	-7.5	0.37860	0.90731
Rv1230c	-	POSSIBLE MEMBRANE PROTEIN 	20	126.7	117.5	-0.11	7604.4	4700.85	-9.2	0.80170	0.99955
Rv1231c	-	PROBABLE MEMBRANE PROTEIN 	7	106.2	222.0	1.06	2230.4	3107.56	115.8	0.05910	0.47658
Rv1232c	-	hypothetical protein Rv1232c 	11	224.9	300.7	0.42	7420.7	6616.23	75.9	0.39540	0.90731
Rv1233c	-	hypothetical protein Rv1233c 	19	111.5	92.4	-0.27	6356.6	3511.12	-19.1	0.64520	0.98206
Rv1234	-	PROBABLE TRANSMEMBRANE PROTEIN 	9	73.3	74.3	0.02	1979.6	1337.91	1.0	0.97790	1.00000
Rv1235	lpqY	PROBABLE SUGAR-BINDING LIPOPROTEIN LPQY 	30	69.4	46.9	-0.57	6250.1	2812.01	-22.6	0.18070	0.73797
Rv1236	sugA	PROBABLE SUGAR-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER SUGA 	19	83.2	77.0	-0.11	4740.1	2926.36	-6.2	0.81440	1.00000
Rv1237	sugB	PROBABLE SUGAR-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER SUGB 	12	28.0	26.4	-0.08	1009.2	634.68	-1.6	0.92180	1.00000
Rv1238	sugC	PROBABLE SUGAR-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER SUGC 	25	58.2	58.6	0.01	4363.6	2932.25	0.5	0.98150	1.00000
Rv1239c	corA	POSSIBLE MAGNESIUM AND COBALT TRANSPORT TRANSMEMBRANE PROTEIN CORA 	25	91.7	107.7	0.23	6877.2	5382.76	16.0	0.53770	0.95348
Rv1240	mdh	malate dehydrogenase 	5	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1241	-	hypothetical protein Rv1241 	1	57.8	281.0	2.28	173.3	561.96	223.2	0.09610	0.62616
Rv1242	-	hypothetical protein Rv1242 	9	139.4	140.2	0.01	3763.3	2524.17	0.9	0.98250	1.00000
Rv1243c	PE_PGRS23	PE-PGRS FAMILY PROTEIN 	19	107.6	162.8	0.60	6131.5	6186.67	55.2	0.11450	0.67006
Rv1244	lpqZ	PROBABLE LIPOPROTEIN LPQZ 	8	143.0	186.8	0.39	3432.1	2989.19	43.8	0.41730	0.91054
Rv1245c	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	14	138.2	149.6	0.11	5804.3	4188.94	11.4	0.80670	0.99961
Rv1246c	-	hypothetical protein Rv1246c 	7	161.3	179.4	0.15	3386.9	2511.32	18.1	0.81410	1.00000
Rv1247c	-	hypothetical protein Rv1247c 	6	55.3	48.7	-0.18	995.3	584.64	-6.6	0.76910	0.99595
Rv1248c	kgd	alpha-ketoglutarate decarboxylase 	46	6.1	36.3	2.57	845.9	3340.39	30.2	0.00000	0.00000
Rv1249c	-	POSSIBLE MEMBRANE PROTEIN 	12	258.5	256.1	-0.01	9305.3	6146.43	-2.4	0.98520	1.00000
Rv1250	-	PROBABLE DRUG-TRANSPORT INTEGRAL MEMBRANE PROTEIN 	31	100.2	95.5	-0.07	9322.4	5921.09	-4.7	0.85330	1.00000
Rv1251c	-	hypothetical protein Rv1251c 	61	65.3	54.9	-0.25	11958.6	6697.43	-10.5	0.41460	0.91016
Rv1252c	lprE	PROBABLE LIPOPROTEIN LPRE 	7	256.2	174.9	-0.55	5379.7	2448.20	-81.3	0.31970	0.89196
Rv1253	deaD	PROBABLE COLD-SHOCK DEAD-BOX PROTEIN A HOMOLOG DEAD (ATP-dependent RNA helicase deaD homolog) 	35	54.1	43.4	-0.32	5677.8	3035.46	-10.7	0.44150	0.92326
Rv1254	-	PROBABLE ACYLTRANSFERASE 	26	0.5	0.4	-0.23	38.1	21.66	-0.1	0.98540	1.00000
Rv1255c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	10	50.0	119.0	1.25	1498.9	2379.76	69.0	0.13730	0.70459
Rv1256c	cyp130	PROBA BLE CYTOCHROME P450 130 CYP130 	16	138.9	113.5	-0.29	6669.5	3631.23	-25.5	0.48130	0.93573
Rv1257c	-	PROBABLE OXIDOREDUCTASE 	16	78.8	91.2	0.21	3784.5	2917.19	12.3	0.63950	0.97868
Rv1258c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN 	22	115.3	114.8	-0.01	7609.0	5051.39	-0.5	0.98940	1.00000
Rv1259	-	hypothetical protein Rv1259 	14	36.8	40.1	0.12	1543.6	1121.86	3.3	0.93350	1.00000
Rv1260	-	hypothetical protein Rv1260 	28	32.4	17.4	-0.90	2720.9	972.23	-15.0	0.17740	0.73335
Rv1261c	-	hypothetical protein Rv1261c 	11	75.2	27.7	-1.44	2480.6	610.09	-47.4	0.06390	0.49149
Rv1262c	-	HYPOTHETICAL HIT-LIKE PROTEIN 	4	41.9	18.7	-1.17	502.5	149.28	-23.2	0.24750	0.82738
Rv1263	amiB2	amidase 	22	79.4	112.0	0.50	5240.3	4928.77	32.6	0.31880	0.89196
Rv1264	-	ADENYLYL CYCLASE (ATP PYROPHOSPHATE-LYASE) (ADENYLATE CYCLASE) 	13	126.5	204.5	0.69	4933.0	5317.51	78.0	0.28420	0.86980
Rv1265	-	hypothetical protein Rv1265 	11	11.9	17.2	0.53	393.2	378.72	5.3	0.63140	0.97682
Rv1266c	pknH	PROBABLE TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE H PKNH (PROTEIN KINASE H) (STPK H) 	29	142.8	136.5	-0.06	12420.0	7915.77	-6.3	0.83350	1.00000
Rv1267c	embR	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN EMBR 	20	124.7	116.4	-0.10	7480.5	4654.91	-8.3	0.81730	1.00000
Rv1268c	-	hypothetical protein Rv1268c 	11	179.7	147.3	-0.29	5929.7	3241.31	-32.4	0.61430	0.97458
Rv1269c	-	CONSERVED PROBABLE SECRETED PROTEIN 	8	125.3	203.0	0.70	3007.8	3247.57	77.6	0.16350	0.70885
Rv1270c	lprA	POSSIBLE LIPOPROTEIN LPRA 	11	32.7	38.1	0.22	1080.6	837.30	5.3	0.73590	0.99595
Rv1271c	-	CONSERVED HYPOTHETICAL SECRETED PROTEIN 	7	40.7	64.8	0.67	854.2	907.23	24.1	0.36780	0.90731
Rv1272c	-	PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER 	30	63.8	61.2	-0.06	5738.3	3674.06	-2.5	0.89070	1.00000
Rv1273c	-	PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER 	32	68.0	58.2	-0.22	6524.4	3723.35	-9.8	0.56990	0.96119
Rv1274	lprB	POSSIBLE LIPOPROTEIN LPRB 	4	24.9	6.0	-2.05	298.7	48.02	-18.9	0.62640	0.97682
Rv1275	lprC	POSSIBLE LIPOPROTEIN LPRC 	6	1.2	2.0	0.75	21.0	23.46	0.8	0.89920	1.00000
Rv1276c	-	hypothetical protein Rv1276c 	7	13.2	48.6	1.88	276.8	680.64	35.4	0.13300	0.70459
Rv1277	-	hypothetical protein Rv1277 	20	86.9	105.8	0.28	5213.5	4231.78	18.9	0.44350	0.92394
Rv1278	-	hypothetical protein Rv1278 	28	43.1	60.8	0.50	3616.2	3406.41	17.8	0.26820	0.84906
Rv1279	-	PROBABLE DEHYDROGENASE FAD flavoprotein GMC oxidoreductase 	30	73.6	122.2	0.73	6621.0	7331.42	48.6	0.04290	0.40947
Rv1280c	oppA	PROBABLE PERIPLASMIC OLIGOPEPTIDE-BINDING LIPOPROTEIN OPPA 	26	98.3	106.4	0.11	7668.8	5530.47	8.0	0.80830	1.00000
Rv1281c	oppD	PROBABLE OLIGOPEPTIDE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER OPPD 	28	21.4	17.2	-0.31	1795.3	962.84	-4.2	0.54600	0.95387
Rv1282c	oppC	PROBABLE OLIGOPEPTIDE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER OPPC 	16	36.5	39.1	0.10	1750.7	1251.83	2.6	0.86210	1.00000
Rv1283c	oppB	PROBABLE OLIGOPEPTIDE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER OPPB 	21	75.5	74.4	-0.02	4755.6	3126.81	-1.0	0.96540	1.00000
Rv1284	-	hypothetical protein Rv1284 	6	65.1	31.4	-1.05	1171.0	377.27	-33.6	0.46980	0.92981
Rv1285	cysD	sulfate adenylyltransferase subunit 2 	16	57.2	5.3	-3.43	2747.2	170.34	-51.9	0.00470	0.10361
Rv1286	cysN	bifunctional sulfate adenylyltransferase subunit 1/adenylylsulfate kinase protein 	34	81.7	13.6	-2.58	8331.8	926.71	-68.1	0.00000	0.00000
Rv1287	-	hypothetical protein Rv1287 	12	71.4	59.9	-0.25	2570.2	1437.08	-11.5	0.63600	0.97714
Rv1288	-	hypothetical protein Rv1288 	33	145.5	189.5	0.38	14406.4	12509.55	44.0	0.09490	0.62074
Rv1289	-	hypothetical protein Rv1289 	10	100.2	157.1	0.65	3004.6	3142.52	57.0	0.56430	0.95974
Rv1290A	-	hypothetical protein Rv1290A 	7	82.9	164.1	0.99	1740.8	2297.94	81.2	0.65280	0.98438
Rv1290c	-	hypothetical protein Rv1290c 	34	172.2	275.3	0.68	17568.0	18720.66	103.1	0.02810	0.32404
Rv1291c	-	CONSERVED HYPOTHETICAL SECRETED PROTEIN 	3	154.3	21.4	-2.85	1389.0	128.29	-133.0	0.17140	0.71912
Rv1292	argS	arginyl-tRNA synthetase 	34	0.0	0.0	-0.04	3.1	0.00	-0.0	1.00000	1.00000
Rv1293	lysA	PROBABLE DIAMINOPIMELATE DECARBOXYLASE LYSA (DAP DECARBOXYLASE) 	27	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1294	thrA	homoserine dehydrogenase 	24	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1295	thrC	threonine synthase 	20	1.2	0.9	-0.50	74.3	34.93	-0.4	0.77220	0.99634
Rv1296	thrB	homoserine kinase 	15	0.1	0.2	1.82	2.9	6.79	0.2	0.75800	0.99595
Rv1297	rho	transcription termination factor Rho 	22	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1298	rpmE	50S ribosomal protein L31 	6	0.0	17.8	4.24	0.0	214.02	17.8	0.00030	0.01078
Rv1299	prfA	peptide chain release factor 1 	14	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1300	hemK	PROBABLE HEMK PROTEIN HOMOLOG HEMK 	14	0.1	15.3	6.70	6.2	427.06	15.1	0.00000	0.00000
Rv1301	-	hypothetical protein Rv1301 	10	0.2	3.0	3.88	6.0	59.08	2.8	0.00910	0.16656
Rv1302	rfe	PROBABLE UNDECAPAPRENYL-PHOSPHATE ALPHA-N-ACETYLGLUCOSAMINYLTRANSFERASE RFE (UDP-GlcNAc TRANSFERASE) 	19	45.3	36.2	-0.32	2580.2	1376.27	-9.0	0.71070	0.99595
Rv1303	-	hypothetical protein Rv1303 	4	38.4	25.4	-0.60	460.5	203.01	-13.0	0.91430	1.00000
Rv1304	atpB	F0F1 ATP synthase subunit A 	10	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1305	atpE	F0F1 ATP synthase subunit C 	7	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1306	atpF	F0F1 ATP synthase subunit B 	3	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1307	atpH	PROBABLE ATP SYNTHASE DELTA CHAIN ATPH 	20	0.1	0.2	1.70	3.1	6.77	0.1	0.75000	0.99595
Rv1308	atpA	F0F1 ATP synthase subunit alpha 	25	0.5	2.0	2.09	35.0	99.58	1.5	0.20620	0.78395
Rv1309	atpG	F0F1 ATP synthase subunit gamma 	18	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1310	atpD	F0F1 ATP synthase subunit beta 	20	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1311	atpC	F0F1 ATP synthase subunit epsilon 	1	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1312	-	CONSERVED HYPOTHETICAL SECRETED PROTEIN 	10	35.4	49.5	0.49	1060.8	990.21	14.1	0.48450	0.93783
Rv1313c	-	POSSIBLE TRANSPOSASE 	16	134.8	131.9	-0.03	6469.2	4219.69	-2.9	0.95710	1.00000
Rv1314c	-	hypothetical protein Rv1314c 	15	143.1	130.7	-0.13	6440.1	3920.55	-12.4	0.74210	0.99595
Rv1315	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 	16	0.0	0.2	0.31	0.0	7.73	0.2	0.39960	0.90731
Rv1316c	ogt	PROBABLE METHYLATED-DNA--PROTEIN-CYSTEINE METHYLTRANSFERASE OGT (6-O-methylguanine-DNA methyltransferase) (O-6-methylguanine-DNA-alkyltransferase) 	9	166.0	173.8	0.07	4481.3	3128.48	7.8	0.93370	1.00000
Rv1317c	alkA	PROBABLE ADA REGULATORY PROTEIN ALKA (Regulatory protein of adaptative response) (Methylated-DNA--protein-cysteine methyltransferase) (O-6-methylguanine-DNA alkyltransferase) (O-6-methylguanine-DNA methyltransferase) (3-methyladenine DNA glycosylase II) 	13	112.4	183.9	0.71	4382.8	4780.66	71.5	0.16200	0.70807
Rv1318c	-	POSSIBLE ADENYLATE CYCLASE (ATP PYROPHOSPHATE-LYASE) (ADENYLYL CYCLASE) 	19	188.9	205.8	0.12	10768.3	7820.59	16.9	0.86720	1.00000
Rv1319c	-	POSSIBLE ADENYLATE CYCLASE (ATP PYROPHOSPHATE-LYASE) (ADENYLYL CYCLASE) 	28	169.9	155.8	-0.12	14270.0	8725.68	-14.1	0.67260	0.98519
