#Resampling
#Command: python transit.py normalize=TTR ignoreNTerm=0.0 doLOESS=False ignoreCodon=True annotationPath=H37Rv.prot_table ignoreCTerm=0.0 histPath= sampleSize=10000 output=<open file 'H37Rv_vs_delta_Rv3594_TTR.dat', mode 'w' at 0x2d7dc00> expList=['delta_Rv3594_TnSeq.wig'] doAdaptive=False ctrlList=['H37Rv_TnSeq.wig']
#Control Samples:  H37Rv_TnSeq.wig
#Experimental Samples:  delta_Rv3594_TnSeq.wig
#Normalized with TTR
#TTR factors:	1.0000	0.9593
#Orf	Name	Description	N	TAs Hit	Sum Rd 1	Sum Rd 2	Delta Rd	log2 FC	p-value	p-adj
Rv0850	-	PUTATIVE TRANSPOSASE (FRAGMENT) 	9	7	161.0	430.7	269.7	1.42	0.05460	1.00000
Rv0851c	-	short chain dehydrogenase 	9	7	450.0	396.2	-53.8	-0.18	0.76570	1.00000
Rv0852	fadD16	POSSIBLE FATTY-ACID-CoA LIGASE FADD16 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	15	13	615.0	620.7	5.7	0.01	0.97740	1.00000
Rv0853c	pdc	PROBABLE PYRUVATE OR INDOLE-3-PYRUVATE DECARBOXYLASE PDC 	26	21	2038.0	2657.3	619.3	0.38	0.68740	1.00000
Rv0854	-	hypothetical protein Rv0854 	6	6	1364.0	1393.9	29.9	0.03	0.96660	1.00000
Rv0855	far	PROBABLE FATTY-ACID-CoA RACEMASE FAR 	13	11	1758.0	1795.9	37.9	0.03	0.96560	1.00000
Rv0856	-	hypothetical protein Rv0856 	5	4	722.0	418.3	-303.7	-0.79	0.20330	1.00000
Rv0857	-	hypothetical protein Rv0857 	8	7	550.0	520.9	-29.1	-0.08	0.90230	1.00000
Rv0858c	-	aminotransferase 	21	18	1395.0	1244.2	-150.8	-0.16	0.75700	1.00000
Rv0859	fadA	acetyl-CoA acetyltransferase 	8	8	72.0	417.3	345.3	2.54	0.02610	0.84305
Rv0860	fadB	PROBABLE FATTY OXIDATION PROTEIN FADB 	27	23	120.0	360.7	240.7	1.59	0.00250	0.18136
Rv0861c	ercc3	PROBABLE DNA HELICASE ERCC3 	26	20	788.0	1388.1	600.1	0.82	0.24170	1.00000
Rv0862c	-	hypothetical protein Rv0862c 	29	18	437.0	1168.5	731.5	1.42	0.02080	0.77214
Rv0863	-	hypothetical protein Rv0863 	6	6	1259.0	1146.4	-112.6	-0.14	0.86530	1.00000
Rv0864	moaC	molybdenum cofactor biosynthesis protein C 	11	8	1616.0	1582.9	-33.1	-0.03	0.97260	1.00000
Rv0865	mog	PROBABLE MOLYBDOPTERIN BIOSYNTHESIS MOG PROTEIN 	8	8	1790.0	1997.3	207.3	0.16	0.86640	1.00000
Rv0866	moaE2	PROBABLE MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN E2 MOAE2 (MOLYBDOPTERIN CONVERTING FACTOR LARGE SUBUNIT) (MOLYBDOPTERIN 	3	3	70.0	498.8	428.8	2.83	0.16360	1.00000
Rv0867c	rpfA	POSSIBLE RESUSCITATION-PROMOTING FACTOR RPFA 	11	11	2671.0	2957.6	286.6	0.15	0.83350	1.00000
Rv0868c	moaD2	PROBABLE MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN D 2 MOAD2 (MOLYBDOPTERIN CONVERTING FACTOR SMALL SUBUNIT) (MOLYBDOPTERIN 	6	5	1947.0	1823.7	-123.3	-0.09	0.85770	1.00000
Rv0869c	moaA	molybdenum cofactor biosynthesis protein A 	14	14	3174.0	1875.5	-1298.5	-0.76	0.21820	1.00000
Rv0870c	-	hypothetical protein Rv0870c 	5	5	652.0	504.6	-147.4	-0.37	0.72880	1.00000
Rv0871	cspB	PROBABLE COLD SHOCK-LIKE PROTEIN B CSPB 	4	4	474.0	2593.1	2119.1	2.45	0.12200	1.00000
Rv0872c	PE_PGRS15	PE-PGRS FAMILY PROTEIN 	27	24	5042.0	4680.5	-361.5	-0.11	0.88560	1.00000
Rv0873	fadE10	PROBABLE ACYL-CoA DEHYDROGENASE FADE10 	34	31	3581.0	4463.7	882.7	0.32	0.52280	1.00000
Rv0874c	-	hypothetical protein Rv0874c 	9	7	2361.0	2570.0	209.0	0.12	0.85510	1.00000
Rv0875c	-	POSSIBLE CONSERVED EXPORTED PROTEIN 	12	11	169.0	84.4	-84.6	-1.00	0.10130	1.00000
Rv0876c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	26	19	875.0	772.3	-102.7	-0.18	0.90040	1.00000
Rv0877	-	hypothetical protein Rv0877 	15	15	19825.0	9062.7	-10762.3	-1.13	0.06600	1.00000
Rv0878c	PPE13	PPE FAMILY PROTEIN 	19	19	3851.0	3784.5	-66.5	-0.03	0.95860	1.00000
Rv0879c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	3	2	223.0	288.8	65.8	0.37	0.66610	1.00000
Rv0880	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY MARR-FAMILY) 	1	1	13.0	16.3	3.3	0.33	1.00000	1.00000
Rv0881	-	POSSIBLE RRNA METHYLTRANSFERASE (RRNA METHYLASE) 	15	13	755.0	1133.9	378.9	0.59	0.50950	1.00000
Rv0882	-	PROBABLE TRANSMEMBRANE PROTEIN 	1	1	347.0	26.9	-320.1	-3.69	1.00000	1.00000
Rv0883c	-	hypothetical protein Rv0883c 	6	1	0.0	2.9	2.9	1.53	1.00000	1.00000
Rv0884c	serC	phosphoserine aminotransferase 	12	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0885	-	hypothetical protein Rv0885 	14	10	951.0	933.4	-17.6	-0.03	0.96830	1.00000
Rv0886	fprB	PROBABLE NADPH:ADRENODOXIN OXIDOREDUCTASE FPRB (ADRENODOXIN REDUCTASE) (AR) (FERREDOXIN-NADP(+) REDUCTASE) 	26	23	2842.0	1708.6	-1133.4	-0.73	0.21180	1.00000
Rv0887c	-	hypothetical protein Rv0887c 	4	3	25.0	71.0	46.0	1.51	0.39610	1.00000
Rv0888	-	PROBABLE EXPORTED PROTEIN 	31	25	2576.0	3571.6	995.6	0.47	0.34870	1.00000
Rv0889c	citA	citrate synthase 2 	12	11	735.0	488.3	-246.7	-0.59	0.24270	1.00000
Rv0890c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY LUXR-FAMILY) 	48	45	7666.0	6814.1	-851.9	-0.17	0.68350	1.00000
Rv0891c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	25	24	1809.0	2399.3	590.3	0.41	0.46680	1.00000
Rv0892	-	PROBABLE MONOOXYGENASE 	43	32	1150.0	1106.1	-43.9	-0.06	0.89260	1.00000
Rv0893c	-	hypothetical protein Rv0893c 	24	19	394.0	572.7	178.7	0.54	0.33690	1.00000
Rv0894	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY LUXR-FAMILY) 	18	11	320.0	575.6	255.6	0.85	0.29900	1.00000
Rv0895	-	hypothetical protein Rv0895 	28	24	2129.0	1549.3	-579.7	-0.46	0.37430	1.00000
Rv0896	gltA	type II citrate synthase 	28	3	3.0	1.0	-2.0	-1.64	0.40220	1.00000
Rv0897c	-	PROBABLE OXIDOREDUCTASE 	19	14	1462.0	879.7	-582.3	-0.73	0.41600	1.00000
Rv0898c	-	hypothetical protein Rv0898c 	1	1	248.0	133.3	-114.7	-0.90	1.00000	1.00000
Rv0899	ompA	OUTER MEMBRANE PROTEIN A OMPA 	19	12	162.0	595.7	433.7	1.88	0.04270	1.00000
Rv0900	-	POSSIBLE MEMBRANE PROTEIN 	2	2	28.0	122.8	94.8	2.13	0.67130	1.00000
Rv0901	-	POSSIBLE CONSERVED EXPORTED OR MEMBRANE PROTEIN 	9	9	1251.0	1571.4	320.4	0.33	0.63180	1.00000
Rv0902c	prrB	TWO COMPONENT SENSOR HISTIDINE KINASE PRRB 	14	3	280.0	128.5	-151.5	-1.12	0.50310	1.00000
Rv0903c	prrA	TWO COMPONENT RESPONSE TRANSCRIPTIONAL REGULATORY PROTEIN PRRA 	10	1	0.0	176.5	176.5	7.46	1.00000	1.00000
Rv0904c	accD3	PUTATIVE ACETYL-COENZYME A CARBOXYLASE CARBOXYL TRANSFERASE (SUBUNIT BETA) ACCD3 (ACCASE BETA CHAIN) 	24	20	1671.0	739.6	-931.4	-1.18	0.03950	1.00000
Rv0905	echA6	enoyl-CoA hydratase 	9	6	1298.0	195.7	-1102.3	-2.73	0.02150	0.78702
Rv0906	-	hypothetical protein Rv0906 	15	10	1082.0	1005.4	-76.6	-0.11	0.83720	1.00000
Rv0907	-	hypothetical protein Rv0907 	40	32	1288.0	1285.5	-2.5	-0.00	0.99470	1.00000
Rv0908	ctpE	PROBABLE METAL CATION TRANSPORTER ATPASE P-TYPE CTPE 	30	23	2570.0	2089.4	-480.6	-0.30	0.49390	1.00000
Rv0909	-	hypothetical protein Rv0909 	2	2	190.0	319.5	129.5	0.75	0.66570	1.00000
Rv0910	-	hypothetical protein Rv0910 	7	6	78.0	199.5	121.5	1.36	0.25960	1.00000
Rv0911	-	hypothetical protein Rv0911 	15	15	605.0	1110.9	505.9	0.88	0.16820	1.00000
Rv0912	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	4	4	423.0	392.4	-30.6	-0.11	0.88000	1.00000
Rv0913c	-	POSSIBLE DIOXYGENASE 	41	30	1404.0	825.0	-579.0	-0.77	0.09490	1.00000
Rv0914c	-	acetyl-CoA acetyltransferase 	16	16	1320.0	1708.6	388.6	0.37	0.45280	1.00000
Rv0915c	PPE14	PPE FAMILY PROTEIN 	19	18	2805.0	2359.0	-446.0	-0.25	0.72280	1.00000
Rv0916c	PE7	PE FAMILY PROTEIN 	5	4	133.0	214.9	81.9	0.69	0.51740	1.00000
Rv0917	betP	POSSIBLE GLYCINE BETAINE TRANSPORT INTEGRAL MEMBRANE PROTEIN BETP 	42	39	5202.0	4987.5	-214.5	-0.06	0.87420	1.00000
Rv0918	-	hypothetical protein Rv0918 	8	8	483.0	365.5	-117.5	-0.40	0.55170	1.00000
Rv0919	-	hypothetical protein Rv0919 	10	9	1793.0	1879.3	86.3	0.07	0.93650	1.00000
Rv0920c	-	PROBABLE TRANSPOSASE 	22	19	1339.0	1049.5	-289.5	-0.35	0.47040	1.00000
Rv0921	-	POSSIBLE RESOLVASE 	7	7	795.0	626.4	-168.6	-0.34	0.62680	1.00000
Rv0922	-	POSSIBLE TRANSPOSASE 	18	17	1962.0	2655.4	693.4	0.44	0.39160	1.00000
Rv0923c	-	hypothetical protein Rv0923c 	21	18	1780.0	2372.4	592.4	0.41	0.51600	1.00000
Rv0924c	mntH	manganese transport protein MntH 	20	20	1600.0	3061.2	1461.2	0.94	0.11260	1.00000
Rv0925c	-	hypothetical protein Rv0925c 	16	13	1330.0	1316.2	-13.8	-0.02	0.98040	1.00000
Rv0926c	-	hypothetical protein Rv0926c 	21	20	1108.0	1343.1	235.1	0.28	0.56000	1.00000
Rv0927c	-	short chain dehydrogenase 	6	6	842.0	652.3	-189.7	-0.37	0.66240	1.00000
Rv0928	pstS3	PERIPLASMIC PHOSPHATE-BINDING LIPOPROTEIN PSTS3 (PBP-3) (PSTS3) (PHOS1) 	22	21	7998.0	7796.4	-201.6	-0.04	0.94550	1.00000
Rv0929	pstC2	PHOSPHATE-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER PSTC2 	17	17	3343.0	5420.2	2077.2	0.70	0.21860	1.00000
Rv0930	pstA1	PROBABLE PHOSPHATE-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER PSTA1 	17	15	6479.0	7208.4	729.4	0.15	0.75760	1.00000
Rv0931c	pknD	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE D PKND (PROTEIN KINASE D) (STPK D) 	45	43	13248.0	13791.2	543.2	0.06	0.87410	1.00000
Rv0932c	pstS2	PERIPLASMIC PHOSPHATE-BINDING LIPOPROTEIN PSTS2 (PBP-2) (PSTS2) 	25	25	3487.0	3587.9	100.9	0.04	0.89840	1.00000
Rv0933	pstB	PHOSPHATE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER PSTB 	12	10	572.0	567.0	-5.0	-0.01	0.98240	1.00000
Rv0934	pstS1	PERIPLASMIC PHOSPHATE-BINDING LIPOPROTEIN PSTS1 (PBP-1) (PSTS1) 	21	19	3279.0	2352.3	-926.7	-0.48	0.28230	1.00000
Rv0935	pstC1	PHOSPHATE-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER PSTC1 	12	11	935.0	1464.9	529.9	0.65	0.25950	1.00000
Rv0936	pstA2	PHOSPHATE-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER PSTA2 	20	19	1297.0	1321.0	24.0	0.03	0.95940	1.00000
Rv0937c	-	hypothetical protein Rv0937c 	12	8	435.0	543.0	108.0	0.32	0.74130	1.00000
Rv0938	-	ATP-dependent DNA ligase 	43	26	1608.0	1833.3	225.3	0.19	0.83330	1.00000
Rv0939	-	POSSIBLE BIFUNCTIONAL ENZYME: 2-HYDROXYHEPTA-2,4-DIENE-1,7-DIOATE ISOMERASE (HHDD ISOMERASE) + CYCLASE/DEHYDRASE 	31	27	1467.0	1125.3	-341.7	-0.38	0.52010	1.00000
Rv0940c	-	POSSIBLE OXIDOREDUCTASE 	15	13	797.0	593.8	-203.2	-0.42	0.51920	1.00000
Rv0941c	-	hypothetical protein Rv0941c 	9	9	1195.0	1417.9	222.9	0.25	0.78670	1.00000
Rv0942	-	hypothetical protein Rv0942 	7	6	743.0	576.6	-166.4	-0.37	0.67750	1.00000
Rv0943c	-	PROBABLE MONOOXYGENASE 	17	17	1574.0	1582.9	8.9	0.01	0.98890	1.00000
Rv0944	-	POSSIBLE FORMAMIDOPYRIMIDINE-DNA GLYCOSYLASE (FAPY-DNA GLYCOSYLASE) 	8	6	768.0	909.4	141.4	0.24	0.65190	1.00000
Rv0945	-	short chain dehydrogenase 	7	5	65.0	86.3	21.3	0.41	0.64770	1.00000
Rv0946c	pgi	glucose-6-phosphate isomerase 	19	13	162.0	382.8	220.8	1.24	0.07580	1.00000
Rv0948c	-	hypothetical protein Rv0948c 	6	1	98.0	71.9	-26.1	-0.45	1.00000	1.00000
Rv0949	uvrD1	PROBABLE ATP-DEPENDENT DNA HELICASE II UVRD1 	45	36	417.0	968.0	551.0	1.21	0.02340	0.81176
Rv0950c	-	hypothetical protein Rv0950c 	21	20	2224.0	2347.5	123.5	0.08	0.88440	1.00000
Rv0951	sucC	succinyl-CoA synthetase subunit beta 	16	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0952	sucD	succinyl-CoA synthetase subunit alpha 	11	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0953c	-	POSSIBLE OXIDOREDUCTASE 	13	13	1592.0	1038.0	-554.0	-0.62	0.36150	1.00000
Rv0954	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	28	24	2016.0	3073.7	1057.7	0.61	0.18310	1.00000
Rv0955	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	18	16	1547.0	3218.5	1671.5	1.06	0.04710	1.00000
Rv0956	purN	phosphoribosylglycinamide formyltransferase 	15	3	119.0	367.4	248.4	1.63	0.40970	1.00000
Rv0957	purH	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase 	24	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0958	-	POSSIBLE MAGNESIUM CHELATASE 	15	13	1720.0	1342.1	-377.9	-0.36	0.57040	1.00000
Rv0959	-	hypothetical protein Rv0959 	19	15	844.0	615.9	-228.1	-0.45	0.48520	1.00000
Rv0960	-	hypothetical protein Rv0960 	6	5	750.0	543.0	-207.0	-0.47	0.73950	1.00000
Rv0961	-	PROBABLE INTEGRAL MEMBRANE PROTEIN 	7	6	591.0	445.1	-145.9	-0.41	0.84590	1.00000
Rv0962c	lprP	POSSIBLE LIPOPROTEIN LPRP 	15	15	1548.0	1725.8	177.8	0.16	0.68270	1.00000
Rv0963c	-	hypothetical protein Rv0963c 	10	9	900.0	1256.7	356.7	0.48	0.49160	1.00000
Rv0964c	-	hypothetical protein Rv0964c 	5	5	530.0	478.7	-51.3	-0.15	0.83690	1.00000
Rv0965c	-	hypothetical protein Rv0965c 	7	6	467.0	446.1	-20.9	-0.07	0.90100	1.00000
Rv0966c	-	hypothetical protein Rv0966c 	9	9	1050.0	1100.3	50.3	0.07	0.94140	1.00000
Rv0967	-	hypothetical protein Rv0967 	1	1	149.0	177.5	28.5	0.25	1.00000	1.00000
Rv0968	-	hypothetical protein Rv0968 	6	6	878.0	921.0	43.0	0.07	0.92360	1.00000
Rv0969	ctpV	PROBABLE METAL CATION TRANSPORTER P-TYPE ATPASE CTPV 	21	17	2471.0	2111.5	-359.5	-0.23	0.63710	1.00000
Rv0970	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	12	10	1136.0	991.0	-145.0	-0.20	0.76970	1.00000
Rv0971c	echA7	enoyl-CoA hydratase 	6	5	666.0	430.7	-235.3	-0.63	0.64770	1.00000
Rv0972c	fadE12	PROBABLE ACYL-CoA DEHYDROGENASE FADE12 	18	14	473.0	691.7	218.7	0.55	0.44160	1.00000
Rv0973c	accA2	PROBABLE ACETYL-/PROPIONYL-COENZYME A CARBOXYLASE ALPHA CHAIN (ALPHA SUBUNIT) ACCA2: BIOTIN CARBOXYLASE + BIOTIN CARBOXYL CARRIER PROTEIN (BCCP) 	25	13	220.0	372.2	152.2	0.76	0.36030	1.00000
Rv0974c	accD2	PROBABLE ACETYL-/PROPIONYL-CoA CARBOXYLASE (BETA SUBUNIT) ACCD2 	20	11	202.0	240.8	38.8	0.25	0.76550	1.00000
Rv0975c	fadE13	PROBABLE ACYL-CoA DEHYDROGENASE FADE13 	20	16	2178.0	1870.7	-307.3	-0.22	0.78310	1.00000
Rv0976c	-	hypothetical protein Rv0976c 	20	16	1736.0	1496.5	-239.5	-0.21	0.69740	1.00000
Rv0977	PE_PGRS16	PE-PGRS FAMILY PROTEIN 	32	28	6308.0	5824.1	-483.9	-0.12	0.77920	1.00000
Rv0978c	PE_PGRS17	PE-PGRS FAMILY PROTEIN 	10	8	2475.0	2446.3	-28.7	-0.02	0.97840	1.00000
Rv0979A	rpmF	50S ribosomal protein L32 	2	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0979c	-	hypothetical protein Rv0979c 	1	1	24.0	0.0	-24.0	-4.58	1.00000	1.00000
Rv0980c	PE_PGRS18	PE-PGRS FAMILY PROTEIN 	17	15	3150.0	3771.1	621.1	0.26	0.64940	1.00000
Rv0981	mprA	MYCOBACTERIAL PERSISTENCE REGULATOR MRPA (TWO COMPONENT RESPONSE TRANSCRIPTIONAL REGULATORY PROTEIN) 	11	10	1382.0	1849.6	467.6	0.42	0.54450	1.00000
Rv0982	mprB	PROBABLE TWO COMPONENT SENSOR KINASE MPRB 	22	1	45.0	209.1	164.1	2.22	1.00000	1.00000
Rv0983	pepD	PROBABLE SERINE PROTEASE PEPD (SERINE PROTEINASE) (MTB32B) 	19	17	1127.0	752.1	-374.9	-0.58	0.35470	1.00000
Rv0984	moaB2	POSSIBLE PTERIN-4-ALPHA-CARBINOLAMINE DEHYDRATASE MOAB2 (PHS) (4-ALPHA-HYDROXY-TETRAHYDROPTERIN DEHYDRATASE) (PTERIN-4-A-CARBINOLAMINE DEHYDRATASE) (PHENYLALANINE HYDROXYLASE-STIMULATING PROTEIN) (PHS) (PTERIN CARBINOLAMINE DEHYDRATASE) (PCD) 	5	3	391.0	755.9	364.9	0.95	0.69850	1.00000
Rv0985c	mscL	large-conductance mechanosensitive channel 	9	8	1324.0	1912.9	588.9	0.53	0.28270	1.00000
Rv0986	-	PROBABLE ADHESION COMPONENT TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	25	20	686.0	666.7	-19.3	-0.04	0.94270	1.00000
Rv0987	-	PROBABLE ADHESION COMPONENT TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	94	66	2092.0	1820.8	-271.2	-0.20	0.65460	1.00000
Rv0988	-	POSSIBLE CONSERVED EXPORTED PROTEIN 	41	23	968.0	535.3	-432.7	-0.85	0.18060	1.00000
Rv0989c	grcC2	PROBABLE POLYPRENYL-DIPHOSPHATE SYNTHASE GRCC2 (POLYPRENYL PYROPHOSPHATE SYNTHETASE) 	18	18	3251.0	2716.8	-534.2	-0.26	0.69360	1.00000
Rv0990c	-	hypothetical protein Rv0990c 	8	4	1029.0	521.9	-507.1	-0.98	0.22540	1.00000
Rv0991c	-	CONSERVED HYPOTHETICAL SERINE RICH PROTEIN 	3	3	1117.0	753.1	-363.9	-0.57	0.49920	1.00000
Rv0992c	-	hypothetical protein Rv0992c 	6	6	1234.0	969.9	-264.1	-0.35	0.67850	1.00000
Rv0993	galU	PROBABLE UTP--GLUCOSE-1-PHOSPHATE URIDYLYLTRANSFERASE GALU (UDP-GLUCOSE PYROPHOSPHORYLASE) (UDPGP) (ALPHA-D-GLUCOSYL-1-PHOSPHATE URIDYLYLTRANSFERASE) (URIDINE DIPHOSPHOGLUCOSE PYROPHOSPHORYLASE) 	14	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv0994	moeA1	PROBABLE MOLYBDOPTERIN BIOSYNTHESIS PROTEIN MOEA1 	14	12	1288.0	652.3	-635.7	-0.98	0.17030	1.00000
Rv0995	rimJ	POSSIBLE RIBOSOMAL-PROTEIN-ALANINE ACETYLTRANSFERASE RIMJ (ACETYLATING ENZYME FOR N-TERMINAL OF RIBOSOMAL PROTEIN S5) 	5	5	141.0	114.2	-26.8	-0.30	0.62250	1.00000
Rv0996	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	17	15	1749.0	1793.9	44.9	0.04	0.94450	1.00000
Rv0997	-	hypothetical protein Rv0997 	6	5	594.0	1036.1	442.1	0.80	0.40050	1.00000
Rv0998	-	hypothetical protein Rv0998 	13	9	84.0	1024.6	940.6	3.61	0.00850	0.41342
Rv0999	-	hypothetical protein Rv0999 	11	11	1888.0	3139.9	1251.9	0.73	0.22120	1.00000
Rv1000c	-	hypothetical protein Rv1000c 	8	7	2086.0	1722.0	-364.0	-0.28	0.65900	1.00000
Rv1001	arcA	arginine deiminase 	20	19	2205.0	2372.4	167.4	0.11	0.83650	1.00000
Rv1002c	-	hypothetical protein Rv1002c 	24	6	4.0	5.8	1.8	0.53	0.80430	1.00000
Rv1003	-	hypothetical protein Rv1003 	8	6	167.0	581.3	414.3	1.80	0.06500	1.00000
Rv1004c	-	PROBABLE MEMBRANE PROTEIN 	12	10	1658.0	1566.6	-91.4	-0.08	0.89740	1.00000
Rv1005c	pabB	para-aminobenzoate synthase component I 	24	3	621.0	715.7	94.7	0.20	0.80770	1.00000
Rv1006	-	hypothetical protein Rv1006 	41	38	3405.0	6515.7	3110.7	0.94	0.00250	0.18136
Rv1007c	metG	methionyl-tRNA synthetase 	31	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv1008	tatD	PROBABLE DEOXYRIBONUCLEASE TATD (YJJV PROTEIN) 	13	12	2013.0	3116.8	1103.8	0.63	0.43910	1.00000
Rv1009	rpfB	Probable resuscitation-promoting factor rpfB 	12	10	1022.0	1127.2	105.2	0.14	0.83570	1.00000
Rv1010	ksgA	dimethyladenosine transferase 	12	12	555.0	525.7	-29.3	-0.08	0.89020	1.00000
Rv1011	ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase 	13	1	0.0	1.0	1.0	-0.06	1.00000	1.00000
Rv1012	-	hypothetical protein Rv1012 	6	5	374.0	369.3	-4.7	-0.02	0.94920	1.00000
Rv1013	pks16	acyl-CoA synthetase 	21	21	2013.0	1075.4	-937.6	-0.90	0.04850	1.00000
Rv1014c	pth	peptidyl-tRNA hydrolase 	11	1	1.0	0.0	-1.0	0.00	1.00000	1.00000
Rv1015c	rplY	50S ribosomal protein L25/general stress protein Ctc 	9	2	0.0	7.7	7.7	2.94	0.33360	1.00000
Rv1016c	lpqT	PROBABLE CONSERVED LIPOPROTEIN LPQT 	6	5	587.0	588.1	1.1	0.00	1.00000	1.00000
Rv1017c	prsA	ribose-phosphate pyrophosphokinase 	12	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv1018c	glmU	Probable UDP-N-acetylglucosamine pyrophosphorylase glmU 	24	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv1019	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY) 	8	8	1540.0	1795.9	255.9	0.22	0.74100	1.00000
Rv1020	mfd	PROBABLE TRANSCRIPTION-REPAIR COUPLING FACTOR MFD (TRCF) 	40	35	5742.0	4673.8	-1068.2	-0.30	0.41700	1.00000
Rv1021	-	nucleoside triphosphate pyrophosphohydrolase 	13	10	1197.0	885.5	-311.5	-0.43	0.59440	1.00000
Rv1022	lpqU	PROBABLE CONSERVED LIPOPROTEIN LPQU 	14	11	973.0	565.0	-408.0	-0.78	0.67350	1.00000
Rv1023	eno	phosphopyruvate hydratase 	16	5	5.0	3.8	-1.2	-0.38	0.42270	1.00000
Rv1024	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	8	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv1025	-	hypothetical protein Rv1025 	6	0	0.0	0.0	0.0	0.00	1.00000	1.00000
Rv1026	-	hypothetical protein Rv1026 	8	4	27.0	74.8	47.8	1.47	0.42540	1.00000
Rv1027c	kdpE	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN KDPE 	11	7	375.0	395.2	20.2	0.08	0.91320	1.00000
Rv1028A	kdpF	Probable membrane protein kdpF 	3	3	1.0	150.6	149.6	7.23	0.06320	1.00000
Rv1028c	kdpD	PROBABLE SENSOR PROTEIN KDPD 	28	19	479.0	717.6	238.6	0.58	0.27630	1.00000
Rv1029	kdpA	potassium-transporting ATPase subunit A 	28	24	2420.0	2244.8	-175.2	-0.11	0.80780	1.00000
Rv1030	kdpB	potassium-transporting ATPase subunit B 	15	11	1036.0	859.6	-176.4	-0.27	0.64340	1.00000
Rv1031	kdpC	Probable Potassium-transporting ATPase C chain KDPC (Potassium-translocating ATPase C chain) (ATP phosphohydrolase 	10	8	877.0	493.1	-383.9	-0.83	0.38090	1.00000
Rv1032c	trcS	TWO COMPONENT SENSOR HISTIDINE KINASE TRCS 	25	24	2078.0	1976.2	-101.8	-0.07	0.87670	1.00000
Rv1033c	trcR	TWO COMPONENT TRANSCRIPTIONAL REGULATOR TRCR 	15	14	3143.0	3511.1	368.1	0.16	0.80750	1.00000
Rv1034c	-	PROBABLE TRANSPOSASE (FRAGMENT) 	2	2	158.0	0.0	-158.0	-7.30	0.33310	1.00000
Rv1035c	-	PROBABLE TRANSPOSASE (FRAGMENT) 	4	4	78.0	214.9	136.9	1.46	0.37010	1.00000
Rv1036c	-	truncated IS1560 transposase 	5	4	415.0	654.3	239.3	0.66	0.65450	1.00000
Rv1037c	esxI	PUTATIVE ESAT-6 LIKE PROTEIN ESXI (ESAT-6 LIKE PROTEIN 1) 	4	4	658.0	500.8	-157.2	-0.39	0.92160	1.00000
Rv1038c	esxJ	ESAT-6 LIKE PROTEIN ESXJ (ESAT-6 LIKE PROTEIN 2) 	3	3	411.0	347.3	-63.7	-0.24	0.79990	1.00000
Rv1039c	PPE15	PPE FAMILY PROTEIN 	24	23	3802.0	3363.4	-438.6	-0.18	0.69690	1.00000
Rv1040c	PE8	PE FAMILY PROTEIN 	8	8	769.0	873.0	104.0	0.18	0.78680	1.00000
