Rv_ID,Name,Description,Final Call,Functional_Category,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_carey_rv,carey_630_vs_carey_rv,carey_631_vs_carey_rv,carey_632_vs_carey_rv,carey_641_vs_carey_rv,carey_662_vs_carey_rv,carey_663_vs_carey_rv,carey_667_vs_carey_rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library,pca1,pca2,pca3,tsne1,tsne2,y_hc
Rv0983,pepD,Probable serine protease PepD (serine proteinase) (MTB32B),NE,intermediary metabolism and respiration,-0.06,0.27,0.25,1.0,0.06,3.62,-0.58,0.07,-0.27,-0.24,0.43,-0.74,-1.18,-0.32,-0.23,-0.6,0.07,-0.16,-0.61,-0.42,-0.12,-4.36,-0.99,1.71,4.03,-2.04,-0.56,3.79,-0.01,-1.16,0.34,-2.86,-3.0,0.31,-0.08,-0.65,-0.21,0.98,-0.99,-1.83,0.34,1.69,1.35,-0.34,1.04,-0.3,-0.95,0.7,1.51,-0.35,-0.39,1.04,-0.96,-0.24,0.34,-0.11,-0.12,0.15,-0.09,0.64,1.86,-1.01,-2.15,-2.63,2.579506558310141,7.818432627996013,-5.347726472053879,-27.183193,15.91757,4
Rv0984,moaB2,Possible pterin-4-alpha-carbinolamine dehydratase MoaB2 (PHS) (4-alpha-hydroxy-tetrahydropterin dehydratase) (pterin-4-a-carbinolamine dehydratase) (phenylalanine hydroxylase-stimulating protein) (PHS) (pterin carbinolamine dehydratase) (PCD),NE,intermediary metabolism and respiration,0.24,0.55,-0.23,0.85,-0.48,-2.37,0.95,-0.1,-1.02,0.28,0.09,0.35,0.26,-0.9,-0.26,-0.38,-0.34,-0.19,-0.74,-1.27,0.63,2.87,3.46,0.32,-2.47,0.08,1.68,-1.86,-0.67,2.04,0.41,1.24,-0.32,0.06,0.58,-0.46,1.51,0.31,0.44,0.59,-0.01,-0.22,-0.31,-0.09,0.29,0.11,-0.03,-0.06,-0.17,0.35,0.23,0.33,-0.12,-0.03,-0.44,-0.4,1.98,0.5,-1.73,-1.32,1.13,0.59,-0.33,-0.69,7.077687184519224,-2.3142719530933578,-1.59482667070156,-13.089137,40.54369,3
Rv0985c,mscL,Possible large-conductance ion mechanosensitive channel MscL,NE,cell wall and cell processes,-0.05,-0.03,-0.1,0.61,-0.13,3.05,0.53,-0.2,0.02,0.47,-0.95,-0.95,-0.0,0.74,-0.86,0.46,-0.33,-0.02,0.19,0.26,-0.34,-1.79,0.0,1.28,3.02,-0.05,0.32,1.96,-0.15,1.56,3.59,0.24,-2.13,-0.35,-0.0,-0.13,-0.13,-0.07,1.3,0.2,-0.46,0.02,-0.21,-0.23,0.4,-0.71,-0.38,0.31,0.16,1.05,0.48,0.18,0.16,0.13,-0.4,-0.12,-0.44,0.41,-0.11,-0.19,0.81,0.28,-0.45,0.1,-6.167301706573181,-0.33582897024914066,2.555673046570202,12.727186,-29.473967,4
Rv0986,-,Probable adhesion component transport ATP-binding protein ABC transporter,NE,cell wall and cell processes,-1.07,-1.26,-0.4,0.02,-0.63,-4.55,-0.04,-0.75,-1.13,-0.51,-0.34,-0.38,-0.05,0.7,-0.77,0.22,0.12,-0.18,-0.06,-0.34,0.34,-0.95,0.61,1.14,2.69,0.6,-1.09,0.17,0.31,1.35,-0.37,-2.68,0.49,-1.36,-1.14,0.31,-1.26,-1.37,-0.06,-0.17,-0.48,0.56,0.24,-0.32,0.47,0.07,-0.32,-0.23,-0.34,1.14,0.18,-0.27,-0.17,-0.06,-1.63,-0.44,1.29,-0.96,1.11,1.4,-0.02,1.26,-1.27,-1.4,-1.7515174615980995,-1.3926871539818886,1.3705010293697506,7.8428836,-8.589361,3
Rv0987,-,Probable adhesion component transport transmembrane protein ABC transporter,NE,cell wall and cell processes,-0.72,-0.57,0.09,0.35,-0.19,-5.18,-0.2,-0.06,-1.67,-0.52,0.17,0.08,-0.09,-0.51,-2.98,0.17,-0.59,-0.44,-0.97,-0.05,-0.64,-0.72,1.01,0.65,1.91,0.53,1.04,2.13,0.37,0.02,0.26,-0.49,-1.59,-0.48,-0.55,-0.25,-1.02,-0.59,1.29,0.3,-0.91,0.8,0.5,-0.3,1.23,0.07,-0.08,0.03,-0.17,-0.89,-0.79,0.33,-0.23,-0.13,-1.33,-0.26,0.49,-1.15,0.1,0.68,0.56,0.2,-1.94,-1.78,-7.1810386812859175,7.269879927103893,-5.467520041580402,14.907586,-49.23999,3
Rv0988,-,Possible conserved exported protein,NE,cell wall and cell processes,-0.22,-0.25,-0.29,-1.37,-0.46,7.52,-0.85,-0.55,-2.08,-2.02,-1.18,-1.7,-0.52,-1.11,-0.59,0.39,-0.67,-0.2,-1.07,-0.68,-0.17,-4.14,-0.95,0.86,5.06,0.06,0.38,4.48,-0.04,-0.8,2.58,-0.75,-0.61,-0.37,-0.14,-0.0,-0.96,-0.57,1.22,-0.13,-0.43,-0.21,-0.73,-0.52,1.56,-0.12,-0.5,-0.23,-0.53,-0.03,-0.18,-0.26,0.05,0.05,-5.3,-0.79,0.57,-1.99,-0.17,0.61,2.59,2.33,-3.65,-2.46,0.568740436330341,-3.9105072674766608,-10.561844092892487,11.845977,39.5212,4
Rv0989c,grcC2,Probable polyprenyl-diphosphate synthase GrcC2 (polyprenyl pyrophosphate synthetase),NE,intermediary metabolism and respiration,0.07,0.19,-0.2,-0.18,0.05,2.68,-0.26,0.04,0.34,-0.15,-4.73,-3.99,0.74,0.3,-0.1,-0.27,-0.45,-0.21,-0.45,0.07,-0.08,6.22,-0.34,2.37,-1.61,2.24,4.64,1.7,3.28,0.94,1.18,6.45,3.78,0.33,0.47,0.12,0.37,-0.23,-1.44,-1.45,-3.53,-4.83,-5.93,-1.1,-2.76,-0.42,0.23,-0.14,-0.15,1.21,0.61,0.24,0.13,0.28,-0.59,0.2,0.15,0.51,-0.38,-0.77,0.77,0.06,-0.84,-0.05,6.147352734820012,2.0172742855731554,-4.049225089064605,-10.445503,23.57624,0
Rv0990c,-,Hypothetical protein,NE,conserved hypotheticals,-0.44,-0.37,-0.07,0.75,-0.13,0.44,-0.98,0.16,-1.28,-1.63,0.68,-0.46,-1.13,-0.77,0.31,-0.61,-0.1,-0.36,-0.3,-0.46,-0.16,-0.64,0.81,0.95,1.41,-0.18,0.38,0.98,-0.04,-0.01,0.1,-0.53,0.37,-0.17,0.31,-0.45,0.45,0.47,-0.12,-0.14,-1.87,-0.11,0.47,0.58,0.03,-0.13,-0.52,0.15,-0.1,-0.91,-0.83,0.37,-0.23,-0.11,0.53,-0.2,-0.11,0.49,0.73,0.78,-0.27,0.85,-0.52,-0.11,0.09999021966497061,4.69608014715607,4.657361227174926,-29.986723,2.1374393,0
Rv0991c,-,Conserved serine rich protein,NE,conserved hypotheticals,0.23,0.32,0.02,-0.26,-0.16,2.28,-0.57,-0.17,-0.31,-0.35,-0.94,-0.6,0.34,-0.32,-0.53,-1.07,0.16,-0.78,-0.53,-1.4,-0.96,1.85,5.93,1.33,-0.67,-0.15,0.89,-0.52,0.45,1.66,-2.09,-1.89,4.29,0.52,0.65,0.35,1.35,-0.98,-0.4,0.71,-2.01,-0.35,-0.51,-0.16,2.38,-0.51,-0.07,0.32,0.56,-2.77,-2.77,-0.67,-0.82,-0.44,-1.9,0.31,-1.08,-1.9,0.31,-1.86,-0.44,-2.54,0.48,3.3,1.8465184201634643,1.1284694453831894,-4.5857695258322915,-0.03881341,25.480993,0
Rv0992c,-,hypothetical protein,NE,conserved hypotheticals,0.39,0.49,0.03,-0.61,0.34,-7.51,-0.35,0.48,0.26,0.2,-1.69,-1.02,0.67,0.14,0.22,-0.07,-0.17,0.04,0.22,0.88,-0.28,2.27,-2.49,0.8,-0.32,1.15,-1.87,-3.65,0.49,1.8,-0.81,-0.34,-0.35,0.48,0.68,0.16,1.11,0.44,0.39,-0.31,0.61,0.52,0.47,-0.06,1.85,-0.48,-1.05,-0.21,-0.16,-0.51,-0.26,0.08,0.23,0.07,1.03,0.3,0.87,0.51,0.28,0.22,0.01,-0.21,-0.15,0.6,1.5853490440355602,-1.872672233243903,-1.1019996312007705,1.2240617,41.519287,0
Rv0994,moeA1,Probable molybdopterin biosynthesis protein MoeA1,NE,intermediary metabolism and respiration,0.32,0.22,0.14,0.19,0.24,5.04,-0.98,-0.04,-0.87,-0.49,0.72,0.27,-0.46,0.3,0.5,-0.2,-0.53,0.06,-0.31,-0.01,-0.44,-8.13,-2.8,-0.09,3.87,-4.17,1.53,8.28,-1.38,0.27,4.36,-4.04,-1.96,0.21,0.12,1.78,0.27,-0.17,0.47,-7.39,0.65,0.78,-0.84,-1.62,1.11,-0.96,-2.48,-0.46,-0.1,4.27,1.97,-3.76,-4.74,-4.7,-1.18,-0.98,0.66,0.2,-2.15,1.3,1.65,1.26,-2.19,-5.11,7.317464990336789,2.286180146076218,-3.1730689021245904,-24.541988,12.553485,4
Rv0995,rimJ,Ribosomal-protein-alanine acetyltransferase RimJ (acetylating enzyme for N-terminal of ribosomal protein S5),NE,information pathways,-0.09,-0.94,-0.03,2.09,0.17,4.12,-0.3,0.43,-2.35,0.09,0.34,0.55,0.21,-2.53,0.23,-0.22,0.71,-0.43,-0.19,-0.92,-0.85,-2.8,4.77,-4.37,-2.4,-0.83,1.1,5.64,1.74,0.1,3.53,0.63,4.29,-0.68,0.02,-1.02,1.44,-0.95,-0.92,2.02,0.57,-0.49,0.84,1.33,1.8,-0.5,-1.44,0.19,0.96,0.97,0.13,-0.81,-1.7,-1.72,-6.89,-0.77,0.37,-3.32,-2.61,-0.72,2.28,1.56,-3.43,-1.73,4.435620239745267,-0.5627079222094215,-4.1406045158536156,-6.1019483,28.21034,1
Rv0996,-,Probable conserved transmembrane protein,NE,cell wall and cell processes,-0.39,-0.47,-0.52,-0.57,-0.31,-4.11,0.04,-0.34,0.35,0.46,-0.57,-0.84,-0.27,0.66,0.11,0.47,0.98,0.24,0.96,-0.3,-0.03,-2.36,2.06,-2.29,-0.14,-0.21,-1.98,0.99,0.61,-0.85,1.55,0.04,2.49,-0.48,-0.45,0.13,-0.57,-0.63,-0.22,-2.3,0.8,-0.06,-0.97,-0.91,0.66,0.29,0.68,-1.71,-2.82,-0.3,-0.85,-1.27,-0.65,-1.88,-0.26,-0.7,0.79,-1.23,-1.29,-1.38,-1.62,-0.67,0.26,0.82,2.6060493428807856,-1.5828047838530905,-1.5139294064579363,10.1720705,44.295956,3
Rv0997,-,Hypothetical protein,NE,conserved hypotheticals,-0.28,-0.23,0.27,-1.2,-0.04,-6.94,0.8,-0.39,0.49,0.37,0.35,0.53,0.18,0.78,-0.49,0.37,0.78,0.01,-0.82,0.79,-0.6,2.21,-0.4,1.04,-0.77,0.41,-1.81,-2.55,1.48,-2.84,-2.63,2.43,-0.45,0.14,-0.04,-0.29,-0.29,-1.13,-0.25,-0.07,1.15,-0.17,-1.09,-0.92,0.78,-0.04,-0.17,0.32,0.27,-2.44,-2.41,-0.57,0.07,0.03,0.25,-0.07,-0.6,0.35,0.13,0.31,1.12,-1.53,0.79,0.79,3.735761599449958,-0.5603350715001268,-1.4502112425581364,10.085926,44.308506,3
Rv0998,-,hypothetical protein,NE,conserved hypotheticals,0.62,0.49,-1.24,-2.34,-0.99,0.0,3.61,-0.98,4.47,3.43,-0.13,-0.93,-3.25,0.66,-1.02,0.88,1.05,0.28,0.22,-2.35,-0.52,-3.9,0.91,-2.25,0.12,-5.02,-3.9,2.86,2.86,-5.63,0.0,-0.36,-0.48,0.12,0.68,-0.71,1.23,0.62,-0.86,-0.96,0.33,1.27,1.65,0.38,3.22,1.46,-2.82,0.15,0.04,-0.21,-0.22,-0.06,-0.31,-0.03,-1.42,-0.59,-0.55,-0.08,-1.22,0.86,-0.89,-0.64,-0.34,-6.55,-4.857766573531373,-2.747363609216476,-0.9839940391629831,13.52694,-11.982552,1
Rv0999,-,hypothetical protein,NE,conserved hypotheticals,-0.05,-0.04,-0.55,0.87,-0.34,0.86,0.73,-0.37,0.4,0.54,-0.34,-0.48,-0.14,0.6,0.15,0.96,0.32,0.24,0.63,0.2,-0.16,-1.95,-0.23,-0.5,-0.23,-1.68,0.51,1.91,-0.54,0.13,1.14,-0.94,-1.59,-0.35,-0.06,2.54,-1.07,0.02,-0.92,-0.63,-0.88,-0.08,-0.28,-0.2,2.4,0.02,-0.16,-0.96,-1.36,0.09,0.45,-1.8,-4.45,-4.02,0.21,-0.27,-0.09,0.32,0.66,0.27,0.79,0.2,0.24,-1.74,-2.048132570667582,-4.636316405562443,1.5402415834806142,12.829352,5.4467235,0
Rv1000c,-,hypothetical protein,NE,conserved hypotheticals,-0.74,-0.65,0.08,0.72,0.24,-5.12,-0.28,-0.21,-0.34,-0.41,-0.47,-0.62,-0.15,-0.64,-0.12,-0.11,0.11,-0.15,-0.06,-0.05,-0.52,0.95,-0.83,-0.79,-0.46,1.28,0.88,0.32,0.39,0.04,-2.77,-1.85,-1.43,-0.55,-0.35,0.41,-0.05,-0.52,-0.11,0.1,0.54,-0.18,0.12,0.29,-0.22,0.01,0.28,0.01,0.03,-0.23,-0.0,-0.32,0.14,0.07,0.89,-0.14,-0.65,-0.43,-0.24,-0.16,-0.55,0.02,0.76,0.57,-10.472526067794881,-0.9229598578479427,1.5661935490920076,17.456614,-36.080353,3
Rv1001,arcA,Probable arginine deiminase ArcA (adi) (ad) (arginine dihydrolase),NE,intermediary metabolism and respiration,0.07,0.18,0.19,0.36,0.16,-7.44,0.11,0.14,-0.1,-0.01,-0.42,-0.23,0.18,-0.36,-0.27,0.47,-0.15,-0.13,-0.35,-0.24,-0.32,1.03,0.23,-0.57,-0.6,0.99,0.05,-1.0,-0.02,0.27,-0.89,-0.13,-0.18,-0.02,0.21,-0.73,0.58,-0.67,1.27,0.12,0.27,-0.14,-0.32,-0.19,-0.1,-0.06,-0.21,0.05,-0.26,-0.3,-0.32,0.2,-0.02,0.19,-0.08,-0.09,-0.11,0.28,0.38,-1.28,-0.13,-0.09,0.38,0.94,1.467700674767012,-2.6460332662727835,1.8197948783089186,-7.223416,2.2322254,3
Rv1002c,-,hypothetical protein,GD,cell wall and cell processes,1.67,1.84,-1.2,-0.89,-0.36,0.0,0.53,1.44,3.19,4.16,0.2,0.2,0.0,-2.82,-2.82,-3.11,-1.76,-1.49,-2.23,-1.53,-1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.75,0.0,-2.41,-3.42,-0.99,-4.77,1.1,0.0,0.0,0.0,0.5,0.0,0.0,-1.52,0.11,-0.56,-0.16,-0.46,-1.43,-1.86,0.0,0.13,-0.54,0.0,0.04,0.44,-0.31,0.0,3.36,0.0,-2.8366823603084037,-2.74177009182066,0.697075140122749,10.944769,-15.376525,0
Rv1003,-,hypothetical protein,NE,conserved hypotheticals,-0.68,-0.42,-0.36,-0.43,-0.16,3.27,1.8,-0.72,1.68,1.93,1.34,-0.31,-1.65,2.01,0.25,0.19,0.12,0.52,0.74,0.9,0.41,0.05,3.78,1.49,1.11,-0.33,-3.26,-4.83,-1.92,0.99,0.29,-0.65,-0.51,0.1,0.24,1.92,-1.33,1.64,-0.13,-0.77,3.19,1.86,3.12,1.26,-0.24,-0.1,0.09,0.68,0.77,0.53,1.07,0.19,0.4,0.39,1.07,-0.43,1.1,-2.69,-0.39,0.36,4.73,-3.18,-1.13,0.99,8.120237615533851,2.726384978907578,-1.6479011002707062,-33.578022,26.212725,0
Rv1004c,-,Probable membrane protein,NE,cell wall and cell processes,0.02,0.01,-0.05,0.85,-0.03,-7.46,-0.08,-0.3,0.13,0.17,-0.1,-0.06,0.04,-0.08,0.05,0.11,0.04,0.12,0.38,0.42,-0.11,2.98,1.0,-1.07,-3.21,0.83,1.83,-1.64,-0.49,1.68,-1.15,0.15,-1.46,0.42,0.44,-0.22,0.56,0.03,-0.94,0.25,-0.1,0.06,0.18,0.12,1.88,0.07,-0.2,0.33,0.42,-0.17,-0.1,0.15,-0.07,0.09,-0.1,-0.17,-0.23,0.46,-1.92,-0.01,-0.88,0.82,0.05,-0.3,6.535715293619073,3.929626681210281,-1.7219685765310142,-15.358539,40.173325,3
Rv1006,-,hypothetical protein,GA,conserved hypotheticals,-0.58,-0.26,-0.85,-0.14,-0.48,1.66,0.94,-0.07,0.16,0.68,-1.09,-1.28,-0.19,0.93,-0.44,1.19,0.83,0.41,0.65,0.31,0.16,-1.43,0.77,-2.54,-0.91,0.19,0.37,2.3,0.49,0.22,0.74,-0.92,-0.08,-0.61,-0.48,0.26,-1.65,-0.7,-0.37,-1.73,1.73,-1.09,-1.43,-0.34,0.6,-0.16,-1.0,-0.3,-0.56,-0.16,-0.91,-1.34,-2.31,-1.54,-2.97,-0.26,0.3,-2.42,-0.34,-1.77,-1.83,1.43,-0.53,-2.07,2.159313216990199,-1.8192798837349802,1.7388750731491727,-10.064096,-0.53440845,4
Rv1008,tatD,Probable deoxyribonuclease TatD (YJJV protein),GA,cell wall and cell processes,-0.25,-0.36,-0.01,-0.4,0.16,0.85,0.63,0.11,0.99,0.42,0.85,-0.35,-1.2,0.61,0.27,0.18,-0.14,0.17,0.2,0.18,0.33,0.72,0.29,0.62,0.87,0.97,-1.42,-2.04,0.1,-1.93,-1.04,1.61,6.7,-0.25,-0.39,-0.48,0.14,-0.54,-0.04,-0.37,-0.22,1.07,0.31,-0.77,-0.65,-0.11,0.06,0.04,0.1,1.29,0.87,0.43,0.13,0.18,1.7,0.21,1.14,1.35,-0.09,-1.05,0.63,-0.73,-0.06,-0.19,-1.145429781843341,-1.861030371101513,1.480670274202147,7.816729,-5.6191773,0
Rv1009,rpfB,Probable resuscitation-promoting factor RpfB,NE,cell wall and cell processes,-0.57,-0.21,-0.44,0.96,0.27,-5.27,0.14,0.06,1.04,-0.21,-1.63,-1.06,0.57,-0.09,0.22,0.9,1.01,0.34,0.46,0.03,0.37,1.19,1.8,-2.63,-4.25,-0.43,-1.95,-3.07,0.07,1.89,2.32,1.63,-0.09,-0.0,-0.25,2.02,-2.33,-0.11,0.07,-0.09,1.29,-0.21,-0.16,0.05,-1.92,0.0,0.36,-0.86,-1.05,0.78,0.25,0.82,0.02,-0.22,0.44,-0.19,-0.76,-0.33,0.32,0.81,0.21,1.64,-0.41,-1.56,0.5493493488130817,-3.2728735657511976,0.28905973921241396,0.69436294,6.3373313,3
Rv1010,ksgA,"Probable dimethyladenosine transferase KsgA (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase) (16S rRNA dimethylase) (high level kasugamycin resistance protein KsgA) (kasugamycin dimethyltransferase)",NE,information pathways,0.2,-0.09,-0.19,1.91,-0.17,-0.12,-0.08,-0.38,-0.72,-0.46,-0.81,0.44,1.25,0.58,-0.75,0.31,0.3,0.18,0.63,-0.22,-0.15,-5.16,-0.85,-1.49,-0.12,-1.09,-0.66,4.69,0.19,-4.43,1.89,1.16,3.58,-0.96,-0.5,1.51,-2.49,1.25,0.15,2.21,2.27,0.0,0.0,0.0,0.18,-1.16,-1.63,0.83,2.0,0.06,-0.43,0.35,-1.91,0.73,-1.08,-0.51,1.53,1.95,0.0,0.0,1.99,-1.5,-3.91,-2.03,-1.7358540155886915,-1.2969983386693136,1.167828457358585,10.086707,-6.767547,1
Rv1012,-,Hypothetical protein,NE,conserved hypotheticals,-0.34,-0.85,-0.18,-0.6,-0.25,-5.13,-0.02,-0.45,1.09,-0.09,0.33,0.26,-0.07,0.63,0.68,-0.04,-0.91,0.05,-0.34,-0.07,-0.49,-1.23,1.81,-0.16,1.14,0.08,-0.9,0.23,-0.1,-1.53,-3.74,-3.43,-2.75,-0.0,-0.59,0.71,0.42,0.05,0.29,-0.17,0.66,1.04,0.68,-0.37,-0.88,-0.02,0.31,0.17,0.18,0.32,0.22,-0.07,0.13,-0.06,4.1,-0.15,-0.02,3.08,1.3,1.29,-1.48,-1.32,1.46,3.07,-5.2545092299867235,-0.34440260185597343,-0.5481331657626617,14.950889,-24.919178,3
Rv1013,pks16,Putative polyketide synthase Pks16,NE,lipid metabolism,-0.43,-0.13,-0.33,-0.69,-0.11,-0.68,-0.9,0.37,0.32,-1.66,0.88,0.29,-0.59,-0.47,-0.62,1.1,-0.42,-0.17,-0.85,-0.26,-0.13,0.91,-0.35,0.28,-0.25,0.38,-0.1,0.02,1.02,0.46,-0.86,-0.41,-0.18,-0.11,-0.01,-0.8,-3.01,-0.46,-0.53,0.7,1.29,-0.17,-0.45,-0.28,-0.22,-0.89,-2.07,0.84,2.18,-1.49,-1.29,0.61,0.23,-0.21,3.71,0.67,-0.81,4.11,0.54,0.61,1.13,-1.72,0.01,-0.15,1.8239355401279238,-2.202284270063581,-2.49589983141221,2.3957899,28.508896,0
Rv1015c,rplY,50S ribosomal protein L25 RplY,GD,information pathways,-0.8,-0.3,-0.19,-4.96,0.11,3.0,3.2,1.46,5.09,2.05,-3.66,-0.69,2.97,2.51,3.07,3.8,3.03,2.1,2.4,2.84,1.66,0.0,1.1,0.0,0.0,0.0,0.25,0.0,-0.25,0.0,0.0,0.0,-0.94,-2.52,-0.85,1.07,-1.81,-2.89,1.03,-0.04,0.22,0.0,0.0,0.0,0.69,-0.33,-0.33,1.16,2.92,-2.46,-3.15,-0.67,0.96,0.95,-5.42,-0.63,0.62,-0.87,0.0,0.0,1.24,0.0,-4.68,-4.68,-0.6613795383975075,-2.8714238969423524,-3.5564702666910697,15.888301,26.510168,1
Rv1016c,lpqT,Probable conserved lipoprotein LpqT,GA,cell wall and cell processes,-0.72,-0.45,0.11,0.28,-0.07,-5.05,0.0,0.05,0.16,0.66,0.46,1.04,0.58,0.27,0.36,0.52,-0.06,0.23,-0.07,-0.1,-0.22,0.39,-1.36,1.72,1.24,-0.09,-0.41,-0.45,0.35,0.56,1.04,0.87,-0.7,-0.58,-0.7,0.8,-0.1,-0.4,0.88,0.18,0.29,-0.0,-0.5,-0.5,-0.03,0.35,1.11,0.34,0.53,-0.86,-0.38,0.98,0.44,0.4,0.47,0.66,-0.37,1.51,0.15,-0.24,-0.29,-0.46,0.89,0.93,-3.0497616418465276,-3.8977283158387697,1.2388247539346262,11.641907,-15.7435,3
Rv1019,-,Probable transcriptional regulatory protein (probably TetR-family),NE,regulatory proteins,-0.03,0.39,0.16,-0.11,0.18,1.59,0.22,0.23,1.96,0.64,0.74,0.3,-0.44,0.19,-0.58,1.35,2.12,0.69,1.74,0.52,0.53,-2.66,0.04,-2.18,-1.51,-1.99,-0.23,1.58,-0.85,-0.62,2.42,0.38,4.67,0.28,0.49,0.14,0.81,0.6,-0.81,0.83,0.28,0.02,0.02,-0.0,-1.2,-0.62,-1.09,-0.19,-0.22,-0.7,-0.31,-2.43,-0.29,-0.64,-0.5,-1.15,-0.2,1.43,-0.44,0.32,-1.45,0.35,0.96,-0.04,-1.755605570816884,-1.485476831906304,0.13785087754083317,12.977584,-4.979046,0
Rv1020,mfd,Probable transcription-repair coupling factor Mfd (TRCF),NE,information pathways,-0.15,-0.11,0.23,0.13,0.26,-1.36,-0.3,0.19,-0.15,-0.39,-0.34,-0.31,0.03,0.05,0.33,0.29,0.67,0.03,0.5,0.34,-0.12,-0.01,-0.15,0.28,-0.15,-0.44,0.08,0.01,-0.09,-0.47,-1.2,-0.74,0.64,-0.12,0.01,-0.07,-0.43,0.6,-0.66,0.09,0.88,0.18,0.09,-0.1,-0.37,-0.38,-0.67,0.11,0.31,-0.1,-0.02,-0.15,-0.07,0.15,0.25,-0.11,-0.06,-0.18,0.27,0.58,0.45,0.1,-0.41,-0.75,-0.6574792050306437,-1.239260300653164,0.05029374919210052,3.6480176,8.75776,0
Rv1021,-,hypothetical protein,NE,conserved hypotheticals,-0.44,-0.67,0.33,-0.6,0.14,-4.43,-0.43,0.05,-0.82,-0.37,0.21,-0.0,-0.21,0.04,-0.21,-0.72,-0.71,-0.23,-0.9,-0.17,0.64,-1.79,0.14,-0.99,-0.69,-1.49,-2.02,0.96,1.19,-3.25,-1.29,0.16,-2.02,-0.88,-0.66,-0.12,-1.77,0.07,-1.5,-0.36,-1.09,0.65,0.78,0.13,-1.56,0.18,0.53,-0.16,-0.51,0.19,0.32,-0.46,-0.14,0.45,-1.24,0.17,0.35,-1.46,1.16,2.5,1.6,0.16,-0.13,0.72,-3.8149853529659756,-1.7220395194424885,0.990194020862181,11.177817,-16.874231,3
