Rv_ID,gene_name,func_tuberculist,COG,u1,u2,u3
Rv0908,ctpE,cell wall and cell processes,P,-3.436605,-0.7390038,21.189812
Rv0910,-,conserved hypotheticals,S,2.9074094,-4.9664083,13.829035
Rv0914c,-,lipid metabolism,I,3.3776054,-3.4424777,10.539154
Rv0916c,PE7,PE/PPE,S,-3.5160224,-4.006601,-5.2151017
Rv0922,-,insertion seqs and phages,L,3.0941563,-4.160351,7.5213966
Rv0923c,-,conserved hypotheticals,S,-3.5251892,-3.975223,-5.212374
Rv0924c,mntH,cell wall and cell processes,P,6.7160997,-4.1101785,10.769866
Rv0926c,-,conserved hypotheticals,S,3.3736506,-3.437396,10.541302
Rv0928,pstS3,cell wall and cell processes,P,2.7658265,1.9721017,8.468602
Rv0929,pstC2,cell wall and cell processes,P,3.4092462,-5.7938366,10.447193
Rv0930,pstA1,cell wall and cell processes,P,2.7188942,1.9804779,8.492311
Rv0931c,pknD,regulatory proteins,RTKL,-3.617041,-0.5643159,21.585905
Rv0934,pstS1,cell wall and cell processes,P,3.0646546,-4.1164794,7.4821024
Rv0939,-,intermediary metabolism and respiration,Q,-3.3631098,-4.038267,-5.4291635
Rv0942,-,conserved hypotheticals,S,0.863985,-6.854155,13.684284
Rv0944,-,information pathways,L,3.0765135,-4.1309996,7.491766
Rv0945,-,intermediary metabolism and respiration,IQR,-3.624435,-3.6688893,-4.7094584
Rv0946c,pgi,intermediary metabolism and respiration,G,6.9077916,-2.9053543,12.451954
Rv0949,uvrD1,information pathways,L,2.694484,-5.4975343,14.091854
Rv0950c,-,conserved hypotheticals,M,3.1986284,-5.177972,13.913753
Rv0954,-,cell wall and cell processes,S,2.9600794,-5.166961,13.828847
Rv0955,-,cell wall and cell processes,S,3.1635854,-5.463124,13.729287
Rv0956,purN,intermediary metabolism and respiration,F,10.570823,-4.130925,12.744355
Rv0961,-,cell wall and cell processes,S,-3.6207104,-3.9714952,-5.6355815
Rv0963c,-,conserved hypotheticals,S,-3.66119,-0.58051914,21.63835
Rv0964c,-,conserved hypotheticals,S,-2.7480443,-0.2147471,17.895882
Rv0969,ctpV,cell wall and cell processes,P,-1.3442504,-2.1473343,13.854175
Rv0970,-,cell wall and cell processes,S,3.4062023,-6.37009,10.421212
Rv0972c,fadE12,lipid metabolism,I,-3.5471969,-4.0919394,-5.2985263
Rv0973c,accA2,lipid metabolism,I,7.794779,-2.230969,14.380812
Rv0974c,accD2,lipid metabolism,I,-3.4895723,-4.0676084,-5.4405026
Rv0976c,-,conserved hypotheticals,S,-0.25988096,3.9746544,10.73375
Rv0981,mprA,regulatory proteins,TK,2.0777087,-6.180902,13.551483
Rv0983,pepD,intermediary metabolism and respiration,O,1.5990874,-5.2569847,13.664048
Rv0987,-,cell wall and cell processes,V,-3.5848577,-0.52890307,21.494116
Rv0988,-,cell wall and cell processes,R,1.3623346,-6.524847,13.62646
Rv0989c,grcC2,intermediary metabolism and respiration,H,9.604193,-4.2197866,12.648365
Rv0991c,-,conserved hypotheticals,S,3.3790488,-3.4171348,10.559773
Rv0992c,-,conserved hypotheticals,H,3.6703281,-2.5869396,10.672926
Rv0994,moeA1,intermediary metabolism and respiration,H,3.5336,-4.5328903,13.4971075
Rv0995,rimJ,information pathways,J,-2.7249427,-0.49587765,18.547783
Rv0996,-,cell wall and cell processes,S,7.2190747,-3.843138,11.904456
Rv0998,-,conserved hypotheticals,KR,1.9510268,-5.4738727,13.304078
Rv0999,-,conserved hypotheticals,S,4.2973027,-3.4307587,11.354486
Rv1002c,-,cell wall and cell processes,O,7.550145,-0.68463004,14.79279
Rv1006,-,conserved hypotheticals,S,3.3685164,-4.6590014,13.622537
Rv1008,tatD,cell wall and cell processes,L,3.4537992,-4.92624,10.226881
Rv1009,rpfB,cell wall and cell processes,S,-3.7619164,-4.1369224,-5.536387
Rv1010,ksgA,information pathways,J,3.3053014,-5.4145036,13.716032
Rv1013,pks16,lipid metabolism,IQ,8.081693,-3.305109,12.587848
Rv1019,-,regulatory proteins,K,-2.7291536,-0.24330962,17.939268
Rv1021,-,conserved hypotheticals,R,3.4683974,-4.969521,10.251724
Rv1027c,kdpE,regulatory proteins,TK,-3.7358701,-3.9824388,-5.4053755
Rv1030,kdpB,cell wall and cell processes,P,-3.6021032,-0.6240672,21.655863
Rv1046c,-,unknown,S,-1.1416602,-1.7607863,13.764003
Rv1051c,-,conserved hypotheticals,S,-3.5924976,-4.0571365,-5.2744026
Rv1052,-,conserved hypotheticals,S,-3.6805773,-0.56454086,21.608332
Rv1057,-,conserved hypotheticals,S,3.3895502,-3.561307,10.460004
Rv1058,fadD14,lipid metabolism,IQ,2.3611019,-5.240797,12.918499
Rv1059,-,conserved hypotheticals,E,1.0723782,-6.6727786,13.470789
Rv1060,-,conserved hypotheticals,S,-3.6068304,-4.103908,-5.3354707
Rv1065,-,conserved hypotheticals,S,0.8889926,-6.824949,13.632091
Rv1066,-,conserved hypotheticals,P,-0.3112883,4.0501194,10.672212
Rv1069c,-,conserved hypotheticals,S,3.893585,-2.6938705,10.912329
Rv1070c,echA8,lipid metabolism,I,3.8803604,-2.6842613,10.890497
Rv1071c,echA9,lipid metabolism,I,8.1660595,-3.1024973,13.026744
Rv1072,-,cell wall and cell processes,S,7.264596,-2.7817073,12.241239
Rv1077,cbs,intermediary metabolism and respiration,E,8.005891,-2.4223175,12.540369
Rv1078,pra,conserved hypotheticals,S,2.3151789,-5.239428,12.981268
Rv1079,metB,intermediary metabolism and respiration,E,8.035771,-2.3884377,12.587502
Rv1080c,greA,information pathways,K,6.6997256,-4.274236,10.590214
Rv1081c,-,cell wall and cell processes,S,0.8984462,-6.84782,13.611262
Rv1083,-,conserved hypotheticals,S,7.893821,-2.0155947,13.723032
Rv1085c,-,"virulence, detoxification, adaptation",R,8.132872,-3.1525838,12.648597
Rv1086,-,cell wall and cell processes,I,2.9545975,-5.728015,13.689687
Rv1093,glyA,intermediary metabolism and respiration,E,10.547483,1.9985341,13.269761
Rv1096,-,intermediary metabolism and respiration,G,7.9128594,-2.4888346,12.723103
Rv1099c,glpX,intermediary metabolism and respiration,G,2.9150264,-4.99151,13.8843565
Rv1100,-,conserved hypotheticals,S,7.609399,-2.3704736,12.118748
Rv1101c,-,cell wall and cell processes,R,-3.6683304,-0.5763769,21.680378
Rv1105,-,intermediary metabolism and respiration,I,-3.79196,-2.9208124,-5.005404
Rv1106c,-,intermediary metabolism and respiration,MG,-1.4059823,-2.0962954,13.691773
Rv1107c,xseB,information pathways,L,-3.7629933,-3.080538,-5.078533
Rv1111c,-,conserved hypotheticals,S,-1.2150376,-1.9866103,14.014443
Rv1112,-,conserved hypotheticals,J,5.0782986,-2.937062,12.428988
Rv1114,-,"virulence, detoxification, adaptation",R,-3.7420142,-3.0551398,-5.1260843
Rv1121,zwf1,intermediary metabolism and respiration,G,-3.6177597,-3.4888337,-5.034315
Rv1122,gnd2,intermediary metabolism and respiration,G,10.569037,1.9618123,13.251784
Rv1123c,bpoB,"virulence, detoxification, adaptation",R,-3.7649605,-3.0308201,-5.072748
Rv1125,-,conserved hypotheticals,E,-0.27248687,4.0007124,10.712486
Rv1127c,ppdK,intermediary metabolism and respiration,G,-3.3644886,-3.3211813,-4.5257893
Rv1129c,-,regulatory proteins,K,0.49007404,-5.945384,13.7572565
Rv1130,-,intermediary metabolism and respiration,R,-3.2499464,-3.4266672,-4.9243937
Rv1131,gltA1,intermediary metabolism and respiration,C,0.4920639,-5.9508185,13.757895
Rv1132,-,cell wall and cell processes,S,3.230192,-4.193086,7.8140926
Rv1133c,metE,intermediary metabolism and respiration,E,10.609346,-4.1056986,12.781082
Rv1134,-,conserved hypotheticals,S,-1.36545,-1.8892062,13.779263
Rv1140,-,cell wall and cell processes,R,8.0833645,-2.3750315,12.617262
Rv1144,-,intermediary metabolism and respiration,IQR,3.4030437,-3.4289134,10.515605
Rv1145,mmpL13a,cell wall and cell processes,R,-3.704174,-0.5388325,21.696434
Rv1157c,-,conserved hypotheticals,S,-3.6729019,-3.5183337,-5.0863705
Rv1158c,-,conserved hypotheticals,S,-1.323077,-1.9045064,13.906456
Rv1159,pimE,cell wall and cell processes,S,10.287166,2.009427,13.344221
Rv1159A,phhB,conserved hypotheticals,H,-3.789853,-2.9767811,-5.080005
Rv1165,typA,information pathways,T,-1.2735744,-1.869104,13.927965
Rv1166,lpqW,cell wall and cell processes,E,5.910045,-4.13937,10.613757
Rv1170,mshB,intermediary metabolism and respiration,S,5.082911,-2.858654,12.314753
Rv1173,fbiC,intermediary metabolism and respiration,HR,7.783827,-2.18577,12.204928
Rv1174c,TB8.4,cell wall and cell processes,S,-2.9654393,-0.57085335,19.611147
Rv1178,-,intermediary metabolism and respiration,E,5.094137,-2.8789697,12.300809
Rv1180,pks3,lipid metabolism,Q,-0.13768765,3.909875,10.865842
Rv1181,pks4,lipid metabolism,Q,-0.26196682,4.025707,10.7170925
Rv1183,mmpL10,cell wall and cell processes,R,-2.6219275,-0.38287207,17.707327
Rv1184c,-,cell wall and cell processes,R,-2.7453039,-0.22133847,17.938599
Rv1185c,fadD21,lipid metabolism,IQ,-3.25341,-3.585974,-5.123023
Rv1187,rocA,intermediary metabolism and respiration,C,-3.8696482,-4.0224915,-5.2130404
Rv1192,-,conserved hypotheticals,R,2.6232016,1.9779025,8.5718565
Rv1193,fadD36,lipid metabolism,IQ,1.135683,-6.393781,13.70258
Rv1195,PE13,PE/PPE,S,-3.8801959,-3.955973,-5.374365
Rv1196,PPE18,PE/PPE,S,-3.664217,-4.01868,-5.117956
Rv1205,-,conserved hypotheticals,R,7.8724437,-2.2180696,12.208379
Rv1206,fadD6,lipid metabolism,IQ,2.6222928,-5.000302,13.098851
Rv1208,-,intermediary metabolism and respiration,M,10.531756,-4.2004685,12.906986
Rv1209,-,conserved hypotheticals,S,7.482444,-3.093427,12.221746
Rv1211,-,conserved hypotheticals,S,6.657308,-4.302723,10.572381
Rv1212c,-,intermediary metabolism and respiration,M,3.6684818,-2.5871763,10.683397
Rv1213,glgC,intermediary metabolism and respiration,G,7.8959265,-2.2559247,12.18303
Rv1214c,PE14,PE/PPE,S,7.542411,-1.7187021,13.609651
Rv1217c,-,cell wall and cell processes,M,-1.372092,-1.9178349,13.817221
Rv1218c,-,cell wall and cell processes,V,-3.8764858,-4.05072,-5.131357
Rv1220c,-,intermediary metabolism and respiration,R,4.627229,-3.0987222,12.452907
Rv1226c,-,cell wall and cell processes,S,3.2051759,-4.1820254,7.759683
Rv1235,lpqY,cell wall and cell processes,G,-1.0512699,-2.2046843,13.772737
Rv1237,sugB,cell wall and cell processes,G,-1.4280895,-1.8989146,13.720575
Rv1238,sugC,cell wall and cell processes,G,-2.7286377,-0.2316682,17.926456
Rv1239c,corA,cell wall and cell processes,P,-3.2014232,-3.2628984,-4.9669657
Rv1244,lpqZ,cell wall and cell processes,M,3.544417,-4.5424976,13.46012
Rv1248c,kgd,intermediary metabolism and respiration,C,7.3154855,-2.0455492,12.268259
Rv1251c,-,conserved hypotheticals,L,-3.8461726,-3.9697287,-5.2604246
Rv1252c,lprE,cell wall and cell processes,S,6.717858,-4.238275,10.602098
Rv1253,deaD,information pathways,LKJ,-3.0365338,-0.7258428,19.971804
Rv1255c,-,regulatory proteins,K,-1.3201733,-2.034821,13.783112
Rv1261c,-,conserved hypotheticals,S,-3.8154817,-3.9472423,-5.300636
Rv1263,amiB2,intermediary metabolism and respiration,J,10.327489,-4.004362,12.905354
Rv1264,-,intermediary metabolism and respiration,T,3.1141217,-4.146136,7.511677
Rv1270c,lprA,cell wall and cell processes,S,-3.8338413,-3.9930458,-5.231274
Rv1272c,-,cell wall and cell processes,V,1.6266426,-5.2479186,13.687709
Rv1273c,-,cell wall and cell processes,V,1.7357839,-5.205701,13.74055
Rv1278,-,conserved hypotheticals,L,-2.7543235,-0.36399153,18.284588
Rv1280c,oppA,cell wall and cell processes,E,-3.006178,-0.59072393,19.709894
Rv1281c,oppD,cell wall and cell processes,R,-3.851966,-4.0084085,-5.244833
Rv1282c,oppC,cell wall and cell processes,EP,-1.2018182,-2.002844,13.992203
Rv1283c,oppB,cell wall and cell processes,EP,-0.18980038,3.959078,10.829274
Rv1285,cysD,intermediary metabolism and respiration,EH,7.7890244,-2.2343469,14.387093
Rv1286,cysN,intermediary metabolism and respiration,P,3.0891478,-5.2259507,13.895357
Rv1287,-,conserved hypotheticals,K,3.8110952,-2.8928313,10.914694
Rv1288,-,conserved hypotheticals,R,-3.5709643,-0.5337266,21.655317
Rv1290A,-,conserved hypotheticals,S,-3.638867,-4.010855,-5.2549148
Rv1298,rpmE,information pathways,J,2.132901,-6.367983,13.758321
Rv1300,hemK,intermediary metabolism and respiration,J,7.7458477,-0.41637555,14.497636
Rv1301,-,conserved hypotheticals,J,1.3582188,-6.6166425,13.6517515
Rv1312,-,cell wall and cell processes,S,1.3409007,-6.64365,13.66255
Rv1314c,-,conserved hypotheticals,S,7.9578757,-2.2372148,12.786787
Rv1321,-,conserved hypotheticals,L,-3.8542986,-4.0700083,-5.2306967
Rv1322,-,conserved hypotheticals,S,-3.6157565,-4.1157312,-5.4245105
Rv1323,fadA4,lipid metabolism,I,-3.337105,-0.451694,21.3897
Rv1324,-,intermediary metabolism and respiration,O,7.8733172,-2.213658,12.189494
Rv1328,glgP,intermediary metabolism and respiration,G,7.898246,-2.1508183,12.085603
Rv1331,clpS,conserved hypotheticals,S,-3.6403596,-3.5089526,-5.347696
Rv1332,-,regulatory proteins,S,-3.615854,-0.57996154,21.560062
Rv1333,-,intermediary metabolism and respiration,EQ,-3.7417767,-4.1254663,-5.46608
Rv1334,-,intermediary metabolism and respiration,R,7.734847,-2.2882488,12.1804495
Rv1335,-,intermediary metabolism and respiration,H,3.6213472,-2.689508,10.649504
Rv1336,cysM,intermediary metabolism and respiration,E,4.3651814,-2.7888315,11.530549
Rv1337,-,cell wall and cell processes,R,2.6169991,-5.3223333,13.051283
Rv1338,murI,cell wall and cell processes,M,10.711143,1.8074805,13.178914
Rv1339,-,conserved hypotheticals,R,2.55513,-5.296179,13.08195
Rv1340,rph,information pathways,J,3.220642,-5.31466,14.077482
Rv1341,-,conserved hypotheticals,F,5.445916,-4.2234616,10.572935
Rv1342c,-,cell wall and cell processes,S,10.61212,-4.1393347,12.861775
Rv1343c,lprD,cell wall and cell processes,K,0.87786853,-6.8778186,13.552249
Rv1345,fadD33,lipid metabolism,IQ,3.6744921,-2.622561,10.701423
Rv1346,fadE14,lipid metabolism,I,3.586322,-4.3710494,10.124184
Rv1347c,-,lipid metabolism,J,5.439138,-4.2091618,10.579467
Rv1348,-,cell wall and cell processes,V,1.2089037,-5.711073,13.649545
Rv1349,-,cell wall and cell processes,V,1.3375344,-6.613139,13.680375
Rv1352,-,conserved hypotheticals,S,2.6398125,2.0581636,8.541409
Rv1357c,-,conserved hypotheticals,T,-3.9410684,-3.9465241,-5.5416718
Rv1359,-,regulatory proteins,T,7.480204,-0.66897124,14.890301
Rv1360,-,intermediary metabolism and respiration,C,3.4396477,-6.370526,10.419185
Rv1364c,-,information pathways,T,-2.3323867,-0.5195458,17.468807
Rv1366,-,conserved hypotheticals,S,3.4998362,-4.5821414,10.135242
Rv1369c,-,insertion seqs and phages,L,10.927662,3.5168693,8.713677
Rv1371,-,cell wall and cell processes,S,2.6013763,2.2543278,8.581008
Rv1372,-,conserved hypotheticals,Q,-3.5542731,-0.60343796,21.63608
Rv1386,PE15,PE/PPE,S,6.699056,-4.302974,10.539116
Rv1387,PPE20,PE/PPE,S,3.4177077,-4.086293,8.094867
Rv1395,-,regulatory proteins,K,3.087121,-4.2120986,7.4720616
Rv1398c,-,"virulence, detoxification, adaptation",S,-3.6044607,-0.60930026,21.62866
Rv1400c,lipI,intermediary metabolism and respiration,I,3.1090326,-4.1734934,7.531663
Rv1401,-,cell wall and cell processes,S,-3.8561392,-4.0477834,-5.2828255
Rv1402,priA,information pathways,L,7.812661,-0.22337085,14.485642
Rv1405c,-,intermediary metabolism and respiration,QR,1.4523084,-5.290652,13.732318
Rv1406,fmt,information pathways,J,9.733919,-4.228334,12.734911
Rv1407,fmu,information pathways,J,-3.357533,-3.3501325,-4.6328697
Rv1409,ribG,intermediary metabolism and respiration,H,10.567297,-4.12594,12.793477
Rv1410c,-,cell wall and cell processes,GEPR,3.220833,-5.4773374,13.699658
Rv1411c,lprG,cell wall and cell processes,S,2.850767,-5.831401,13.680594
Rv1412,ribC,intermediary metabolism and respiration,H,10.599509,-4.1937637,12.864227
Rv1413,-,conserved hypotheticals,E,3.3725512,-3.4292822,10.548481
Rv1415,ribA2,intermediary metabolism and respiration,H,10.5873165,-4.1578555,12.832459
Rv1418,lprH,cell wall and cell processes,S,-3.9299161,-3.91431,-5.359466
Rv1420,uvrC,information pathways,L,2.7597888,-5.8022003,13.602859
Rv1421,-,conserved hypotheticals,R,2.413894,-5.702351,13.402357
Rv1422,-,conserved hypotheticals,S,3.1486552,-5.2344327,13.874638
Rv1427c,fadD12,lipid metabolism,IQ,-3.5832765,-0.5530745,21.519493
Rv1428c,-,conserved hypotheticals,I,0.48695984,-5.9383817,13.787794
Rv1429,-,conserved hypotheticals,TQ,3.4075232,-6.3921547,10.388164
Rv1431,-,cell wall and cell processes,S,3.0453792,-4.1153293,7.4717135
Rv1432,-,intermediary metabolism and respiration,Q,4.1989484,-3.1674058,12.468303
Rv1433,-,cell wall and cell processes,S,4.0461454,-3.1988013,11.210714
Rv1435c,-,cell wall and cell processes,S,3.7358491,-2.66868,10.761923
Rv1436,gap,intermediary metabolism and respiration,G,9.672613,-4.193096,12.690682
Rv1437,pgk,intermediary metabolism and respiration,G,9.663537,-4.1930313,12.68552
Rv1439c,-,conserved hypotheticals,S,-2.8019068,-0.32523134,18.03196
Rv1445c,devB,intermediary metabolism and respiration,G,3.3078125,-5.8719435,10.521834
Rv1447c,zwf2,intermediary metabolism and respiration,G,-2.9823537,-0.5597335,19.667944
Rv1448c,tal,intermediary metabolism and respiration,G,7.756528,-2.190184,14.423724
Rv1457c,-,cell wall and cell processes,V,6.6764207,-4.313894,10.5516
Rv1458c,-,cell wall and cell processes,V,7.389041,-3.213921,12.308444
Rv1460,-,regulatory proteins,K,-3.5973225,-3.7364707,-5.0079045
Rv1464,csd,intermediary metabolism and respiration,E,10.38115,-4.287836,12.904874
Rv1470,trxA,intermediary metabolism and respiration,OC,2.6179228,2.3183258,8.546179
Rv1471,trxB1,intermediary metabolism and respiration,OC,-2.728855,-0.25216463,17.921604
Rv1473,-,cell wall and cell processes,R,-2.9865406,-0.76431066,19.906246
Rv1473A,-,regulatory proteins,S,-3.7242618,-3.6616464,-5.0231595
Rv1477,-,"virulence, detoxification, adaptation",M,6.616346,-4.3592525,10.626084
Rv1478,-,"virulence, detoxification, adaptation",M,-3.6971142,-3.3293185,-4.7023015
Rv1489A,-,conserved hypotheticals,I,3.317562,-5.8641396,10.501023
Rv1492,mutA,lipid metabolism,I,-3.414111,-3.3502479,-4.6085806
Rv1494,-,"virulence, detoxification, adaptation",S,-3.6450508,-0.6309667,21.581297
Rv1496,-,cell wall and cell processes,E,-3.8094597,-3.884853,-5.368348
Rv1498c,-,intermediary metabolism and respiration,QR,-1.271381,-1.909398,13.888198
Rv1500,-,intermediary metabolism and respiration,M,-3.7896988,-3.9846454,-5.2191305
Rv1502,-,unknown,G,3.3883038,-6.401663,10.428226
Rv1507c,-,conserved hypotheticals,S,3.3725495,-5.8618836,10.435875
Rv1508c,-,cell wall and cell processes,S,-3.634909,-0.56106067,21.652874
Rv1512,epiA,intermediary metabolism and respiration,MG,2.727021,-5.8709393,13.658817
Rv1515c,-,conserved hypotheticals,QR,-3.8016021,-3.579754,-5.449685
Rv1516c,-,intermediary metabolism and respiration,M,3.2743201,-6.119983,10.533925
Rv1517,-,cell wall and cell processes,S,-3.8051658,-3.8529828,-5.2494216
Rv1518,-,conserved hypotheticals,M,3.4106195,-6.380796,10.398679
Rv1524,-,intermediary metabolism and respiration,GC,-3.788233,-3.8308342,-5.48064
Rv1526c,-,intermediary metabolism and respiration,GC,-3.6520479,-0.53371906,21.57537
Rv1528c,papA4,lipid metabolism,S,-3.795832,-3.793905,-5.375512
Rv1530,adh,intermediary metabolism and respiration,ER,2.6638157,2.3026512,8.533708
Rv1532c,-,conserved hypotheticals,Q,-3.990467,-3.8431287,-5.452511
Rv1534,-,regulatory proteins,K,-1.2972555,-1.967299,13.853208
Rv1537,dinX,information pathways,L,2.6541119,2.293715,8.523925
Rv1538c,ansA,intermediary metabolism and respiration,EJ,1.8685691,-5.051887,13.743488
Rv1540,-,conserved hypotheticals,J,10.376713,-4.105971,12.67611
Rv1541c,lprI,cell wall and cell processes,R,-3.6068523,-3.8897712,-5.4671106
Rv1543,-,lipid metabolism,IQR,3.4791973,-4.8958807,10.254982
Rv1544,-,lipid metabolism,R,-2.8212662,-0.6633911,19.437277
Rv1556,-,regulatory proteins,K,-3.29072,-0.69715977,21.531324
Rv1558,-,conserved hypotheticals,S,-3.5976758,-0.5848923,21.595724
Rv1559,ilvA,intermediary metabolism and respiration,E,3.2348397,-5.2778134,13.901484
Rv1562c,treZ,"virulence, detoxification, adaptation",G,5.3403463,-4.148596,10.593485
Rv1563c,treY,"virulence, detoxification, adaptation",G,-3.6646671,-3.925749,-5.3643255
Rv1564c,treX,"virulence, detoxification, adaptation",G,5.338339,-4.1548867,10.581197
Rv1565c,-,cell wall and cell processes,I,3.1091037,-5.3832884,13.615903
Rv1566c,-,"virulence, detoxification, adaptation",M,3.2852123,-5.4180307,13.561026
Rv1568,bioA,intermediary metabolism and respiration,H,1.470414,-4.966585,13.96156
Rv1569,bioF1,intermediary metabolism and respiration,H,1.664968,-5.279284,13.730942
Rv1576c,-,insertion seqs and phages,R,-3.5260084,-0.64691395,21.6134
Rv1579c,-,insertion seqs and phages,S,-3.728073,-3.9086912,-5.309325
Rv1582c,-,insertion seqs and phages,R,10.023118,1.3170774,13.399485
Rv1585c,-,insertion seqs and phages,S,7.8042684,-2.2172406,14.371162
Rv1586c,-,insertion seqs and phages,L,7.8054442,-0.24373898,14.495148
Rv1587c,-,insertion seqs and phages,S,-1.3505495,-1.9571446,13.767693
Rv1589,bioB,intermediary metabolism and respiration,H,1.4671512,-4.9813232,13.957196
Rv1590,-,conserved hypotheticals,S,10.632753,-4.190573,12.87603
Rv1592c,-,conserved hypotheticals,S,2.6303148,-5.041948,13.184592
Rv1595,nadB,intermediary metabolism and respiration,H,5.461162,-4.2432103,10.562873
Rv1608c,bcpB,"virulence, detoxification, adaptation",O,-3.8526304,-3.9689927,-5.33845
Rv1609,trpE,intermediary metabolism and respiration,EH,1.3763682,-6.655779,13.694959
Rv1612,trpB,intermediary metabolism and respiration,E,10.6059475,-4.1423697,12.813309
Rv1615,-,cell wall and cell processes,S,-3.7583096,-3.8753262,-5.3907166
Rv1617,pykA,intermediary metabolism and respiration,G,10.492237,1.9839934,13.29611
Rv1620c,cydC,intermediary metabolism and respiration,V,7.8795733,0.016667359,14.332051
Rv1621c,cydD,intermediary metabolism and respiration,CO,10.290228,2.0815709,13.43372
Rv1622c,cydB,intermediary metabolism and respiration,C,10.0599375,1.9596401,13.5025215
Rv1623c,cydA,intermediary metabolism and respiration,C,10.40023,2.054712,13.375
Rv1626,-,regulatory proteins,T,7.2329783,-2.4229574,12.1903
Rv1627c,-,lipid metabolism,I,0.48412332,-5.9320717,13.764622
Rv1630,rpsA,information pathways,J,5.900608,-4.140736,10.6137295
Rv1633,uvrB,information pathways,L,1.1609995,-6.424655,13.342736
Rv1634,-,cell wall and cell processes,GEPR,8.034788,-2.3780625,12.561567
Rv1635c,-,cell wall and cell processes,S,6.849231,-4.0783195,10.943957
Rv1636,TB15.3,"virulence, detoxification, adaptation",T,1.4538014,-6.6240487,13.706594
Rv1638,uvrA,information pathways,L,2.1568732,-5.367622,13.036863
Rv1640c,lysS,information pathways,J,7.9156256,-3.35346,12.585532
Rv1644,tsnR,information pathways,J,-3.6022398,-0.62247026,21.5464
Rv1664,pks9,lipid metabolism,Q,0.94100666,-6.791674,13.621884
Rv1672c,-,cell wall and cell processes,GEPR,-3.6828952,-3.8297691,-5.3597956
Rv1673c,-,conserved hypotheticals,E,7.244802,-0.44234487,14.810829
Rv1677,dsbF,cell wall and cell processes,OC,-3.553244,-0.5762221,21.519728
Rv1678,-,cell wall and cell processes,S,-3.7644567,-3.983534,-5.278147
Rv1679,fadE16,lipid metabolism,I,-3.6666274,-3.729845,-5.571891
Rv1682,-,conserved hypotheticals,S,0.9083125,-6.82083,13.64318
Rv1683,-,lipid metabolism,IQ,10.195469,-4.263411,12.615529
Rv1690,lprJ,cell wall and cell processes,S,3.7137282,-2.5775638,10.725784
Rv1691,-,conserved hypotheticals,R,-1.2934982,-1.8759232,14.191934
Rv1692,-,intermediary metabolism and respiration,G,-3.5239227,-0.6461871,21.584
Rv1698,-,cell wall and cell processes,S,3.7280905,-2.6610804,10.764933
Rv1700,-,information pathways,LR,0.90626544,-6.8146453,13.625792
Rv1701,xerD,insertion seqs and phages,L,1.4287949,-6.591688,13.6496935
Rv1707,-,cell wall and cell processes,P,10.379701,-4.0738044,12.712942
Rv1708,-,cell wall and cell processes,D,10.652305,-4.1789746,12.839057
Rv1709,-,cell wall and cell processes,S,-3.1197853,-0.718095,20.657341
Rv1710,-,cell wall and cell processes,K,-3.4871924,-0.6569347,21.50441
Rv1711,-,conserved hypotheticals,J,7.109814,-3.7878013,11.332672
Rv1712,cmk,intermediary metabolism and respiration,F,2.4733963,-5.7201285,13.494929
Rv1717,-,conserved hypotheticals,G,8.233059,-3.0304835,13.118415
Rv1720c,-,"virulence, detoxification, adaptation",R,-3.889113,-3.7598832,-5.363695
Rv1725c,-,conserved hypotheticals,K,7.496767,-0.6651466,14.877217
Rv1729c,-,lipid metabolism,Q,3.0966086,-4.1580667,7.524758
Rv1730c,-,cell wall and cell processes,V,7.5608196,-1.7316952,13.616042
Rv1731,gabD2,intermediary metabolism and respiration,C,-0.25385797,4.013635,10.708956
Rv1732c,-,conserved hypotheticals,OC,0.932923,-6.7992215,13.595397
Rv1733c,-,cell wall and cell processes,S,3.7127168,-2.6170726,10.720982
Rv1735c,-,cell wall and cell processes,P,2.6425836,2.3337834,8.550751
Rv1736c,narX,intermediary metabolism and respiration,C,-0.25628263,3.99884,10.708807
Rv1737c,narK2,cell wall and cell processes,P,-0.25770882,4.0049815,10.714239
Rv1745c,idi,intermediary metabolism and respiration,I,8.030247,-2.3823297,12.574728
Rv1747,-,cell wall and cell processes,V,7.260615,-3.816141,11.937996
Rv1749c,-,cell wall and cell processes,S,-2.7476733,-0.22938167,17.940157
Rv1751,-,intermediary metabolism and respiration,HC,-3.8010955,-3.8082378,-5.3630323
Rv1752,-,conserved hypotheticals,R,-3.6885614,-3.7210374,-5.4539895
Rv1754c,-,conserved hypotheticals,S,4.256136,-3.3592494,11.269311
Rv1755c,plcD,intermediary metabolism and respiration,M,7.843623,-2.116143,14.053294
Rv1756c,-,insertion seqs and phages,L,10.914892,3.5039694,8.733457
Rv1758,cut1,cell wall and cell processes,S,7.8339825,-0.1886934,14.469496
Rv1759c,wag22,PE/PPE,S,10.014359,1.2770098,13.412117
Rv1760,-,lipid metabolism,S,10.665985,1.5765101,13.215271
Rv1762c,-,conserved hypotheticals,S,7.4797773,-0.67072225,14.846168
Rv1764,-,insertion seqs and phages,L,10.910284,3.49945,8.7290745
Rv1768,PE_PGRS31,PE/PPE,S,-0.24746272,4.0191565,10.697583
Rv1773c,-,regulatory proteins,K,-3.541179,-0.5503213,21.605268
Rv1775,-,conserved hypotheticals,S,-3.5940607,-0.44945675,21.561987
Rv1776c,-,regulatory proteins,K,-1.3981776,-1.8655622,13.751158
