#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	Sum Ctrl	Sum Exp	Delta Sum	p-value	Adj. p-value
Rv1127c	ppdK	pyruvate phosphate dikinase 	19	15.0	17.6	0.23	900.5	1057.02	156.5	0.53120	1.00000
Rv1128c	-	hypothetical protein Rv1128c 	29	8.4	11.6	0.47	837.6	1161.61	324.0	0.31230	0.90592
Rv1129c	-	PROBABLE TRANSCRIPTIONAL REGULATOR PROTEIN 	27	18.2	21.7	0.25	1676.6	1996.35	319.8	0.45110	0.97453
Rv1130	-	hypothetical protein Rv1130 	27	28.6	24.0	-0.25	2856.5	2403.14	-453.4	0.47080	0.97453
Rv1131	gltA1	methylcitrate synthase 	16	15.6	33.8	1.11	935.4	2025.29	1089.9	0.10480	0.56355
Rv1132	-	hypothetical protein Rv1132 	26	23.6	37.9	0.68	2458.8	3944.55	1485.8	0.30520	0.89724
Rv1133c	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 	35	0.0	0.6	0.64	0.0	6.66	6.7	0.21610	0.79177
Rv1134	-	hypothetical protein Rv1134 	5	46.9	54.0	0.20	750.3	864.07	113.7	0.87180	1.00000
Rv1135A	-	POSSIBLE ACETYL-CoA ACETYLTRANSFERASE (ACETOACETYL-CoA THIOLASE) 	6	76.2	75.1	-0.02	1524.1	1502.96	-21.1	0.96340	1.00000
Rv1135c	PPE16	PPE FAMILY PROTEIN 	25	53.6	44.5	-0.27	4928.4	4091.92	-836.5	0.26100	0.85847
Rv1136	-	POSSIBLE ENOYL-CoA HYDRATASE 	3	45.1	36.4	-0.31	540.7	436.70	-104.0	0.54930	1.00000
Rv1137c	-	hypothetical protein Rv1137c 	2	52.5	40.7	-0.37	419.7	325.27	-94.4	0.61140	1.00000
Rv1138c	-	POSSIBLE OXIDOREDUCTASE 	17	47.5	71.9	0.60	3040.7	4602.12	1561.4	0.28380	0.88190
Rv1139c	-	hypothetical protein Rv1139c 	13	73.9	54.8	-0.43	3840.7	2848.79	-991.9	0.24780	0.83966
Rv1140	-	PROBABLE INTEGRAL MEMBRANE PROTEIN 	11	19.5	20.0	0.04	778.1	799.53	21.4	0.93390	1.00000
Rv1141c	echA11	enoyl-CoA hydratase 	14	63.4	65.8	0.05	3548.8	3685.94	137.1	0.88570	1.00000
Rv1142c	echA10	enoyl-CoA hydratase 	8	58.2	57.7	-0.01	1863.8	1846.19	-17.6	0.97890	1.00000
Rv1143	mcr	PROBABLE ALPHA-METHYLACYL-CoA RACEMASE MCR (2-methylacyl-CoA racemase) (2-arylpropionyl-CoA epimerase ) 	15	113.7	102.6	-0.15	6819.3	6157.38	-661.9	0.67790	1.00000
Rv1144	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	11	56.3	91.9	0.71	2477.6	4043.03	1565.4	0.30120	0.89324
Rv1145	mmpL13a	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL13A 	11	33.9	52.3	0.63	1491.5	2302.59	811.1	0.03650	0.30090
Rv1146	mmpL13b	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL13B 	23	108.4	111.5	0.04	9542.1	9815.19	273.0	0.86460	1.00000
Rv1147	-	hypothetical protein Rv1147 	9	43.5	51.2	0.24	1564.7	1843.18	278.5	0.54440	1.00000
Rv1148c	-	hypothetical protein Rv1148c 	23	46.5	55.9	0.27	4279.4	5147.40	868.0	0.25980	0.85847
Rv1149	-	POSSIBLE TRANSPOSASE 	6	42.6	44.5	0.06	1022.9	1068.35	45.4	0.88900	1.00000
Rv1151c	-	NAD-dependent deacetylase 	9	87.4	98.1	0.17	3145.1	3532.61	387.5	0.64220	1.00000
Rv1152	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	52.1	55.9	0.10	1041.2	1118.96	77.8	0.87020	1.00000
Rv1153c	omt	PROBABLE O-METHYLTRANSFERASE OMT 	19	65.0	66.5	0.03	4940.5	5054.00	113.5	0.92190	1.00000
Rv1154c	-	hypothetical protein Rv1154c 	16	65.9	80.4	0.29	4219.1	5142.79	923.7	0.52400	1.00000
Rv1155	-	hypothetical protein Rv1155 	11	68.5	70.2	0.04	2741.9	2809.43	67.5	0.90840	1.00000
Rv1156	-	hypothetical protein Rv1156 	12	64.6	49.0	-0.40	2841.0	2154.41	-686.6	0.39580	0.96168
Rv1157c	-	CONSERVED HYPOTHETICAL ALA-, PRO-RICH PROTEIN 	8	51.7	5.1	-3.34	1447.2	142.81	-1304.4	0.00000	0.00000
Rv1158c	-	CONSERVED HYPOTHETICAL ALA-, PRO-RICH PROTEIN 	11	40.5	5.8	-2.80	1620.1	232.68	-1387.4	0.00600	0.07528
Rv1159	pimE	mannosyltransferase 	28	129.4	4.5	-4.85	13977.9	485.13	-13492.7	0.00000	0.00000
Rv1159A	phhB	pterin-4-alpha-carbinolamine dehydratase 	13	25.5	30.4	0.25	1121.7	1338.25	216.6	0.59850	1.00000
Rv1160	mutT2	PROBABLE MUTATOR PROTEIN MUTT (7,8-dihydro-8-oxoguanine-triphosphatase) (8-OXO-DGTPASE) 	4	30.4	39.0	0.36	486.7	623.54	136.8	0.59120	1.00000
Rv1161	narG	PROBABLE RESPIRATORY NITRATE REDUCTASE (ALPHA CHAIN) NARG 	75	37.4	49.6	0.41	10633.9	14089.40	3455.5	0.02910	0.25688
Rv1162	narH	PROBABLE RESPIRATORY NITRATE REDUCTASE (BETA CHAIN) NARH 	35	58.5	80.3	0.46	7952.6	10917.24	2964.6	0.02480	0.23174
Rv1163	narJ	PROBABLE RESPIRATORY NITRATE REDUCTASE (DELTA CHAIN) NARJ 	15	45.0	49.5	0.14	2700.9	2971.10	270.2	0.67820	1.00000
Rv1164	narI	PROBABLE RESPIRATORY NITRATE REDUCTASE (GAMMA CHAIN) NARI 	18	63.9	86.4	0.43	4090.2	5528.46	1438.3	0.13490	0.64589
Rv1165	typA	POSSIBLE GTP-BINDING TRANSLATION ELONGATION FACTOR TYPA (TYROSINE PHOSPHORYLATED PROTEIN A) (GTP-BINDING PROTEIN) 	15	58.6	103.9	0.83	3513.4	6234.71	2721.3	0.00410	0.05435
Rv1166	lpqW	PROBABLE CONSERVED LIPOPROTEIN LPQW 	23	0.0	0.6	0.72	0.0	5.19	5.2	0.46140	0.97453
Rv1167c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	9	26.0	44.0	0.76	833.2	1408.25	575.1	0.18960	0.76725
Rv1168c	PPE17	PPE FAMILY PROTEIN 	16	79.5	72.4	-0.13	5086.3	4632.41	-453.9	0.64120	1.00000
Rv1169c	PE11	PE FAMILY PROTEIN 	3	70.9	110.6	0.64	850.6	1326.75	476.1	0.36570	0.94374
Rv1170	mshB	N-Acetyl-1-D-myo-Inosityl-2-Amino-2-Deoxy-alpha- D-Glucopyranoside Deacetylase mshB (GlcNAc-Ins deacetylase) 	11	13.9	37.0	1.41	558.0	1481.80	923.8	0.00390	0.05187
Rv1171	-	hypothetical protein Rv1171 	6	55.0	91.5	0.73	1321.1	2196.61	875.5	0.09520	0.54264
Rv1172c	PE12	PE FAMILY PROTEIN 	15	40.1	46.0	0.20	2403.3	2760.67	357.4	0.53360	1.00000
Rv1173	fbiC	FO synthase 	43	18.4	14.4	-0.36	2939.8	2297.36	-642.4	0.24760	0.83966
Rv1174c	TB8.4	LOW MOLECULAR WEIGHT T-CELL ANTIGEN TB8.4 	8	151.5	192.1	0.34	4846.6	6146.04	1299.5	0.28490	0.88251
Rv1175c	fadH	PROBABLE NADPH DEPENDENT 2,4-DIENOYL-COA REDUCTASE FADH (2,4-dienoyl coenzyme A reductase) (4-enoyl-CoA reductase) 	28	38.3	40.9	0.09	4295.0	4581.36	286.4	0.74080	1.00000
Rv1176c	-	hypothetical protein Rv1176c 	15	39.2	55.5	0.50	2196.3	3107.68	911.4	0.16470	0.70738
Rv1177	fdxC	PROBABLE FERREDOXIN FDXC 	7	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1178	-	N-succinyldiaminopimelate aminotransferase 	20	12.5	100.5	3.01	948.5	7635.00	6686.5	0.00000	0.00000
Rv1179c	-	hypothetical protein Rv1179c 	41	36.0	49.0	0.45	5761.0	7847.82	2086.8	0.05290	0.37894
Rv1180	pks3	PROBABLE POLYKETIDE BETA-KETOACYL SYNTHASE PKS3 	25	8.5	11.6	0.44	716.0	970.63	254.6	0.21960	0.79727
Rv1181	pks4	PROBABLE POLYKETIDE BETA-KETOACYL SYNTHASE PKS4 	70	14.1	16.1	0.19	3507.2	3997.46	490.3	0.39670	0.96168
Rv1182	papA3	PROBABLE CONSERVED POLYKETIDE SYNTHASE ASSOCIATED PROTEIN PAPA3 	40	12.3	17.4	0.50	1823.7	2581.79	758.1	0.19880	0.77958
Rv1183	mmpL10	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL10 	52	23.0	17.7	-0.38	4321.0	3326.44	-994.5	0.15600	0.68974
Rv1184c	-	POSSIBLE EXPORTED PROTEIN 	22	19.0	21.4	0.17	1598.2	1795.62	197.5	0.62380	1.00000
Rv1185c	fadD21	acyl-CoA synthetase 	32	20.8	27.0	0.38	2656.7	3461.42	804.7	0.12740	0.62834
Rv1186c	-	hypothetical protein Rv1186c 	18	14.8	18.2	0.30	945.0	1165.22	220.3	0.45100	0.97453
Rv1187	rocA	PROBABLE PYRROLINE-5-CARBOXYLATE DEHYDROGENASE ROCA 	24	12.1	8.7	-0.48	774.7	556.64	-218.1	0.31130	0.90531
Rv1188	-	PROBABLE PROLINE DEHYDROGENASE 	21	16.7	28.7	0.78	866.3	1490.57	624.2	0.12960	0.63362
Rv1189	sigI	RNA polymerase sigma factor SigI 	8	18.3	17.3	-0.08	584.5	553.57	-31.0	0.90070	1.00000
Rv1190	-	hypothetical protein Rv1190 	9	33.7	28.3	-0.25	1078.1	906.62	-171.5	0.60330	1.00000
Rv1191	-	hypothetical protein Rv1191 	9	46.2	48.7	0.08	1661.9	1751.52	89.6	0.84800	1.00000
Rv1192	-	hypothetical protein Rv1192 	14	35.7	39.8	0.16	1998.9	2227.21	228.3	0.71360	1.00000
Rv1193	fadD36	acyl-CoA synthetase 	21	13.4	6.5	-1.04	1018.8	497.15	-521.6	0.01500	0.15960
Rv1194c	-	hypothetical protein Rv1194c 	18	36.1	29.1	-0.31	2309.9	1863.31	-446.5	0.36310	0.94128
Rv1195	PE13	PE FAMILY PROTEIN 	5	103.4	83.9	-0.30	2068.6	1677.08	-391.5	0.54080	1.00000
Rv1196	PPE18	PPE FAMILY PROTEIN 	10	85.8	52.9	-0.70	3430.3	2114.54	-1315.7	0.07450	0.47097
Rv1197	esxK	ESAT-6 LIKE PROTEIN ESXK (ESAT-6 LIKE PROTEIN 3) 	3	92.0	77.8	-0.24	1103.9	933.41	-170.5	0.50710	0.99554
Rv1198	esxL	PUTATIVE ESAT-6 LIKE PROTEIN ESXL (ESAT-6 LIKE PROTEIN 4) 	4	67.6	80.6	0.26	1080.9	1290.37	209.5	0.54420	1.00000
Rv1199c	-	POSSIBLE TRANSPOSASE 	16	40.0	39.8	-0.01	2561.5	2549.65	-11.9	0.97840	1.00000
Rv1200	-	PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN 	29	73.8	72.7	-0.02	8563.1	8431.72	-131.3	0.93530	1.00000
Rv1201c	-	PROBABLE TRANSFERASE 	11	0.4	0.8	1.06	3.1	6.43	3.3	1.00000	1.00000
Rv1202	dapE	dipeptidase 	16	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1203c	-	hypothetical protein Rv1203c 	8	46.8	52.9	0.17	1499.1	1691.90	192.8	0.68900	1.00000
Rv1204c	-	hypothetical protein Rv1204c 	16	65.6	59.8	-0.13	4195.3	3826.76	-368.6	0.57740	1.00000
Rv1205	-	hypothetical protein Rv1205 	13	42.7	54.1	0.34	2217.9	2811.15	593.2	0.25790	0.85609
Rv1206	fadD6	acyl-CoA synthetase 	37	41.4	45.0	0.12	5957.4	6475.84	518.4	0.54890	1.00000
Rv1207	folP2	PROBABLE DIHYDROPTEROATE SYNTHASE 2 FOLP2 (DHPS 2) (Dihydropteroate pyrophosphorylase 2) 	10	22.3	41.2	0.89	890.2	1648.75	758.6	0.21010	0.79175
Rv1208	-	hypothetical protein Rv1208 	14	0.4	0.0	-0.48	7.9	0.00	-7.9	0.04260	0.33394
Rv1209	-	hypothetical protein Rv1209 	5	81.2	21.5	-1.92	1623.8	429.65	-1194.2	0.00000	0.00000
Rv1210	tagA	PROBABLE DNA-3-METHYLADENINE GLYCOSYLASE I TAGA (TAG I) (3-methyladenine-DNA glycosylase I, constitutive) (DNA-3-methyladenine glycosidase I ) 	11	77.4	51.3	-0.59	3406.6	2258.93	-1147.7	0.11200	0.58877
Rv1211	-	hypothetical protein Rv1211 	4	28.6	0.2	-7.39	458.1	2.72	-455.4	0.00020	0.00358
Rv1212c	-	PUTATIVE GLYCOSYL TRANSFERASE 	32	55.0	41.2	-0.42	6597.5	4939.34	-1658.2	0.10640	0.56985
Rv1213	glgC	glucose-1-phosphate adenylyltransferase 	30	58.0	62.5	0.11	6958.2	7495.34	537.2	0.72000	1.00000
Rv1214c	PE14	PE FAMILY PROTEIN 	5	35.1	41.5	0.24	701.5	830.25	128.7	0.60990	1.00000
Rv1215c	-	hypothetical protein Rv1215c 	26	26.4	31.8	0.27	2637.4	3180.14	542.7	0.37770	0.95196
Rv1216c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	19	40.4	54.8	0.44	3072.5	4163.76	1091.2	0.12790	0.63003
Rv1217c	-	PROBABLE TETRONASIN-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER 	20	19.2	19.4	0.02	1535.8	1553.26	17.5	0.96290	1.00000
Rv1218c	-	PROBABLE TETRONASIN-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	6	24.2	41.7	0.78	580.9	1000.55	419.6	0.11200	0.58877
Rv1219c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	10	24.4	38.1	0.64	974.5	1523.34	548.8	0.19650	0.77781
Rv1220c	-	PROBABLE METHYLTRANSFERASE 	10	79.4	53.2	-0.58	3175.7	2126.50	-1049.2	0.13470	0.64589
Rv1221	sigE	RNA polymerase sigma factor SigE 	17	13.6	11.0	-0.30	923.6	750.12	-173.5	0.66000	1.00000
Rv1222	-	hypothetical protein Rv1222 	2	103.6	49.0	-1.08	828.6	392.27	-436.3	0.24050	0.82790
Rv1223	htrA	PROBABLE SERINE PROTEASE HTRA (DEGP PROTEIN) 	22	37.7	27.8	-0.44	1056.7	777.76	-278.9	0.55260	1.00000
Rv1224	tatB	sec-independent translocase 	5	0.9	0.0	-0.90	10.4	0.00	-10.4	0.09590	0.54352
Rv1225c	-	hypothetical protein Rv1225c 	6	58.7	96.3	0.71	1409.3	2310.94	901.6	0.04510	0.34682
Rv1226c	-	PROBABLE TRANSMEMBRANE PROTEIN 	15	59.3	61.8	0.06	3556.8	3706.23	149.5	0.88600	1.00000
Rv1227c	-	PROBABLE TRANSMEMBRANE PROTEIN 	6	31.3	25.4	-0.30	750.8	609.84	-141.0	0.49870	0.99286
Rv1228	lpqX	PROBABLE LIPOPROTEIN LPQX 	9	87.2	99.4	0.19	3140.8	3577.92	437.1	0.58180	1.00000
Rv1229c	mrp	PROBABLE MRP-RELATED PROTEIN MRP 	16	38.6	28.7	-0.43	309.0	229.56	-79.4	0.46850	0.97453
Rv1230c	-	POSSIBLE MEMBRANE PROTEIN 	20	33.3	45.0	0.43	2663.3	3599.50	936.2	0.14100	0.65723
Rv1231c	-	PROBABLE MEMBRANE PROTEIN 	7	48.5	49.2	0.02	1359.0	1376.37	17.4	0.96230	1.00000
Rv1232c	-	hypothetical protein Rv1232c 	11	100.3	91.6	-0.13	4413.2	4032.43	-380.8	0.64550	1.00000
Rv1233c	-	hypothetical protein Rv1233c 	19	45.6	78.1	0.78	3283.4	5622.51	2339.1	0.10360	0.56317
Rv1234	-	PROBABLE TRANSMEMBRANE PROTEIN 	9	41.7	54.0	0.37	1333.0	1726.68	393.7	0.35560	0.94128
Rv1235	lpqY	PROBABLE SUGAR-BINDING LIPOPROTEIN LPQY 	30	25.1	39.4	0.65	2608.0	4101.61	1493.6	0.03040	0.26717
Rv1236	sugA	PROBABLE SUGAR-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER SUGA 	19	34.1	37.2	0.13	2592.2	2827.76	235.5	0.72120	1.00000
Rv1237	sugB	PROBABLE SUGAR-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER SUGB 	12	14.5	26.1	0.85	694.9	1252.76	557.9	0.07700	0.47930
Rv1238	sugC	PROBABLE SUGAR-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER SUGC 	25	18.3	15.2	-0.27	1683.3	1395.84	-287.5	0.38990	0.96168
Rv1239c	corA	POSSIBLE MAGNESIUM AND COBALT TRANSPORT TRANSMEMBRANE PROTEIN CORA 	25	23.9	31.6	0.40	2105.6	2780.66	675.1	0.08820	0.52100
Rv1240	mdh	malate dehydrogenase 	5	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1241	-	hypothetical protein Rv1241 	1	20.5	36.1	0.82	82.1	144.50	62.4	0.40140	0.96168
Rv1242	-	hypothetical protein Rv1242 	9	38.7	54.7	0.50	1392.2	1970.69	578.4	0.13980	0.65470
Rv1243c	PE_PGRS23	PE-PGRS FAMILY PROTEIN 	19	36.1	42.5	0.24	2454.9	2892.88	438.0	0.33020	0.92442
Rv1244	lpqZ	PROBABLE LIPOPROTEIN LPQZ 	8	59.6	8.0	-2.89	1908.5	257.12	-1651.4	0.00000	0.00000
Rv1245c	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	14	50.9	49.4	-0.04	2648.1	2567.28	-80.8	0.88830	1.00000
Rv1246c	-	hypothetical protein Rv1246c 	7	87.9	77.8	-0.18	2462.1	2177.04	-285.1	0.64440	1.00000
Rv1247c	-	hypothetical protein Rv1247c 	6	33.8	36.5	0.11	810.2	874.89	64.7	0.83830	1.00000
Rv1248c	kgd	alpha-ketoglutarate decarboxylase 	46	0.8	2.4	1.63	111.3	343.85	232.5	0.00000	0.00000
Rv1249c	-	POSSIBLE MEMBRANE PROTEIN 	12	80.3	103.0	0.36	3854.3	4945.22	1091.0	0.52090	1.00000
Rv1250	-	PROBABLE DRUG-TRANSPORT INTEGRAL MEMBRANE PROTEIN 	31	40.7	45.9	0.17	4887.4	5511.04	623.7	0.58390	1.00000
Rv1251c	-	hypothetical protein Rv1251c 	61	24.7	28.4	0.20	5539.2	6368.43	829.2	0.43150	0.97293
Rv1252c	lprE	PROBABLE LIPOPROTEIN LPRE 	7	111.7	31.6	-1.82	3128.9	885.44	-2243.5	0.00010	0.00186
Rv1253	deaD	PROBABLE COLD-SHOCK DEAD-BOX PROTEIN A HOMOLOG DEAD (ATP-dependent RNA helicase deaD homolog) 	35	27.9	40.3	0.53	3230.7	4679.98	1449.2	0.08780	0.51977
Rv1254	-	PROBABLE ACYLTRANSFERASE 	26	6.8	0.5	-3.79	163.2	11.80	-151.4	0.05190	0.37599
Rv1255c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	10	32.9	38.5	0.23	1185.1	1387.54	202.4	0.59210	1.00000
Rv1256c	cyp130	PROBA BLE CYTOCHROME P450 130 CYP130 	16	50.7	50.0	-0.02	3244.4	3199.41	-44.9	0.94710	1.00000
Rv1257c	-	PROBABLE OXIDOREDUCTASE 	16	34.1	49.5	0.54	1773.7	2576.02	802.3	0.13710	0.64814
Rv1258c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN 	22	59.0	62.9	0.09	4960.0	5283.77	323.8	0.73690	1.00000
Rv1259	-	hypothetical protein Rv1259 	14	16.5	12.0	-0.46	857.1	621.77	-235.3	0.25910	0.85826
Rv1260	-	hypothetical protein Rv1260 	28	15.5	13.5	-0.20	1550.7	1345.46	-205.2	0.54720	1.00000
Rv1261c	-	hypothetical protein Rv1261c 	11	29.7	22.9	-0.37	1307.8	1009.73	-298.0	0.40920	0.96386
Rv1262c	-	HYPOTHETICAL HIT-LIKE PROTEIN 	4	37.4	21.9	-0.77	598.3	350.10	-248.2	0.14890	0.67694
Rv1263	amiB2	amidase 	22	27.6	29.3	0.09	2426.9	2575.95	149.1	0.74250	1.00000
Rv1264	-	ADENYLYL CYCLASE (ATP PYROPHOSPHATE-LYASE) (ADENYLATE CYCLASE) 	13	63.5	62.1	-0.03	3050.4	2982.53	-67.8	0.93810	1.00000
Rv1265	-	hypothetical protein Rv1265 	11	10.0	14.9	0.58	318.5	477.39	158.9	0.34840	0.93990
Rv1266c	pknH	PROBABLE TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE H PKNH (PROTEIN KINASE H) (STPK H) 	29	48.6	53.0	0.13	5639.0	6150.17	511.2	0.61820	1.00000
Rv1267c	embR	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN EMBR 	20	37.0	53.3	0.53	2811.5	4054.47	1243.0	0.06610	0.43957
Rv1268c	-	hypothetical protein Rv1268c 	11	95.6	94.0	-0.02	3441.8	3384.96	-56.8	0.94450	1.00000
Rv1269c	-	CONSERVED PROBABLE SECRETED PROTEIN 	8	59.1	41.9	-0.49	1889.7	1341.30	-548.4	0.25920	0.85826
Rv1270c	lprA	POSSIBLE LIPOPROTEIN LPRA 	11	19.4	32.6	0.75	852.7	1432.89	580.2	0.14470	0.66515
Rv1271c	-	CONSERVED HYPOTHETICAL SECRETED PROTEIN 	7	25.6	33.0	0.37	614.9	793.19	178.3	0.59800	1.00000
Rv1272c	-	PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER 	30	33.8	31.7	-0.09	3520.0	3300.45	-219.6	0.74300	1.00000
Rv1273c	-	PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER 	32	28.5	38.5	0.44	3303.6	4469.12	1165.5	0.09660	0.54594
Rv1274	lprB	POSSIBLE LIPOPROTEIN LPRB 	4	18.3	50.0	1.45	219.5	600.15	380.6	0.21170	0.79175
Rv1275	lprC	POSSIBLE LIPOPROTEIN LPRC 	6	15.2	2.6	-2.57	303.7	51.13	-252.6	0.01800	0.18368
Rv1276c	-	hypothetical protein Rv1276c 	7	12.1	11.2	-0.12	291.0	268.09	-22.9	0.89480	1.00000
Rv1277	-	hypothetical protein Rv1277 	20	33.8	36.6	0.11	2705.7	2926.45	220.7	0.79780	1.00000
Rv1278	-	hypothetical protein Rv1278 	28	21.1	14.8	-0.52	1859.3	1299.13	-560.2	0.11380	0.59277
Rv1279	-	PROBABLE DEHYDROGENASE FAD flavoprotein GMC oxidoreductase 	30	40.7	36.1	-0.17	4720.0	4190.59	-529.4	0.48740	0.98400
Rv1280c	oppA	PROBABLE PERIPLASMIC OLIGOPEPTIDE-BINDING LIPOPROTEIN OPPA 	26	30.7	45.0	0.55	2951.9	4315.46	1363.6	0.03540	0.29549
Rv1281c	oppD	PROBABLE OLIGOPEPTIDE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER OPPD 	28	9.4	16.2	0.79	785.8	1358.54	572.7	0.04640	0.35399
Rv1282c	oppC	PROBABLE OLIGOPEPTIDE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER OPPC 	16	16.1	38.1	1.24	968.9	2287.25	1318.4	0.00180	0.02650
Rv1283c	oppB	PROBABLE OLIGOPEPTIDE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER OPPB 	21	16.4	35.6	1.12	1311.1	2845.63	1534.5	0.00140	0.02116
Rv1284	-	hypothetical protein Rv1284 	6	19.7	29.3	0.58	393.1	586.42	193.3	0.43310	0.97293
Rv1285	cysD	sulfate adenylyltransferase subunit 2 	16	6.2	2.8	-1.16	321.9	143.72	-178.2	0.08090	0.49493
Rv1286	cysN	bifunctional sulfate adenylyltransferase subunit 1/adenylylsulfate kinase protein 	34	6.7	2.5	-1.42	747.6	279.60	-468.0	0.00240	0.03408
Rv1287	-	hypothetical protein Rv1287 	12	45.9	52.1	0.18	2201.2	2498.84	297.7	0.58370	1.00000
Rv1288	-	hypothetical protein Rv1288 	33	72.3	83.4	0.21	9546.8	11010.21	1463.4	0.28150	0.87886
Rv1289	-	hypothetical protein Rv1289 	10	42.3	36.5	-0.21	1690.3	1460.05	-230.2	0.57070	1.00000
Rv1290A	-	hypothetical protein Rv1290A 	7	28.2	29.0	0.04	676.9	695.54	18.6	0.93370	1.00000
Rv1290c	-	hypothetical protein Rv1290c 	34	74.8	83.5	0.16	9867.9	11023.02	1155.1	0.47960	0.97660
Rv1291c	-	CONSERVED HYPOTHETICAL SECRETED PROTEIN 	3	12.2	28.0	1.20	146.1	335.94	189.9	0.06140	0.41878
Rv1292	argS	arginyl-tRNA synthetase 	34	0.0	0.3	0.39	0.0	1.26	1.3	1.00000	1.00000
Rv1293	lysA	PROBABLE DIAMINOPIMELATE DECARBOXYLASE LYSA (DAP DECARBOXYLASE) 	27	0.0	1.5	1.31	0.0	11.80	11.8	0.46480	0.97453
Rv1294	thrA	homoserine dehydrogenase 	24	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1295	thrC	threonine synthase 	20	0.1	3.9	5.06	0.9	31.51	30.6	0.08210	0.50089
Rv1296	thrB	homoserine kinase 	15	0.4	0.2	-1.33	3.4	1.36	-2.1	1.00000	1.00000
Rv1297	rho	transcription termination factor Rho 	22	13.0	5.2	-1.31	52.0	20.92	-31.1	1.00000	1.00000
Rv1298	rpmE	50S ribosomal protein L31 	6	2.1	0.0	-1.61	41.2	0.00	-41.2	0.00000	0.00000
Rv1299	prfA	peptide chain release factor 1 	14	0.0	1.6	1.38	0.0	6.43	6.4	1.00000	1.00000
Rv1300	hemK	PROBABLE HEMK PROTEIN HOMOLOG HEMK 	14	0.2	1.5	2.93	6.4	48.85	42.4	0.00590	0.07450
Rv1301	-	hypothetical protein Rv1301 	10	0.4	2.3	2.38	10.4	54.05	43.7	0.02430	0.22921
Rv1302	rfe	PROBABLE UNDECAPAPRENYL-PHOSPHATE ALPHA-N-ACETYLGLUCOSAMINYLTRANSFERASE RFE (UDP-GlcNAc TRANSFERASE) 	19	124.2	79.3	-0.65	1490.1	951.78	-538.4	0.09280	0.53819
Rv1303	-	hypothetical protein Rv1303 	4	26.7	77.7	1.54	106.9	310.60	203.7	0.06970	0.45285
Rv1304	atpB	F0F1 ATP synthase subunit A 	10	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1305	atpE	F0F1 ATP synthase subunit C 	7	0.0	1.0	0.99	0.0	3.93	3.9	1.00000	1.00000
Rv1306	atpF	F0F1 ATP synthase subunit B 	3	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1307	atpH	PROBABLE ATP SYNTHASE DELTA CHAIN ATPH 	20	0.0	0.3	0.42	0.0	1.36	1.4	1.00000	1.00000
Rv1308	atpA	F0F1 ATP synthase subunit alpha 	25	5.4	121.9	4.49	21.8	487.57	465.8	0.23220	0.81623
Rv1309	atpG	F0F1 ATP synthase subunit gamma 	18	0.1	0.3	1.95	1.0	3.87	2.9	0.47950	0.97660
Rv1310	atpD	F0F1 ATP synthase subunit beta 	20	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv1311	atpC	F0F1 ATP synthase subunit epsilon 	1	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
