#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	Sum Ctrl	Sum Exp	Delta Sum	p-value	Adj. p-value
Rv0559c	-	POSSIBLE CONSERVED SECRETED PROTEIN 	7	28.7	63.9	1.16	401.3	894.66	493.3	0.03520	0.61871
Rv0560c	-	POSSIBLE BENZOQUINONE METHYLTRANSFERASE (METHYLASE) 	15	48.6	51.0	0.07	778.0	816.44	38.5	0.93100	1.00000
Rv0561c	-	POSSIBLE OXIDOREDUCTASE 	18	7.2	25.5	1.82	159.1	562.09	403.0	0.05310	0.74656
Rv0562	grcC1	PROBABLE POLYPRENYL-DIPHOSPHATE SYNTHASE GRCC1 (POLYPRENYL PYROPHOSPHATE SYNTHETASE) 	14	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0563	htpX	heat shock protein HtpX 	11	30.1	4.7	-2.67	662.8	103.91	-558.9	0.00340	0.15073
Rv0564c	gpsA	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase 	12	37.7	33.6	-0.16	904.5	807.45	-97.0	0.80820	1.00000
Rv0565c	-	PROBABLE MONOOXYGENASE 	36	36.2	43.3	0.26	2244.8	2686.01	441.2	0.45370	1.00000
Rv0566c	-	nucleotide-binding protein 	6	20.1	31.5	0.65	201.0	315.43	114.5	0.51330	1.00000
Rv0567	-	PROBABLE METHYLTRANSFERASE/METHYLASE 	19	81.1	76.4	-0.09	2434.1	2293.16	-141.0	0.86170	1.00000
Rv0568	cyp135B1	POSSIBLE CYTOCHROME P450 135B1 CYP135B1 	12	48.6	32.8	-0.57	972.8	655.65	-317.1	0.36410	1.00000
Rv0569	-	hypothetical protein Rv0569 	3	23.4	48.9	1.06	140.6	293.63	153.1	0.18890	1.00000
Rv0570	nrdZ	PROBABLE RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE (LARGE SUBUNIT) NRDZ (RIBONUCLEOTIDE REDUCTASE) 	37	26.1	25.9	-0.01	1305.4	1297.39	-8.0	0.98640	1.00000
Rv0571c	-	hypothetical protein Rv0571c 	14	8.4	26.1	1.63	151.7	470.28	318.6	0.07540	0.83524
Rv0572c	-	hypothetical protein Rv0572c 	8	59.1	61.7	0.06	945.3	987.08	41.8	0.94470	1.00000
Rv0573c	-	nicotinate phosphoribosyltransferase 	17	14.0	33.9	1.28	392.0	949.80	557.8	0.08020	0.84166
Rv0574c	-	hypothetical protein Rv0574c 	21	56.5	58.9	0.06	1583.4	1648.35	65.0	0.88860	1.00000
Rv0575c	-	hypothetical protein Rv0575c 	14	55.7	72.1	0.37	1337.2	1730.11	392.9	0.49430	1.00000
Rv0576	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY ARSR-FAMILY) 	19	27.7	28.0	0.02	776.4	785.12	8.7	0.98210	1.00000
Rv0577	TB27.3	hypothetical protein Rv0577 	13	40.8	98.2	1.27	978.3	2356.86	1378.5	0.16020	1.00000
Rv0578c	PE_PGRS7	PE-PGRS FAMILY PROTEIN 	28	18.9	20.3	0.10	604.5	649.27	44.8	0.86270	1.00000
Rv0579	-	hypothetical protein Rv0579 	15	25.0	35.5	0.51	699.4	995.04	295.6	0.43590	1.00000
Rv0580c	-	hypothetical protein Rv0580c 	10	11.1	27.4	1.31	199.0	493.64	294.7	0.07850	0.83524
Rv0581	-	hypothetical protein Rv0581 	5	33.8	56.7	0.75	337.8	566.84	229.0	0.44780	1.00000
Rv0582	-	hypothetical protein Rv0582 	9	12.1	27.1	1.16	121.2	270.65	149.4	0.27210	1.00000
Rv0583c	lpqN	PROBABLE CONSERVED LIPOPROTEIN LPQN 	8	48.1	35.6	-0.43	769.3	569.06	-200.3	0.64710	1.00000
Rv0584	-	POSSIBLE CONSERVED EXPORTED PROTEIN 	63	52.5	33.7	-0.64	5149.0	3300.50	-1848.5	0.06480	0.78827
Rv0585c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	42	15.7	26.6	0.76	847.3	1436.88	589.5	0.12290	0.93582
Rv0586	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (GNTR-FAMILY) 	12	47.2	2.9	-4.00	377.6	23.60	-354.0	0.46070	1.00000
Rv0587	yrbE2A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE2A 	12	8.3	35.4	2.09	149.8	636.71	486.9	0.06800	0.79567
Rv0588	yrbE2B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE2B 	15	13.7	22.7	0.72	302.4	498.31	195.9	0.48580	1.00000
Rv0589	mce2A	MCE-FAMILY PROTEIN MCE2A 	27	20.4	18.1	-0.17	612.3	543.83	-68.5	0.79280	1.00000
Rv0590	mce2B	MCE-FAMILY PROTEIN MCE2B 	10	9.2	11.0	0.25	128.8	153.31	24.5	0.76540	1.00000
Rv0590A	-	MCE-FAMILY RELATED PROTEIN 	7	5.2	15.0	1.52	41.7	119.65	77.9	0.27100	1.00000
Rv0591	mce2C	MCE-FAMILY PROTEIN MCE2C 	22	57.0	18.5	-1.62	1937.2	628.53	-1308.7	0.07780	0.83524
Rv0592	mce2D	MCE-FAMILY PROTEIN MCE2D 	29	13.2	15.1	0.19	503.4	572.51	69.1	0.74580	1.00000
Rv0593	lprL	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRL (MCE-FAMILY LIPOPROTEIN MCE2E) 	19	17.3	27.5	0.66	519.7	823.72	304.0	0.17680	1.00000
Rv0594	mce2F	MCE-FAMILY PROTEIN MCE2F 	30	56.5	66.3	0.23	3162.9	3710.38	547.5	0.48130	1.00000
Rv0595c	-	hypothetical protein Rv0595c 	8	19.1	41.9	1.13	305.8	671.07	365.3	0.06360	0.78445
Rv0596c	-	hypothetical protein Rv0596c 	5	15.1	4.1	-1.89	121.0	32.67	-88.3	0.43240	1.00000
Rv0597c	-	hypothetical protein Rv0597c 	14	26.6	42.6	0.68	637.7	1022.76	385.1	0.46430	1.00000
Rv0598c	-	hypothetical protein Rv0598c 	7	8.6	15.8	0.88	120.4	221.14	100.8	0.41760	1.00000
Rv0599c	-	hypothetical protein Rv0599c 	6	24.4	17.4	-0.49	195.3	139.01	-56.3	0.56460	1.00000
Rv0600c	-	PROBABLE TWO COMPONENT SENSOR KINASE -SECOND PART 	4	55.4	76.2	0.46	442.9	609.54	166.6	0.63640	1.00000
Rv0601c	-	PROBABLE TWO COMPONENT SENSOR KINASE -FIRST PART 	4	15.9	42.9	1.43	63.6	171.70	108.1	0.69160	1.00000
Rv0602c	tcrA	PROBABLE TWO COMPONENT DNA BINDING TRANSCRIPTIONAL REGULATORY PROTEIN TCRA 	11	42.1	49.9	0.25	757.7	898.06	140.4	0.79640	1.00000
Rv0603	-	POSSIBLE EXPORTED PROTEIN 	1	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0604	lpqO	PROBABLE CONSERVED LIPOPROTEIN LPQO 	7	36.9	46.8	0.34	443.4	561.95	118.6	0.66990	1.00000
Rv0605	-	POSSIBLE RESOLVASE 	10	69.4	51.5	-0.43	1388.6	1030.59	-358.0	0.51080	1.00000
Rv0606	-	POSSIBLE TRANSPOSASE (FRAGMENT) 	8	15.3	35.7	1.22	152.9	356.61	203.7	0.05040	0.73750
Rv0607	-	hypothetical protein Rv0607 	1	32.6	6.8	-2.27	65.3	13.54	-51.7	0.34080	1.00000
Rv0608	-	hypothetical protein Rv0608 	2	0.0	44.5	5.51	0.0	88.95	88.9	1.00000	1.00000
Rv0609	-	hypothetical protein Rv0609 	7	2.5	33.9	3.77	19.9	271.28	251.4	0.00740	0.25900
Rv0609A	-	hypothetical protein Rv0609A 	2	72.5	3.6	-4.32	290.0	14.52	-275.5	0.43490	1.00000
Rv0610c	-	hypothetical protein Rv0610c 	11	25.6	25.0	-0.03	562.3	550.52	-11.8	0.96010	1.00000
Rv0611c	-	hypothetical protein Rv0611c 	13	42.3	44.4	0.07	846.9	887.04	40.1	0.91810	1.00000
Rv0612	-	hypothetical protein Rv0612 	6	9.6	27.2	1.50	96.1	271.54	175.4	0.08650	0.85429
Rv0613c	-	hypothetical protein Rv0613c 	17	37.2	40.7	0.13	1191.7	1303.63	111.9	0.83820	1.00000
Rv0614	-	hypothetical protein Rv0614 	14	34.7	40.1	0.21	901.3	1043.17	141.8	0.72110	1.00000
Rv0615	-	PROBABLE INTEGRAL MEMBRANE PROTEIN 	4	53.9	30.4	-0.83	431.4	243.20	-188.2	0.41250	1.00000
Rv0616c	-	hypothetical protein Rv0616c 	7	55.3	16.4	-1.75	663.7	196.73	-467.0	0.13900	0.96959
Rv0617	-	hypothetical protein Rv0617 	3	37.2	14.0	-1.41	223.0	83.83	-139.2	0.38010	1.00000
Rv0618	galTa	PROBABLE GALACTOSE-1-PHOSPHATE URIDYLYLTRANSFERASE GALTA 	9	4.3	18.3	2.10	76.8	329.13	252.4	0.16220	1.00000
Rv0619	galTb	PROBABLE GALACTOSE-1-PHOSPHATE URIDYLYLTRANSFERASE GALTB 	12	34.5	12.6	-1.45	621.2	227.53	-393.6	0.58610	1.00000
Rv0620	galK	galactokinase 	9	6.7	7.5	0.15	67.2	74.50	7.3	0.84680	1.00000
Rv0621	-	POSSIBLE MEMBRANE PROTEIN 	9	86.8	54.4	-0.67	694.5	435.45	-259.1	0.59430	1.00000
Rv0622	-	POSSIBLE MEMBRANE PROTEIN 	13	36.2	21.7	-0.74	652.1	391.42	-260.6	0.32190	1.00000
Rv0623	-	hypothetical protein Rv0623 	3	6.0	24.2	2.01	12.0	48.50	36.5	0.67040	1.00000
Rv0624	-	hypothetical protein Rv0624 	6	14.1	25.7	0.87	169.3	308.37	139.1	0.25230	1.00000
Rv0625c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	10	49.3	43.0	-0.20	591.2	515.71	-75.5	0.88330	1.00000
Rv0626	-	hypothetical protein Rv0626 	4	9.6	13.1	0.45	57.5	78.39	20.9	0.69400	1.00000
Rv0627	-	hypothetical protein Rv0627 	1	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0628c	-	hypothetical protein Rv0628c 	4	38.0	61.6	0.70	228.0	369.35	141.3	0.51500	1.00000
Rv0629c	recD	PROBABLE EXONUCLEASE V (ALPHA CHAIN) RECD (EXODEOXYRIBONUCLEASE V ALPHA CHAIN) (EXODEOXYRIBONUCLEASE V POLYPEPTIDE) 	16	11.3	17.0	0.59	225.1	339.52	114.4	0.79900	1.00000
Rv0630c	recB	PROBABLE EXONUCLEASE V (BETA CHAIN) RECB (EXODEOXYRIBONUCLEASE V BETA CHAIN)(EXODEOXYRIBONUCLEASE V POLYPEPTIDE) (CHI-SPECIFIC ENDONUCLEASE) 	34	26.7	15.5	-0.79	1280.8	743.27	-537.6	0.22310	1.00000
Rv0631c	recC	PROBABLE EXONUCLEASE V (GAMMA CHAIN) RECC (EXODEOXYRIBONUCLEASE V GAMMA CHAIN)(EXODEOXYRIBONUCLEASE V POLYPEPTIDE) 	19	31.9	27.4	-0.22	764.4	657.39	-107.0	0.83490	1.00000
Rv0632c	echA3	enoyl-CoA hydratase 	14	35.8	26.2	-0.45	930.7	679.92	-250.7	0.58760	1.00000
Rv0633c	-	POSSIBLE EXPORTED PROTEIN 	14	51.7	52.9	0.03	1240.6	1270.29	29.7	0.94970	1.00000
Rv0634A	-	hypothetical protein Rv0634A 	6	7.2	28.5	1.99	71.6	285.39	213.8	0.03230	0.59118
Rv0634B	rpmG	50S ribosomal protein L33 	4	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0634c	-	POSSIBLE GLYOXALASE II (HYDROXYACYLGLUTATHIONE HYDROLASE) (GLX II) 	13	28.7	34.2	0.25	689.8	820.85	131.1	0.67910	1.00000
Rv0635	-	hypothetical protein Rv0635 	14	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0636	-	hypothetical protein Rv0636 	7	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0637	-	hypothetical protein Rv0637 	8	39.5	66.5	0.75	474.5	797.94	323.4	0.49550	1.00000
Rv0638	secE	preprotein translocase subunit SecE 	9	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0639	nusG	transcription antitermination protein NusG 	12	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0640	rplK	50S ribosomal protein L11 	5	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0641	rplA	50S ribosomal protein L1 	7	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0642c	mmaA4	METHOXY MYCOLIC ACID SYNTHASE 4 MMAA4 (METHYL MYCOLIC ACID SYNTHASE 4) (MMA4) (HYDROXY MYCOLIC ACID SYNTHASE) 	19	711.7	79.9	-3.16	25622.5	2876.38	-22746.1	0.00000	0.00000
Rv0643c	mmaA3	METHOXY MYCOLIC ACID SYNTHASE 3 MMAA3 (METHYL MYCOLIC ACID SYNTHASE 3) (MMA3) (HYDROXY MYCOLIC ACID SYNTHASE) 	23	135.3	99.1	-0.45	5683.7	4163.44	-1520.3	0.28720	1.00000
Rv0644c	mmaA2	METHOXY MYCOLIC ACID SYNTHASE 2 MMAA2 (METHYL MYCOLIC ACID SYNTHASE 2) (MMA2) (HYDROXY MYCOLIC ACID SYNTHASE) 	12	264.7	158.5	-0.74	5823.3	3486.43	-2336.9	0.07270	0.82400
Rv0645c	mmaA1	METHOXY MYCOLIC ACID SYNTHASE 1 MMAA1 (METHYL MYCOLIC ACID SYNTHASE 1) (MMA1) (HYDROXY MYCOLIC ACID SYNTHASE) 	20	167.4	116.3	-0.52	6695.6	4653.53	-2042.1	0.07150	0.81744
Rv0646c	lipG	PROBABLE LIPASE/ESTERASE LIPG 	10	129.0	72.0	-0.84	2322.5	1296.04	-1026.5	0.17710	1.00000
Rv0647c	-	hypothetical protein Rv0647c 	15	121.2	46.6	-1.38	727.0	279.76	-447.3	0.32190	1.00000
Rv0648	-	ALPHA-MANNOSIDASE 	38	40.6	47.1	0.21	2678.2	3107.41	429.2	0.48600	1.00000
Rv0649	fabD2	POSSIBLE MALONYL COA-ACYL CARRIER PROTEIN TRANSACYLASE FABD2 (MCT) 	4	19.5	13.1	-0.57	155.7	104.65	-51.0	0.61680	1.00000
Rv0650	-	POSSIBLE SUGAR KINASE 	5	31.4	102.2	1.70	250.9	817.61	566.7	0.12830	0.94689
Rv0651	rplJ	50S ribosomal protein L10 	5	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0652	rplL	50S ribosomal protein L7/L12 	0	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0653c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY) 	11	50.7	62.5	0.30	913.4	1125.44	212.1	0.62870	1.00000
Rv0654	-	PROBABLE DIOXYGENASE 	27	91.4	100.2	0.13	4751.1	5211.56	460.5	0.77010	1.00000
Rv0655	mkl	POSSIBLE RIBONUCLEOTIDE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER MKL 	14	64.5	47.0	-0.46	1676.9	1221.04	-455.9	0.45750	1.00000
Rv0656c	-	hypothetical protein Rv0656c 	5	43.2	70.1	0.70	431.6	700.90	269.3	0.44230	1.00000
Rv0657c	-	hypothetical protein Rv0657c 	2	48.8	2.5	-4.30	195.0	9.92	-185.1	0.25870	1.00000
Rv0658c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	17	35.6	16.0	-1.16	996.9	447.21	-549.7	0.08140	0.84166
Rv0659c	-	hypothetical protein Rv0659c 	4	91.5	88.6	-0.05	732.2	709.07	-23.2	0.94570	1.00000
Rv0660c	-	hypothetical protein Rv0660c 	2	21.8	8.2	-1.41	87.1	32.67	-54.4	0.88180	1.00000
Rv0661c	-	hypothetical protein Rv0661c 	5	36.1	50.3	0.48	361.3	502.93	141.6	0.64460	1.00000
Rv0662c	-	hypothetical protein Rv0662c 	6	31.5	67.0	1.09	377.5	804.32	426.8	0.15430	0.99109
Rv0663	atsD	POSSIBLE ARYLSULFATASE ATSD (ARYL-SULFATE SULPHOHYDROLASE) (ARYLSULPHATASE) 	46	26.3	29.8	0.18	1681.4	1909.12	227.7	0.66810	1.00000
Rv0664	-	hypothetical protein Rv0664 	3	11.3	13.6	0.27	67.7	81.55	13.9	0.78920	1.00000
Rv0665	-	hypothetical protein Rv0665 	5	16.8	25.7	0.62	167.6	257.49	89.9	0.73330	1.00000
Rv0666	-	POSSIBLE MEMBRANE PROTEIN 	0	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0667	rpoB	DNA-directed RNA polymerase subunit beta 	38	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0668	rpoC	DNA-directed RNA polymerase subunit beta' 	52	48.8	10.3	-2.24	781.3	164.99	-616.3	0.10180	0.88159
Rv0669c	-	POSSIBLE HYDROLASE 	37	41.7	33.6	-0.31	2750.1	2220.73	-529.4	0.49100	1.00000
Rv0670	end	endonuclease IV 	5	29.0	78.3	1.44	289.6	783.34	493.8	0.34440	1.00000
Rv0671	lpqP	POSSIBLE CONSERVED LIPOPROTEIN LPQP 	14	31.5	38.4	0.28	693.2	844.56	151.3	0.65570	1.00000
Rv0672	fadE8	PROBABLE ACYL-CoA DEHYDROGENASE FADE8 	27	36.4	32.7	-0.15	1527.8	1374.82	-153.0	0.75890	1.00000
Rv0673	echA4	enoyl-CoA hydratase 	9	24.2	36.4	0.59	338.9	510.03	171.1	0.48730	1.00000
Rv0674	-	hypothetical protein Rv0674 	7	23.0	9.5	-1.27	92.0	38.12	-53.9	1.00000	1.00000
Rv0675	echA5	enoyl-CoA hydratase 	4	32.7	3.2	-3.36	130.8	12.71	-118.1	0.71690	1.00000
Rv0676c	mmpL5	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL5 	32	60.6	74.4	0.29	3396.2	4165.94	769.7	0.31570	1.00000
Rv0677c	mmpS5	POSSIBLE CONSERVED MEMBRANE PROTEIN MMPS5 	6	100.2	73.2	-0.45	1002.0	732.14	-269.9	0.51900	1.00000
Rv0678	-	hypothetical protein Rv0678 	5	31.5	101.7	1.69	252.2	813.24	561.0	0.19140	1.00000
Rv0679c	-	CONSERVED HYPOTHETICAL THREONINE RICH PROTEIN 	6	2.5	18.9	2.91	25.1	188.58	163.5	0.01570	0.40936
Rv0680c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	3	59.4	61.6	0.05	356.1	369.37	13.2	0.96050	1.00000
Rv0681	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	12	53.2	48.7	-0.13	1063.2	973.56	-89.7	0.83290	1.00000
Rv0682	rpsL	30S ribosomal protein S12 	9	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0683	rpsG	30S ribosomal protein S7 	5	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0684	fusA1	elongation factor G 	34	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0685	tuf	elongation factor Tu 	11	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0686	-	PROBABLE MEMBRANE PROTEIN 	12	59.4	59.5	0.00	1424.5	1427.20	2.7	0.99580	1.00000
Rv0687	fabG	3-ketoacyl-(acyl-carrier-protein) reductase 	17	35.5	43.8	0.30	638.9	788.87	150.0	0.76910	1.00000
Rv0688	-	PUTATIVE FERREDOXIN REDUCTASE 	19	34.5	22.7	-0.60	965.9	635.08	-330.8	0.36250	1.00000
Rv0689c	-	hypothetical protein Rv0689c 	5	47.2	79.5	0.75	283.0	476.78	193.8	0.27250	1.00000
Rv0690c	-	hypothetical protein Rv0690c 	17	31.5	50.4	0.68	630.9	1008.00	377.1	0.28110	1.00000
Rv0691c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	9	29.4	35.4	0.27	469.7	567.06	97.3	0.69880	1.00000
Rv0692	-	hypothetical protein Rv0692 	7	29.2	45.6	0.65	291.6	456.40	164.8	0.53250	1.00000
Rv0693	pqqE	PROBABLE COENZYME PQQ SYNTHESIS PROTEIN E PQQE (COENZYME PQQ SYNTHESIS PROTEIN III) 	18	25.7	20.8	-0.31	668.6	540.54	-128.1	0.52270	1.00000
Rv0694	lldD1	POSSIBLE L-LACTATE DEHYDROGENASE (CYTOCHROME) LLDD1 	17	9.1	17.3	0.92	182.2	345.84	163.6	0.32990	1.00000
Rv0695	-	hypothetical protein Rv0695 	12	28.6	17.5	-0.71	343.0	209.62	-133.4	0.58690	1.00000
Rv0696	-	PROBABLE MEMBRANE SUGAR TRANSFERASE 	26	10.4	7.9	-0.39	352.8	269.79	-83.0	0.60550	1.00000
Rv0697	-	PROBABLE DEHYDROGENASE 	27	4.3	5.5	0.36	93.6	120.36	26.7	0.70330	1.00000
Rv0698	-	hypothetical protein Rv0698 	12	8.0	13.8	0.79	95.6	165.74	70.2	0.47710	1.00000
Rv0699	-	hypothetical protein Rv0699 	2	0.5	0.0	-0.58	1.0	0.00	-1.0	1.00000	1.00000
Rv0700	rpsJ	30S ribosomal protein S10 	6	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0701	rplC	50S ribosomal protein L3 	16	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0702	rplD	50S ribosomal protein L4 	11	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0703	rplW	50S ribosomal protein L23 	4	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0704	rplB	50S ribosomal protein L2 	17	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0705	rpsS	30S ribosomal protein S19 	2	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0706	rplV	50S ribosomal protein L22 	8	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0707	rpsC	30S ribosomal protein S3 	15	0.5	0.0	-0.58	1.0	0.00	-1.0	1.00000	1.00000
Rv0708	rplP	50S ribosomal protein L16 	10	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0709	rpmC	50S ribosomal protein L29 	4	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0710	rpsQ	30S ribosomal protein S17 	11	15.6	45.7	1.55	31.2	91.43	60.2	1.00000	1.00000
Rv0711	atsA	POSSIBLE ARYLSULFATASE ATSA (ARYL-SULFATE SULPHOHYDROLASE) (ARYLSULPHATASE) 	47	53.3	55.3	0.05	4263.5	4424.00	160.5	0.86120	1.00000
Rv0712	-	hypothetical protein Rv0712 	19	21.5	23.3	0.11	646.1	698.27	52.1	0.83350	1.00000
Rv0713	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	19	62.5	82.7	0.40	1625.7	2151.23	525.5	0.56260	1.00000
Rv0714	rplN	50S ribosomal protein L14 	5	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0715	rplX	50S ribosomal protein L24 	6	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0716	rplE	50S ribosomal protein L5 	4	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0717	rpsN	30S ribosomal protein S14 	2	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0718	rpsH	30S ribosomal protein S8 	10	1.0	0.0	-1.00	2.0	0.00	-2.0	1.00000	1.00000
Rv0719	rplF	50S ribosomal protein L6 	15	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0720	rplR	50S ribosomal protein L18 	4	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0721	rpsE	30S ribosomal protein S5 	12	9.5	60.4	2.67	38.0	241.63	203.6	0.53590	1.00000
Rv0722	rpmD	50S ribosomal protein L30 	1	2.1	0.4	-2.31	4.2	0.85	-3.4	0.32970	1.00000
Rv0723	rplO	50S ribosomal protein L15 	3	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0724	sppA	POSSIBLE PROTEASE IV SPPA (ENDOPEPTIDASE IV) (SIGNAL PEPTIDE PEPTIDASE) 	30	50.0	35.1	-0.51	2699.9	1896.57	-803.3	0.24770	1.00000
Rv0724A	-	hypothetical protein Rv0724A 	6	33.2	25.5	-0.38	265.4	204.32	-61.1	0.71410	1.00000
Rv0725c	-	hypothetical protein Rv0725c 	15	29.8	19.0	-0.65	596.1	379.74	-216.3	0.38700	1.00000
Rv0726c	-	hypothetical protein Rv0726c 	16	51.8	60.0	0.21	1242.1	1439.61	197.5	0.75190	1.00000
Rv0727c	fucA	L-fuculose-phosphate aldolase 	13	39.6	52.9	0.42	949.5	1270.60	321.1	0.55010	1.00000
Rv0728c	serA2	POSSIBLE D-3-PHOSPHOGLYCERATE DEHYDROGENASE SERA2 (PHOSPHOGLYCERATE DEHYDROGENASE) (PGDH) 	9	34.9	43.2	0.31	488.9	604.80	115.9	0.72520	1.00000
Rv0729	xylB	POSSIBLE D-XYLULOSE KINASE XYLB (XYLULOKINASE) (XYLULOSE KINASE) 	19	62.4	73.9	0.24	1995.2	2364.40	369.2	0.68660	1.00000
Rv0730	-	hypothetical protein Rv0730 	3	42.2	112.2	1.41	252.9	673.20	420.3	0.32380	1.00000
Rv0731c	-	hypothetical protein Rv0731c 	10	55.2	56.0	0.02	992.8	1008.68	15.9	0.96910	1.00000
Rv0732	secY	preprotein translocase subunit SecY 	28	15.4	16.7	0.12	61.6	66.88	5.3	1.00000	1.00000
Rv0733	adk	adenylate kinase 	5	0.0	0.0	0.00	0.0	0.00	0.0	1.00000	1.00000
Rv0734	mapA	methionine aminopeptidase 	9	47.4	50.3	0.09	568.3	603.60	35.3	0.92540	1.00000
Rv0735	sigL	RNA polymerase sigma factor SigL 	7	50.3	65.1	0.37	703.6	911.51	207.9	0.58770	1.00000
Rv0736	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	8	2.7	1.9	-0.47	37.1	26.74	-10.4	0.67600	1.00000
Rv0737	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	58.9	62.2	0.08	353.7	373.47	19.8	0.95780	1.00000
Rv0738	-	hypothetical protein Rv0738 	1	6.0	32.6	2.44	12.0	65.19	53.2	0.33010	1.00000
Rv0739	-	hypothetical protein Rv0739 	18	51.3	52.6	0.03	1745.7	1786.94	41.2	0.95520	1.00000
Rv0740	-	hypothetical protein Rv0740 	10	42.4	64.7	0.61	763.8	1165.18	401.3	0.40740	1.00000
Rv0741	-	PROBABLE TRANSPOSASE (FRAGMENT) 	3	13.4	25.7	0.94	53.4	102.81	49.4	0.59160	1.00000
Rv0742	PE_PGRS8	PE-PGRS FAMILY PROTEIN 	6	60.0	52.5	-0.19	600.5	525.04	-75.4	0.87730	1.00000
Rv0743c	-	hypothetical protein Rv0743c 	10	76.2	131.1	0.78	1371.5	2360.65	989.2	0.10190	0.88159
Rv0744c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	9	7.6	31.9	2.07	75.9	319.41	243.5	0.09920	0.87903
Rv0745	-	hypothetical protein Rv0745 	7	32.8	62.9	0.94	458.7	881.12	422.5	0.33010	1.00000
Rv0746	PE_PGRS9	PE-PGRS FAMILY PROTEIN 	15	15.9	23.8	0.58	286.0	428.24	142.2	0.28580	1.00000
Rv0747	PE_PGRS10	PE-PGRS FAMILY PROTEIN 	16	17.5	21.6	0.30	455.9	561.13	105.2	0.53250	1.00000
Rv0748	-	hypothetical protein Rv0748 	2	31.5	12.7	-1.31	126.1	50.83	-75.3	0.62910	1.00000
