"","Orf","Name","Desc","Sites","Sites_Hit","B6","B6_pval","B6_Qval","DBA","DBA_pval","DBA_Qval","BXD9","BXD9_pval","BXD9_Qval","BXD29","BXD29_pval","BXD29_Qval","BXD39","BXD39_pval","BXD39_Qval","BXD40","BXD40_pval","BXD40_Qval","BXD48a","BXD48a_pval","BXD48a_Qval","BXD51","BXD51_pval","BXD51_Qval","BXD54","BXD54_pval","BXD54_Qval","BXD56","BXD56_pval","BXD56_Qval","BXD60","BXD60_pval","BXD60_Qval","BXD62","BXD62_pval","BXD62_Qval","BXD67","BXD67_pval","BXD67_Qval","BXD69","BXD69_pval","BXD69_Qval","BXD73","BXD73_pval","BXD73_Qval","BXD73b","BXD73b_pval","BXD73b_Qval","BXD77","BXD77_pval","BXD77_Qval","BXD79","BXD79_pval","BXD79_Qval","BXD90","BXD90_pval","BXD90_Qval","BXD93","BXD93_pval","BXD93_Qval","BXD102","BXD102_pval","BXD102_Qval"
"1101","Rv1084","-","hypothetical protein Rv1084 ",26,22,-0.13,0.6716,1,-0.59,0.0964,0.5654,-0.44,0.2231,1,-0.62,0.075,0.84773,-0.78,0.0327,0.40759,-0.61,0.0789,0.75314,-0.77,0.118,1,-0.76,0.124,1,-0.46,0.1785,0.93274,-0.45,0.1945,0.95573,-0.74,0.0489,0.61675,-0.76,0.0421,0.38264,-0.59,0.1013,0.73489,-0.44,0.1918,1,-0.38,0.2438,1,-0.59,0.1472,0.80618,-0.84,0.0219,0.38325,-0.7,0.0499,0.65842,-0.52,0.1312,1,-0.62,0.0998,0.65927,-0.85,0.0214,0.36688
"1102","Rv1085c","-","POSSIBLE HEMOLYSIN-LIKE PROTEIN ",11,11,-0.11,0.7185,1,-0.53,0.0695,0.48806,-0.25,0.4233,1,-0.33,0.2578,1,0.17,0.5639,1,-0.51,0.0785,0.75314,-0.22,0.5386,1,0.26,0.5299,1,-0.2,0.4733,1,0.11,0.6515,1,-0.51,0.1149,0.85532,-0.08,0.7708,1,-0.29,0.3621,1,-0.2,0.4469,1,-0.05,0.8647,1,0.17,0.5784,1,-0.35,0.2204,1,-0.22,0.4307,1,-0.44,0.1467,1,-0.86,0.0112,0.2352,-0.37,0.1947,0.9574
"1103","Rv1086","-","SHORT (C15) CHAIN Z-ISOPRENYL DIPHOSPHATE SYNTHASE (Z-FPP SYNTHASE) (Z-FARNESYL DIPHOSPHATE SYNTHASE) (Z-FPP SYNTHETASE) (Z-FARNESYL DIPHOSPHATE SYNTHETASE) (GERANYLTRANSTRANSFERASE) (FARNESYL PYROPHOSPHATE SYNTHETASE) ",16,12,-2.11,0.0164,0.38267,-3.25,0.0066,0.1155,-3.88,0.0039,0.12549,-3.76,0.0041,0.13633,-2.11,0.0153,0.27132,-2.25,0.0154,0.29828,-1.49,0.1481,1,-2.12,0.0762,1,-3.9,0.0045,0.13106,-2.26,0.0149,0.27708,-3.13,0.006,0.16176,-2.08,0.0239,0.27802,-2.02,0.02,0.29665,-4.44,0.0037,0.09975,-3.36,0.0053,0.15105,-4.44,0.0042,0.126,-3.97,0.0038,0.10908,-3.27,0.0064,0.152,-1.97,0.0255,0.4661,-2.74,0.0101,0.22142,-3.27,0.0042,0.1197
"1104","Rv1087","PE_PGRS21","PE-PGRS FAMILY PROTEIN ",21,18,0.1,0.811,1,0.21,0.5786,0.99641,-0.21,0.5972,1,0.22,0.5755,1,0.45,0.1927,0.83032,-0.19,0.6509,1,-0.65,0.3072,1,0.06,0.9051,1,-0.58,0.1901,0.94626,-0.53,0.2448,1,-0.05,0.9062,1,-0.61,0.1984,0.75536,-0.01,0.9816,1,0.03,0.9481,1,-0.25,0.539,1,0.33,0.3852,1,-0.16,0.6839,1,-0.27,0.5145,1,0.08,0.8403,1,-0.24,0.5517,1,-0.17,0.6848,1
"1105","Rv1087A","-","hypothetical protein Rv1087A ",7,7,0.16,0.6814,1,-0.42,0.3329,0.86472,0.11,0.7969,1,-0.33,0.4364,1,-0.3,0.4998,1,-0.16,0.7011,1,-0.2,0.7172,1,-0.2,0.7151,1,-0.02,0.9638,1,-0.33,0.4337,1,-0.39,0.3785,1,-0.09,0.8166,1,-0.18,0.6531,1,-0.57,0.1959,1,-0.15,0.7178,1,0.08,0.8543,1,-0.2,0.6198,1,-0.21,0.6187,1,-0.19,0.6317,1,-0.11,0.7929,1,-0.23,0.5819,1
"1106","Rv1088","PE9","PE FAMILY PROTEIN ",5,4,-0.07,0.9137,1,-0.08,0.9071,1,0.49,0.4066,1,0.31,0.5815,1,0.19,0.7808,1,0.34,0.5388,1,0.16,0.8191,1,-0.1,0.8993,1,0,0.9995,1,-0.13,0.8242,1,0.39,0.4773,1,0.44,0.4886,0.94748,0.55,0.3079,1,-0.01,0.9837,1,-0.09,0.8708,1,0.09,0.8753,1,-0.19,0.7429,1,0.32,0.5504,1,0.35,0.4842,1,-0.84,0.2233,0.89725,0.23,0.7547,1
"1107","Rv1089","PE10","PE FAMILY PROTEIN ",5,2,0.73,0.4386,1,-0.65,0.6251,1,1.02,0.4442,1,0.68,0.5117,1,0.13,0.9006,1,-0.12,0.9185,1,-0.29,0.859,1,-1.12,0.6626,1,0.56,0.5816,1,-0.31,0.7986,1,0.12,0.9172,1,-0.05,0.9666,1,0.42,0.7103,1,-0.26,0.8148,1,-1.28,0.4328,1,-0.4,0.7523,1,0.82,0.4033,1,0.06,0.9518,1,0.68,0.4931,1,0.08,0.9292,1,-0.6,0.6618,1
"1108","Rv1089A","celA2a","PROBABLE CELLULASE CELA2A (ENDO-1,4-BETA-GLUCANASE) (ENDOGLUCANASE) (CARBOXYMETHYL CELLULASE) ",1,1,-2.09,0.1394,1,-0.64,0.9001,1,-2.05,0.1433,0.88509,-3.91,0.0594,0.7695,-1.34,0.289,0.92101,-2.3,0.1354,0.93192,-2.72,0.4984,1,-2.8,0.5009,1,-0.91,0.7284,1,-0.88,0.618,1,-2.69,0.1351,0.88827,-0.9,0.7273,1,-2.51,0.0938,0.71424,-2,0.1895,1,-2.09,0.1426,1,-1.19,0.4281,1,-1.63,0.2374,1,-1.11,0.492,1,-2.62,0.1431,1,-4.5,0.0596,0.53559,-2.61,0.1438,0.87126
"1109","Rv1090","celA2b","PROBABLE CELLULASE CELA2B (ENDO-1,4-BETA-GLUCANASE) (ENDOGLUCANASE) (CARBOXYMETHYL CELLULASE) ",7,7,0.06,0.7981,1,-0.02,0.9494,1,0.56,0.0669,0.64321,0.53,0.1131,1,0.36,0.1135,0.67532,0.23,0.4048,1,0.15,0.6199,1,-0.35,0.3116,1,0.09,0.761,1,-0.33,0.2696,1,0.26,0.3401,1,-0.01,0.9791,1,-0.11,0.7199,1,0.14,0.5698,1,-0.24,0.3545,1,-0.29,0.3456,0.99491,0.19,0.4296,1,0.19,0.4171,1,0.09,0.7172,1,0.75,0.0155,0.27173,-0.21,0.4083,1
"1110","Rv1091","PE_PGRS22","PE-PGRS FAMILY PROTEIN ",26,18,0.38,0.2994,1,0.23,0.5689,0.99641,0.41,0.2952,1,-0.03,0.9529,1,0.12,0.7473,1,0.22,0.5821,1,-0.63,0.3229,1,0.33,0.5,1,0.19,0.6421,1,0.07,0.8586,1,0.13,0.7639,1,-0.1,0.8167,1,0.15,0.7298,1,-0.22,0.6111,1,0.16,0.7116,1,0.1,0.8316,1,-0.13,0.7693,1,-0.1,0.8212,1,-0.35,0.4217,1,0.15,0.7158,1,0.15,0.7012,1
"1111","Rv1092c","coaA","pantothenate kinase ",20,3,-0.17,0.8174,1,0.31,0.7529,1,-0.36,0.7371,1,0.53,0.667,1,-0.58,0.6767,1,0.04,0.9473,1,0.11,0.8448,1,-0.89,0.5848,1,0.35,0.7944,1,0.27,0.7544,1,-0.67,0.6186,1,0.1,0.9042,1,0.16,0.8609,1,0.57,0.6068,1,0.53,0.625,1,-0.62,0.6587,1,0.44,0.6844,1,-0.18,0.8077,1,0.38,0.7073,1,0.1,0.9315,1,-0.09,0.9173,1
"1112","Rv1093","glyA","serine hydroxymethyltransferase ",15,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1.09,0.1677,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"1113","Rv1094","desA2","POSSIBLE ACYL-",12,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"1114","Rv1095","phoH2","PROBABLE PHOH-LIKE PROTEIN PHOH2 (PHOSPHATE STARVATION-INDUCIBLE PROTEIN PSIH) ",13,10,-0.23,0.6152,1,-0.56,0.2272,0.78555,-0.76,0.1108,0.7797,-0.39,0.4006,1,-0.74,0.1364,0.71978,-0.46,0.3419,1,-0.5,0.4497,1,-0.63,0.3264,1,-0.31,0.5175,1,-0.48,0.2884,1,-0.65,0.1814,0.99068,0.07,0.8716,1,-0.42,0.3608,1,-0.41,0.3631,1,-0.24,0.6007,1,-0.43,0.3624,1,-0.44,0.3349,1,-0.43,0.3353,1,0.06,0.888,1,-0.55,0.2613,0.93733,-0.45,0.3543,1
"1115","Rv1096","-","POSSIBLE GLYCOSYL HYDROLASE ",19,12,-0.77,0.183,1,-0.09,0.8365,1,0.22,0.6443,1,-0.59,0.2839,1,-1.39,0.0289,0.3834,0.08,0.8874,1,0.24,0.6609,1,-0.29,0.6611,1,0.61,0.1817,0.93305,-0.28,0.5724,1,-0.49,0.3544,1,0,0.996,1,-0.33,0.5035,1,-0.64,0.2114,1,0.33,0.5215,1,-0.5,0.4144,1,-0.33,0.5,1,-0.37,0.4755,1,-0.88,0.0974,0.89071,-0.2,0.7081,1,0.58,0.1967,0.95926
"1116","Rv1097c","-","PROBABLE MEMBRANE GLYCINE AND PROLINE RICH PROTEIN ",17,8,-0.13,0.8085,1,-0.2,0.7135,1,0.24,0.6563,1,-0.17,0.7583,1,-0.2,0.7213,1,0.1,0.8468,1,0.46,0.464,1,0.53,0.4666,1,0.03,0.9589,1,-0.32,0.5414,1,-0.34,0.5283,1,-0.37,0.5032,0.9502,-0.25,0.6582,1,0.3,0.5699,1,-0.16,0.7676,1,-0.38,0.5513,1,-0.15,0.7906,1,0.32,0.5124,1,-0.36,0.5216,1,0.05,0.9243,1,-0.22,0.689,1
"1117","Rv1098c","fumC","fumarate hydratase ",13,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"1118","Rv1099c","glpX","fructose 1,6-bisphosphatase II ",14,9,-1.12,0.1317,1,-0.98,0.214,0.77009,-2.44,0.018,0.32206,-0.69,0.3347,1,-1.77,0.0375,0.42507,-0.22,0.756,1,-0.82,0.4217,1,-3.04,0.0601,1,-1.1,0.1351,0.86248,0.13,0.8227,1,-0.29,0.6808,1,0.22,0.781,1,-0.31,0.6881,1,-0.92,0.2282,1,-0.98,0.1792,1,-1.38,0.0965,0.68634,-0.85,0.2338,1,-1.29,0.0928,0.90976,-0.67,0.3681,1,-0.15,0.864,1,0.23,0.7709,1
"1119","Rv1100","-","hypothetical protein Rv1100 ",9,7,0.57,0.3001,1,2.02,1e-04,0.00499,1.67,0.0019,0.0736,1.15,0.0486,0.66774,1.31,0.0082,0.18177,2.28,0,0,2.11,0.0027,0.17661,-0.35,0.7357,1,1.65,0.0022,0.07503,2.02,0,0,1.76,0.0022,0.07838,2.04,3e-04,0.01221,1.87,0.0027,0.08161,1.87,0.002,0.06045,1.6,0.0027,0.08903,1.53,0.0097,0.21866,1.67,0.0012,0.04433,1.32,0.0149,0.27023,0.97,0.0773,0.8404,2.28,0.0067,0.17704,1.41,0.0162,0.3097
"1120","Rv1101c","-","hypothetical protein Rv1101c ",18,15,0.19,0.3248,1,-0.15,0.4817,0.96354,0.36,0.0782,0.68461,-0.03,0.8803,1,-0.25,0.2314,0.8781,0.05,0.8221,1,-0.06,0.7911,1,0.22,0.3826,1,0.04,0.8159,1,0.06,0.7616,1,0,0.9853,1,-0.08,0.6599,1,-0.01,0.938,1,0.11,0.5632,1,-0.11,0.6015,1,0.04,0.8422,1,0.14,0.4341,1,0.1,0.5811,1,0.18,0.3228,1,-0.02,0.9307,1,0.08,0.6894,1
"1121","Rv1102c","-","hypothetical protein Rv1102c ",9,7,0.04,0.9357,1,-0.1,0.8341,1,0.05,0.9126,1,0.07,0.8839,1,0.21,0.6459,1,0.09,0.8443,1,0,0.9975,1,0.41,0.4807,1,0.1,0.8404,1,-0.11,0.8094,1,-0.09,0.8618,1,-0.21,0.6532,1,0.11,0.8121,1,-0.03,0.9577,1,-0.09,0.8604,1,-0.33,0.5307,1,0.09,0.839,1,0.04,0.924,1,0.1,0.8347,1,-0.3,0.553,1,0.23,0.6237,1
"1122","Rv1103c","-","hypothetical protein Rv1103c ",7,6,0.52,0.2463,1,0.6,0.2082,0.7653,0.44,0.3767,1,0.34,0.4123,1,0,0.9979,1,0.41,0.318,1,0.11,0.8463,1,1.24,0.0185,0.68347,0.33,0.4626,1,0.55,0.1756,0.92433,0.04,0.9372,1,0.54,0.2477,0.81202,-0.08,0.8668,1,0.1,0.8254,1,0.45,0.3489,1,-0.19,0.7029,1,0.25,0.5479,1,0.09,0.8633,1,-0.14,0.7734,1,1.11,0.0404,0.45153,-0.19,0.7007,1
"1123","Rv1104","-","POSSIBLE PARA-NITROBENZYL ESTERASE (FRAGMENT) ",12,11,0.16,0.6875,1,0.36,0.3173,0.8608,-0.06,0.8888,1,-0.05,0.9074,1,-0.47,0.2733,0.91214,0.15,0.6851,1,-0.31,0.5761,1,-0.01,0.985,1,-0.01,0.9751,1,0.12,0.7381,1,0.1,0.8153,1,0.02,0.9487,1,-0.02,0.9603,1,-0.02,0.9602,1,0.04,0.9146,1,-0.43,0.3588,1,0.04,0.9036,1,-0.12,0.7657,1,0.25,0.482,1,0.81,0.0359,0.43275,0.21,0.6162,1
"1124","Rv1105","-","POSSIBLE PARA-NITROBENZYL ESTERASE (FRAGMENT) ",11,9,0.07,0.9044,1,0.74,0.1271,0.64295,0.11,0.8515,1,0.4,0.451,1,0.33,0.5261,1,0.28,0.6101,1,0.58,0.3836,1,0.47,0.4888,1,0.63,0.2084,0.97319,0.3,0.5679,1,0.27,0.6258,1,0.85,0.129,0.65153,0.25,0.6453,1,0.45,0.3761,1,0.41,0.4312,1,0.42,0.4279,1,0.5,0.3103,1,0.18,0.7518,1,-0.12,0.8415,1,0.6,0.2799,0.93804,0.25,0.6493,1
"1125","Rv1106c","-","PROBABLE CHOLESTEROL DEHYDROGENASE ",18,17,-0.22,0.3329,1,-0.51,0.0228,0.26756,-0.79,0.002,0.07673,-0.74,0.0032,0.11503,-0.48,0.0415,0.45227,-0.42,0.0722,0.74056,-0.19,0.5115,1,-0.33,0.248,1,-0.59,0.0166,0.31242,-0.38,0.0781,0.70752,-0.35,0.1222,0.86805,-0.62,0.011,0.17627,-0.85,3e-04,0.0133,-0.22,0.2904,1,-0.4,0.0647,0.7211,-0.01,0.958,1,-0.11,0.6039,1,-0.07,0.7058,1,-0.08,0.6922,1,-0.57,0.0317,0.4133,-1.01,0,0
"1126","Rv1107c","xseB","exodeoxyribonuclease VII small subunit ",3,3,0.72,0.1482,1,-1.04,0.1153,0.6134,-0.06,0.9335,1,-0.59,0.3092,1,0.41,0.2979,0.92449,0.32,0.6322,1,0.07,0.9205,1,-0.44,0.5586,1,-0.25,0.661,1,-0.72,0.2138,0.98131,-1.5,0.0515,0.63421,-0.78,0.2142,0.77493,-0.26,0.6604,1,-0.86,0.1747,1,-0.33,0.5536,1,-0.21,0.731,1,-0.37,0.4917,1,-0.25,0.656,1,0.24,0.6515,1,-1.58,0.0487,0.4957,-1,0.1543,0.88968
"1127","Rv1108c","xseA","exodeoxyribonuclease VII large subunit ",10,9,-0.14,0.7434,1,-0.56,0.2587,0.82379,-0.25,0.6446,1,-0.02,0.9662,1,-0.54,0.2825,0.91505,-0.1,0.842,1,-0.16,0.7926,1,-0.71,0.3463,1,0.23,0.6107,1,0.11,0.8112,1,0.11,0.8166,1,0.63,0.2763,0.8269,0.16,0.8099,1,-0.17,0.7377,1,-0.05,0.9079,1,-0.74,0.1724,0.85051,-0.08,0.874,1,-0.03,0.9468,1,0.15,0.7599,1,-1.15,0.0577,0.52562,0.07,0.8908,1
"1128","Rv1109c","-","hypothetical protein Rv1109c ",9,7,0.1,0.8261,1,0.04,0.9282,1,-0.77,0.1512,0.90087,-0.67,0.1909,1,-0.78,0.1415,0.72569,-0.37,0.4356,1,-0.51,0.4539,1,0.34,0.5549,1,0.12,0.8021,1,-0.21,0.6359,1,-0.49,0.3289,1,-0.77,0.1535,0.68939,-0.67,0.2024,0.97871,-0.34,0.4652,1,0.01,0.9844,1,-0.51,0.3301,0.9862,0.08,0.852,1,-0.06,0.8845,1,-0.71,0.1635,1,0.13,0.7794,1,-0.2,0.6766,1
"1129","Rv1110","ispH","4-hydroxy-3-methylbut-2-enyl diphosphate reductase ",14,1,-0.18,1,1,-0.18,1,1,-0.18,1,1,-0.18,1,1,-0.18,1,1,-0.18,1,1,-0.18,1,1,-0.18,1,1,-0.18,1,1,-0.18,1,1,0.4,0.2898,1,-0.18,1,1,-0.18,1,1,-0.18,1,1,-0.18,1,1,-0.18,1,1,-0.18,1,1,-0.18,1,1,-0.18,1,1,-0.18,1,1,0.13,1,1
"1130","Rv1111c","-","hypothetical protein Rv1111c ",25,12,-0.3,0.5177,1,-0.2,0.6601,1,0.66,0.1337,0.85446,0.05,0.9195,1,-0.06,0.891,1,-0.21,0.652,1,0.08,0.8923,1,0.26,0.6398,1,-0.03,0.9574,1,-0.19,0.6625,1,-0.1,0.828,1,-0.21,0.6697,1,0.06,0.9169,1,0.15,0.7332,1,0.19,0.6667,1,0.85,0.0505,0.53695,-0.12,0.7922,1,-0.13,0.7825,1,-0.26,0.6032,1,0.35,0.411,0.99159,-0.15,0.7504,1
"1131","Rv1112","-","translation-associated GTPase ",10,7,1.72,0.002,0.09388,2.04,1e-04,0.00499,1.57,0.0069,0.17994,2.05,5e-04,0.0285,1.44,0.0032,0.0932,1.88,0.0014,0.05032,0.41,0.4999,1,1.97,0.0058,0.36159,0.72,0.2197,0.99029,2.42,0,0,1,0.0892,0.77718,0.99,0.1302,0.65593,0.87,0.1584,0.91069,2.7,0,0,0.8,0.0745,0.76612,2.34,3e-04,0.01662,2.25,0,0,2.31,0,0,2,0,0,2.2,2e-04,0.01267,1.59,0.0013,0.05136
"1132","Rv1113","-","hypothetical protein Rv1113 ",2,2,-0.27,0.5666,1,-1.05,0.0789,0.51785,1,0.0183,0.32308,1.13,0.0175,0.34567,-0.97,0.0939,0.62672,-0.31,0.6029,1,0.3,0.5471,1,-3.86,0.0246,0.741,-0.62,0.3624,1,0.22,0.6414,1,1.2,0.042,0.56807,-1.99,0.0367,0.36517,-1.25,0.0832,0.65606,0.93,0.1688,1,-0.2,0.7152,1,-1,0.1033,0.70577,0.7,0.1702,1,0.83,0.1103,0.96091,1.38,0.008,0.20203,1.05,0.1144,0.69055,0.22,0.6602,1
"1133","Rv1114","-","hypothetical protein Rv1114 ",3,3,-0.4,0.2983,1,-0.91,0.0173,0.22411,-1.54,0.0024,0.08327,-0.64,0.1423,1,0.37,0.421,0.98979,-0.56,0.1557,0.99082,-1.58,0.0255,0.71651,-0.56,0.3113,1,0.23,0.4602,1,0.62,0.0785,0.70863,0.32,0.4325,1,-0.95,0.0669,0.48239,0.47,0.342,1,-0.46,0.2403,1,0.41,0.236,1,-0.8,0.0914,0.67912,-0.29,0.4405,1,-0.77,0.0453,0.62233,-0.57,0.0933,0.87987,-0.65,0.1238,0.71693,0.1,0.8392,1
"1134","Rv1115","-","POSSIBLE EXPORTED PROTEIN ",18,11,0.2,0.5582,1,-0.04,0.9135,1,-0.66,0.1005,0.74609,0.07,0.8475,1,0.32,0.3109,0.92993,0.1,0.7702,1,0.02,0.9686,1,0.17,0.681,1,-0.14,0.6743,1,-0.22,0.5331,1,-0.38,0.3104,1,-0.39,0.2906,0.8269,0.05,0.8797,1,0.13,0.7039,1,-0.08,0.8289,1,0.17,0.631,1,0.06,0.8659,1,0.16,0.6106,1,-0.26,0.4487,1,0.34,0.3611,0.9654,-0.32,0.3744,1
"1135","Rv1116","-","hypothetical protein Rv1116 ",4,2,-0.4,0.6014,1,-0.42,0.5903,0.99641,0.14,0.8512,1,-0.24,0.746,1,0.22,0.7482,1,0.15,0.8442,1,-0.14,0.8674,1,0.48,0.5587,1,0.11,0.8809,1,-0.81,0.361,1,-0.93,0.3137,1,-1.29,0.1744,0.7196,-1.2,0.2098,0.99278,-0.04,0.9552,1,0.32,0.6315,1,0.67,0.3803,1,-0.21,0.7627,1,-0.55,0.4882,1,-0.3,0.6932,1,0.15,0.8313,1,-0.12,0.8799,1
"1136","Rv1116A","-","CONSERVED HYPOTHETICAL PROTEIN (FRAGMENT) ",5,4,0.01,0.9854,1,0.42,0.3634,0.88575,0.53,0.3066,1,0.28,0.5225,1,-0.21,0.6935,1,0.14,0.7803,1,-0.06,0.9334,1,0.6,0.2859,1,-0.16,0.7794,1,-0.37,0.4836,1,-0.86,0.1498,0.92361,-1.21,0.0631,0.46884,-0.47,0.4161,1,0.17,0.7248,1,0.28,0.5336,1,0.08,0.8926,1,-0.02,0.9658,1,-0.09,0.8569,1,-0.62,0.2742,1,0.3,0.5384,1,0,0.9997,1
"1137","Rv1117","-","hypothetical protein Rv1117 ",3,3,0.8,0.0267,0.53001,0.88,0.0142,0.1988,0.3,0.5027,1,0.07,0.8566,1,0.89,0.0055,0.14232,0.52,0.1207,0.88928,0.03,0.9658,1,0.67,0.1055,1,0.03,0.9365,1,0.55,0.0905,0.72871,0.54,0.17,0.97374,-0.25,0.5178,0.95561,0.83,0.0145,0.23809,0.71,0.0347,0.46617,0.65,0.0595,0.69417,0.49,0.2195,0.90397,0.47,0.1728,1,0.44,0.2041,1,1.26,3e-04,0.01596,0.77,0.0894,0.64041,0.59,0.0898,0.72854
"1138","Rv1118c","-","hypothetical protein Rv1118c ",12,10,0.16,0.663,1,-0.53,0.1913,0.74832,-0.24,0.5532,1,-0.06,0.8709,1,-0.37,0.3469,0.9481,-0.32,0.4062,1,0.15,0.7547,1,0.13,0.771,1,-0.37,0.3493,1,-0.26,0.4838,1,-0.29,0.4392,1,-0.43,0.2622,0.81987,-0.32,0.4021,1,-0.34,0.3772,1,-0.21,0.596,1,0.36,0.307,0.97824,-0.11,0.7701,1,-0.07,0.8496,1,0.03,0.9353,1,0.13,0.7228,1,-0.55,0.1906,0.9552
"1139","Rv1119c","-","hypothetical protein Rv1119c ",4,3,-0.96,0.3922,1,-1.14,0.3121,0.8608,0.84,0.4114,1,-1.78,0.1848,1,-0.95,0.3797,0.97251,-0.48,0.6314,1,-0.91,0.561,1,-0.42,0.734,1,-0.86,0.4182,1,-3.46,0.0583,0.6047,-2.19,0.1282,0.86845,-1.96,0.1671,0.70853,-0.42,0.6655,1,-0.64,0.5274,1,0.92,0.4299,1,-3.39,0.0765,0.62548,0.19,0.8273,1,-0.03,0.9783,1,-0.47,0.6116,1,-0.54,0.6071,1,-1.58,0.2159,0.97875
"1140","Rv1120c","-","hypothetical protein Rv1120c ",4,1,0.8,0.4722,1,1.43,0.2345,0.79192,0.17,0.8486,1,-0.62,0.6785,1,-1.68,0.4232,0.98979,0.73,0.6185,1,0.75,0.6831,1,-1.28,0.6703,1,0.08,0.9572,1,-0.09,0.931,1,0.6,0.6339,1,-0.13,0.9156,1,3.28,0.1329,0.83633,0.64,0.6024,1,-0.63,0.6272,1,0.14,0.8488,1,0.55,0.6417,1,-0.49,0.747,1,0.1,0.933,1,-0.83,0.6267,1,1.47,0.3308,1
"1141","Rv1121","zwf1","glucose-6-phosphate 1-dehydrogenase ",24,14,-0.42,0.2293,1,-0.04,0.912,1,-0.01,0.9805,1,0,0.9944,1,0.44,0.1371,0.71978,0.25,0.4277,1,0.35,0.3653,1,-0.08,0.8642,1,0.66,0.0206,0.35276,0.22,0.4574,1,0.25,0.4834,1,1.21,1e-04,0.00481,0,0.9898,1,0.27,0.3873,1,-0.38,0.2513,1,0.69,0.0389,0.46194,0.06,0.8325,1,0.25,0.4145,1,-0.27,0.4122,1,-0.36,0.3085,0.9459,0.01,0.9652,1
"1142","Rv1122","gnd2","6-phosphogluconate dehydrogenase-like protein ",13,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1.56,0.0258,0.7414,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"1143","Rv1123c","bpoB","POSSIBLE PEROXIDASE BPOB (NON-HAEM PEROXIDASE) ",10,8,0.16,0.7138,1,-0.06,0.9042,1,-0.7,0.1926,0.99131,0.31,0.4718,1,-0.34,0.5455,1,-0.18,0.6931,1,-0.03,0.9617,1,0.2,0.7186,1,0.31,0.4707,1,0.2,0.6537,1,0.05,0.9235,1,0.07,0.8831,1,0.36,0.4966,1,-0.42,0.3658,1,-0.12,0.8094,1,0.12,0.8133,1,-0.17,0.706,1,-0.16,0.7183,1,0.19,0.653,1,-0.04,0.9329,1,0.31,0.5273,1
"1144","Rv1124","ephC","PROBABLE EPOXIDE HYDROLASE EPHC (EPOXIDE HYDRATASE) ",12,7,-0.67,0.2783,1,0.38,0.4821,0.96354,-1.22,0.0758,0.68297,-0.39,0.4933,1,-0.6,0.3178,0.92993,-0.29,0.6191,1,-0.14,0.8504,1,-0.35,0.6587,1,-1.02,0.122,0.84218,-0.07,0.8935,1,-0.44,0.4553,1,-0.21,0.7001,1,0.08,0.891,1,-0.35,0.5302,1,-0.49,0.4125,1,0.53,0.3865,1,-0.44,0.4441,1,-0.22,0.6908,1,-0.35,0.5478,1,-0.36,0.5505,1,-0.48,0.4197,1
"1145","Rv1125","-","hypothetical protein Rv1125 ",23,15,-0.1,0.8218,1,0.3,0.4725,0.96187,-0.27,0.6298,1,-0.34,0.4919,1,-0.55,0.2819,0.91505,-0.11,0.7979,1,-0.16,0.8059,1,-0.33,0.6192,1,-0.42,0.4038,1,-0.03,0.9475,1,-0.71,0.1742,0.97789,-0.49,0.3049,0.84016,0.17,0.7124,1,-0.05,0.9272,1,-0.39,0.4188,1,-0.45,0.386,1,-0.33,0.4844,1,-0.26,0.586,1,-0.26,0.5811,1,0.26,0.5783,1,0.23,0.5872,1
"1146","Rv1126c","-","hypothetical protein Rv1126c ",11,7,-0.88,0.2764,1,0.69,0.2843,0.83601,-0.32,0.7366,1,-1.72,0.0687,0.82436,0.69,0.3524,0.95059,0.24,0.7091,1,-1.21,0.3167,1,-1.96,0.169,1,-0.71,0.4382,1,-0.16,0.8112,1,-0.14,0.8316,1,-2.39,0.0388,0.37036,0.02,0.9843,1,-0.39,0.5675,1,0.16,0.7931,1,-4.54,0.0113,0.23982,-0.2,0.7892,1,-0.55,0.4603,1,-1.15,0.1927,1,-1.1,0.204,0.87412,-0.78,0.3242,1
