Rv_ID,gene_name,Annotation,func_tuberculist,COG,u1,u2,cluster_labels
Rv0861c,ercc3,1.0,information pathways,KL,-8.992864,45.253014,19
Rv0862c,-,1.0,conserved hypotheticals,S,-9.4702,26.358892,12
Rv0866,moaE2,3.0,intermediary metabolism and respiration,H,-15.112649,33.21503,7
Rv0867c,rpfA,4.0,cell wall and cell processes,S,-14.167546,28.90668,14
Rv0869c,moaA,3.0,intermediary metabolism and respiration,H,-18.013084,12.672672,3
Rv0871,cspB,1.0,"virulence, detoxification, adaptation",K,-27.680117,27.742914,10
Rv0874c,-,1.0,conserved hypotheticals,S,-8.750746,45.786015,5
Rv0875c,-,1.0,cell wall and cell processes,S,-9.976692,32.439594,11
Rv0876c,-,2.0,cell wall and cell processes,GEPR,-24.685658,27.562828,4
Rv0877,-,1.0,conserved hypotheticals,S,-15.678151,30.858335,13
Rv0878c,PPE13,2.0,PE/PPE,S,-18.217896,12.897231,3
Rv0881,-,2.0,intermediary metabolism and respiration,J,-18.044935,12.665262,3
Rv0884c,serC,5.0,intermediary metabolism and respiration,HE,-15.558147,33.68407,7
Rv0886,fprB,3.0,intermediary metabolism and respiration,ER,-8.800532,45.85776,5
Rv0888,-,5.0,cell wall and cell processes,S,-13.540598,32.37536,7
Rv0889c,citA,3.0,intermediary metabolism and respiration,C,-22.10825,25.807854,17
Rv0890c,-,2.0,regulatory proteins,K,-8.438853,45.612373,5
Rv0892,-,2.0,intermediary metabolism and respiration,P,-13.777296,38.223732,0
Rv0893c,-,2.0,lipid metabolism,Q,-8.424992,45.573273,5
Rv0896,gltA,3.0,intermediary metabolism and respiration,C,-10.011441,32.48014,11
Rv0900,-,3.0,cell wall and cell processes,S,-8.773943,45.875305,5
Rv0901,-,3.0,cell wall and cell processes,S,-10.619457,27.333572,20
Rv0904c,accD3,3.0,lipid metabolism,I,-27.68158,27.714083,10
Rv0905,echA6,2.0,lipid metabolism,I,-27.718592,27.730877,10
Rv0908,ctpE,3.0,cell wall and cell processes,P,-18.297283,12.838578,3
Rv0909,-,2.0,conserved hypotheticals,S,-14.081987,32.952343,7
Rv0910,-,2.0,conserved hypotheticals,S,-9.236171,44.32195,19
Rv0914c,-,1.0,lipid metabolism,I,-27.440475,27.69408,10
Rv0916c,PE7,1.0,PE/PPE,S,-8.848843,46.006733,5
Rv0922,-,1.0,insertion seqs and phages,L,-13.599875,25.119408,9
Rv0923c,-,1.0,conserved hypotheticals,S,-8.952626,46.021824,5
Rv0924c,mntH,4.0,cell wall and cell processes,P,-10.125926,18.801033,6
Rv0926c,-,1.0,conserved hypotheticals,S,-15.860875,27.720846,1
Rv0928,pstS3,5.0,cell wall and cell processes,P,-10.001998,18.649714,6
Rv0929,pstC2,3.0,cell wall and cell processes,P,-9.984859,18.638905,6
Rv0930,pstA1,3.0,cell wall and cell processes,P,-9.967812,18.62879,6
Rv0931c,pknD,5.0,regulatory proteins,RTKL,-18.085964,12.62499,3
Rv0934,pstS1,5.0,cell wall and cell processes,P,-13.600238,25.12373,9
Rv0939,-,1.0,intermediary metabolism and respiration,Q,-8.785841,45.880573,5
Rv0942,-,1.0,conserved hypotheticals,S,-9.563923,32.01609,11
Rv0944,-,2.0,information pathways,L,-13.603585,25.119312,9
Rv0945,-,2.0,intermediary metabolism and respiration,IQR,-8.342632,45.99374,5
Rv0946c,pgi,4.0,intermediary metabolism and respiration,G,-16.42795,30.414669,13
Rv0949,uvrD1,5.0,information pathways,L,-25.447275,27.329128,4
Rv0950c,-,1.0,conserved hypotheticals,M,-25.352972,27.409086,4
Rv0954,-,2.0,cell wall and cell processes,S,-14.512781,37.369972,0
Rv0955,-,1.0,cell wall and cell processes,S,-24.50757,27.634893,4
Rv0956,purN,4.0,intermediary metabolism and respiration,F,-13.778339,38.21977,0
Rv0961,-,1.0,cell wall and cell processes,S,-8.865189,46.002098,5
Rv0963c,-,1.0,conserved hypotheticals,S,-18.05335,12.581101,3
Rv0964c,-,1.0,conserved hypotheticals,S,-9.437806,44.43656,19
Rv0969,ctpV,4.0,cell wall and cell processes,P,-14.054998,26.539095,9
Rv0970,-,1.0,cell wall and cell processes,S,-9.489385,26.357937,12
Rv0972c,fadE12,2.0,lipid metabolism,I,-8.795259,45.942295,5
Rv0973c,accA2,1.0,lipid metabolism,I,-14.164259,32.46746,7
Rv0974c,accD2,1.0,lipid metabolism,I,-8.927218,45.997734,5
Rv0976c,-,1.0,conserved hypotheticals,S,-10.613629,27.33317,20
Rv0981,mprA,5.0,regulatory proteins,TK,-14.129727,28.887281,14
Rv0983,pepD,3.0,intermediary metabolism and respiration,O,-14.007078,27.91509,14
Rv0987,-,1.0,cell wall and cell processes,V,-18.113363,12.601431,3
Rv0988,-,1.0,cell wall and cell processes,R,-24.811556,27.310953,4
Rv0989c,grcC2,1.0,intermediary metabolism and respiration,H,-25.902435,27.700256,4
Rv0991c,-,1.0,conserved hypotheticals,S,-27.242088,27.623108,10
Rv0992c,-,2.0,conserved hypotheticals,H,-17.486666,29.002588,18
Rv0994,moeA1,3.0,intermediary metabolism and respiration,H,-16.583447,29.167646,18
Rv0995,rimJ,1.0,information pathways,J,-9.366817,43.961452,19
Rv0996,-,1.0,cell wall and cell processes,S,-14.541235,29.26176,14
Rv0998,-,5.0,conserved hypotheticals,KR,-24.972952,27.136614,4
Rv0999,-,1.0,conserved hypotheticals,S,-27.488863,27.52916,10
Rv1002c,-,4.0,cell wall and cell processes,O,-26.108694,27.498453,4
Rv1006,-,1.0,conserved hypotheticals,S,-24.133453,27.620415,4
Rv1008,tatD,2.0,cell wall and cell processes,L,-27.45494,27.725508,10
Rv1009,rpfB,5.0,cell wall and cell processes,S,-9.497744,44.858395,19
Rv1010,ksgA,3.0,information pathways,J,-24.887463,27.824991,4
Rv1013,pks16,3.0,lipid metabolism,IQ,-25.900803,27.756556,4
Rv1019,-,1.0,regulatory proteins,K,-9.480162,44.357864,19
Rv1020,mfd,3.0,information pathways,LK,-27.685192,27.682878,10
Rv1021,-,5.0,conserved hypotheticals,R,-12.019167,26.344955,20
Rv1027c,kdpE,3.0,regulatory proteins,TK,-8.921189,45.97739,5
Rv1030,kdpB,3.0,cell wall and cell processes,P,-18.070034,12.590489,3
Rv1046c,-,1.0,unknown,S,-14.031823,26.558187,9
Rv1047,-,1.0,insertion seqs and phages,L,-12.856832,30.57495,16
Rv1051c,-,1.0,conserved hypotheticals,S,-8.962381,46.004894,5
Rv1052,-,1.0,conserved hypotheticals,S,-17.687817,14.495685,15
Rv1057,-,1.0,conserved hypotheticals,S,-15.859623,27.726093,1
Rv1058,fadD14,1.0,lipid metabolism,IQ,-25.332697,27.056768,4
Rv1059,-,1.0,conserved hypotheticals,E,-25.269522,27.146374,4
Rv1060,-,1.0,conserved hypotheticals,S,-8.863891,45.83325,5
Rv1065,-,1.0,conserved hypotheticals,S,-9.563606,32.020367,11
Rv1066,-,1.0,conserved hypotheticals,P,-10.662406,27.376907,20
Rv1069c,-,1.0,conserved hypotheticals,S,-17.5165,28.865534,18
Rv1070c,echA8,2.0,lipid metabolism,I,-17.47376,28.706877,18
Rv1071c,echA9,1.0,lipid metabolism,I,-14.837043,30.738012,13
Rv1072,-,1.0,cell wall and cell processes,S,-10.088588,18.695885,6
Rv1077,cbs,4.0,intermediary metabolism and respiration,E,-15.34413,31.033737,13
Rv1078,pra,1.0,conserved hypotheticals,S,-8.759868,44.53495,19
Rv1079,metB,5.0,intermediary metabolism and respiration,E,-15.342912,31.020575,13
Rv1080c,greA,3.0,information pathways,K,-14.178167,28.929773,14
Rv1081c,-,1.0,cell wall and cell processes,S,-25.474413,27.204033,4
Rv1083,-,1.0,conserved hypotheticals,S,-15.578027,33.69192,7
Rv1085c,-,2.0,"virulence, detoxification, adaptation",R,-14.006878,37.82262,0
Rv1086,-,5.0,cell wall and cell processes,I,-24.490967,27.615814,4
Rv1089A,celA2a,1.0,intermediary metabolism and respiration,S,-14.50225,31.398548,13
Rv1093,glyA,5.0,intermediary metabolism and respiration,E,-9.576675,-1.4052927,2
Rv1096,-,2.0,intermediary metabolism and respiration,G,-14.189726,32.434048,7
Rv1099c,glpX,5.0,intermediary metabolism and respiration,G,-25.328247,27.190834,4
Rv1100,-,1.0,conserved hypotheticals,S,-15.817196,30.78646,13
Rv1101c,-,1.0,cell wall and cell processes,R,-18.018663,12.696311,3
Rv1105,-,1.0,intermediary metabolism and respiration,I,-8.783121,45.806664,5
Rv1106c,-,5.0,intermediary metabolism and respiration,MG,-14.100497,26.530804,9
Rv1107c,xseB,2.0,information pathways,L,-8.880722,45.878624,5
Rv1111c,-,1.0,conserved hypotheticals,S,-14.143086,26.84706,9
Rv1112,-,2.0,conserved hypotheticals,J,-16.225698,30.654257,13
Rv1114,-,3.0,"virulence, detoxification, adaptation",R,-8.658271,46.04332,5
Rv1117,-,1.0,conserved hypotheticals,S,-13.451588,32.526226,7
Rv1121,zwf1,3.0,intermediary metabolism and respiration,G,-8.39897,45.50443,5
Rv1122,gnd2,1.0,intermediary metabolism and respiration,G,-9.592354,-1.5073034,2
Rv1123c,bpoB,1.0,"virulence, detoxification, adaptation",R,-8.804751,45.95808,5
Rv1125,-,1.0,conserved hypotheticals,E,-10.643559,27.359167,20
Rv1127c,ppdK,1.0,intermediary metabolism and respiration,G,-8.863923,45.168335,19
Rv1128c,-,1.0,insertion seqs and phages,S,-13.773499,31.893427,7
Rv1129c,-,4.0,regulatory proteins,K,-27.614588,27.574339,10
Rv1130,-,5.0,intermediary metabolism and respiration,R,-9.06276,45.36693,5
Rv1131,gltA1,5.0,intermediary metabolism and respiration,C,-12.539439,28.440014,14
Rv1132,-,1.0,cell wall and cell processes,S,-13.589942,25.775839,9
Rv1133c,metE,3.0,intermediary metabolism and respiration,E,-13.797047,38.24994,0
Rv1134,-,1.0,conserved hypotheticals,S,-14.133225,26.522057,9
Rv1140,-,1.0,cell wall and cell processes,R,-15.367315,31.056814,13
Rv1144,-,2.0,intermediary metabolism and respiration,IQR,-15.88506,27.742718,1
Rv1145,mmpL13a,1.0,cell wall and cell processes,R,-18.115286,12.699187,3
Rv1151c,-,5.0,regulatory proteins,K,-14.000467,32.948383,7
Rv1156,-,1.0,conserved hypotheticals,L,-27.73759,27.704165,10
Rv1157c,-,1.0,conserved hypotheticals,S,-9.527042,44.829227,19
Rv1158c,-,1.0,conserved hypotheticals,S,-14.095883,26.546043,9
Rv1159,pimE,2.0,cell wall and cell processes,S,-9.971536,-1.5075569,2
Rv1159,pimE,4.0,cell wall and cell processes,S,-9.9801655,-1.4933872,2
Rv1159A,phhB,,conserved hypotheticals,H,-8.715739,45.803738,5
Rv1160,mutT2,4.0,information pathways,LR,-12.603488,30.505024,16
Rv1165,typA,2.0,information pathways,T,-14.109418,26.523117,9
Rv1166,lpqW,2.0,cell wall and cell processes,E,-13.821665,29.107073,14
Rv1170,mshB,5.0,intermediary metabolism and respiration,S,-10.096403,18.750916,6
Rv1173,fbiC,4.0,intermediary metabolism and respiration,HR,-16.028627,30.934538,13
Rv1174c,TB8.4,2.0,cell wall and cell processes,S,-18.348148,13.622899,3
Rv1178,-,2.0,intermediary metabolism and respiration,E,-16.162317,30.952496,13
Rv1180,pks3,5.0,lipid metabolism,Q,-22.112513,25.80912,17
Rv1181,pks4,,lipid metabolism,Q,-22.110323,25.806463,17
Rv1182,papA3,4.0,lipid metabolism,Q,-27.640905,27.671238,10
Rv1183,mmpL10,3.0,cell wall and cell processes,R,-9.530544,18.495087,6
Rv1184c,-,4.0,cell wall and cell processes,R,-10.051274,18.721968,6
Rv1185c,fadD21,3.0,lipid metabolism,IQ,-22.108051,25.808704,17
Rv1187,rocA,2.0,intermediary metabolism and respiration,C,-8.830349,45.76923,5
Rv1192,-,1.0,conserved hypotheticals,R,-16.924236,15.259121,15
Rv1193,fadD36,1.0,lipid metabolism,IQ,-10.048887,32.12359,11
Rv1194c,-,1.0,conserved hypotheticals,TQ,-13.18937,30.871483,16
Rv1195,PE13,2.0,PE/PPE,S,-9.513154,44.841694,19
Rv1196,PPE18,4.0,PE/PPE,S,-9.555068,44.799614,19
Rv1199c,-,2.0,insertion seqs and phages,L,-12.72342,30.470098,16
Rv1204c,-,1.0,conserved hypotheticals,R,-13.379604,32.575085,7
Rv1205,-,5.0,conserved hypotheticals,R,-15.474617,31.074589,13
Rv1206,fadD6,1.0,lipid metabolism,IQ,-16.99391,15.344463,15
Rv1208,-,5.0,intermediary metabolism and respiration,M,-13.735449,38.20372,0
Rv1209,-,1.0,conserved hypotheticals,S,-14.64565,29.717205,14
Rv1210,tagA,1.0,information pathways,L,-27.674732,27.923216,10
Rv1211,-,1.0,conserved hypotheticals,S,-14.141099,28.955027,14
Rv1212c,-,5.0,intermediary metabolism and respiration,M,-17.511665,29.050867,18
Rv1213,glgC,4.0,intermediary metabolism and respiration,G,-15.845612,31.038124,13
Rv1214c,PE14,1.0,PE/PPE,S,-15.11277,33.207867,7
Rv1217c,-,2.0,cell wall and cell processes,M,-13.393746,32.470074,7
Rv1218c,-,3.0,cell wall and cell processes,V,-13.34545,32.585674,7
Rv1220c,-,2.0,intermediary metabolism and respiration,R,-16.741562,29.102568,18
Rv1226c,-,1.0,cell wall and cell processes,S,-13.596676,25.768105,9
Rv1235,lpqY,3.0,cell wall and cell processes,G,-10.018081,18.69989,6
Rv1236,sugA,3.0,cell wall and cell processes,G,-13.207161,31.271519,16
Rv1237,sugB,3.0,cell wall and cell processes,G,-14.096418,26.54472,9
Rv1238,sugC,4.0,cell wall and cell processes,G,-10.068728,18.743065,6
Rv1239c,corA,3.0,cell wall and cell processes,P,-10.044073,18.715422,6
Rv1241,-,2.0,"virulence, detoxification, adaptation",S,-27.68107,27.767492,10
Rv1244,lpqZ,1.0,cell wall and cell processes,M,-24.573599,27.024466,4
Rv1248c,kgd,5.0,intermediary metabolism and respiration,C,-16.277716,30.926884,13
Rv1250,-,2.0,cell wall and cell processes,GEPR,-15.9349,26.953949,1
Rv1251c,-,1.0,conserved hypotheticals,L,-8.896162,45.880875,5
Rv1252c,lprE,2.0,cell wall and cell processes,S,-14.183941,28.950993,14
Rv1253,deaD,3.0,information pathways,LKJ,-18.333076,13.714898,3
Rv1255c,-,1.0,regulatory proteins,K,-14.084375,26.50865,9
Rv1261c,-,3.0,conserved hypotheticals,S,-8.937086,45.965122,5
Rv1263,amiB2,2.0,intermediary metabolism and respiration,J,-13.836493,38.183853,0
Rv1264,-,5.0,intermediary metabolism and respiration,T,-13.6173935,25.136858,9
Rv1270c,lprA,3.0,cell wall and cell processes,S,-9.49498,44.827744,19
Rv1272c,-,3.0,cell wall and cell processes,V,-10.303926,32.18311,11
Rv1273c,-,2.0,cell wall and cell processes,V,-10.493793,32.18847,11
Rv1276c,-,1.0,conserved hypotheticals,T,-27.722553,27.721315,10
Rv1278,-,1.0,conserved hypotheticals,L,-9.577668,44.24502,19
Rv1280c,oppA,3.0,cell wall and cell processes,E,-18.357258,13.592368,3
Rv1281c,oppD,2.0,cell wall and cell processes,R,-9.500478,44.86455,19
Rv1282c,oppC,2.0,cell wall and cell processes,EP,-14.128897,26.814278,9
Rv1283c,oppB,2.0,cell wall and cell processes,EP,-10.781976,27.453053,20
Rv1285,cysD,4.0,intermediary metabolism and respiration,EH,-27.353952,27.924795,10
Rv1286,cysN,5.0,intermediary metabolism and respiration,P,-25.372791,27.402456,4
Rv1287,-,2.0,conserved hypotheticals,K,-17.341688,28.788729,18
Rv1288,-,1.0,conserved hypotheticals,R,-18.05332,12.587902,3
Rv1290A,-,1.0,conserved hypotheticals,S,-8.900579,45.880745,5
Rv1291c,-,1.0,cell wall and cell processes,S,-27.70326,27.753555,10
Rv1298,rpmE,2.0,information pathways,J,-24.58661,27.507519,4
Rv1300,hemK,3.0,intermediary metabolism and respiration,J,-14.837423,33.979958,7
Rv1301,-,3.0,conserved hypotheticals,J,-9.868539,32.310432,11
Rv1312,-,1.0,cell wall and cell processes,S,-24.887337,27.345741,4
Rv1314c,-,3.0,conserved hypotheticals,S,-14.945614,32.881508,7
Rv1321,-,2.0,conserved hypotheticals,L,-8.762912,45.82067,5
Rv1322,-,1.0,conserved hypotheticals,S,-8.848937,45.76349,5
Rv1323,fadA4,2.0,lipid metabolism,I,-22.10413,25.79937,17
Rv1324,-,2.0,intermediary metabolism and respiration,O,-15.471651,31.062347,13
Rv1328,glgP,3.0,intermediary metabolism and respiration,G,-10.290284,18.956596,6
Rv1331,clpS,2.0,conserved hypotheticals,S,-8.730118,45.77468,5
Rv1332,-,1.0,regulatory proteins,S,-18.073792,12.599073,3
Rv1333,-,2.0,intermediary metabolism and respiration,EQ,-9.020049,45.64261,5
Rv1334,-,5.0,intermediary metabolism and respiration,R,-15.524585,31.052725,13
Rv1335,-,4.0,intermediary metabolism and respiration,H,-17.49361,29.018534,18
Rv1336,cysM,5.0,intermediary metabolism and respiration,E,-15.3532505,31.08429,13
Rv1337,-,1.0,cell wall and cell processes,R,-12.8829365,30.175297,16
Rv1338,murI,3.0,cell wall and cell processes,M,-9.565229,-1.258671,2
Rv1339,-,1.0,conserved hypotheticals,R,-25.456406,27.141615,4
Rv1340,rph,3.0,information pathways,J,-25.59041,27.51884,4
Rv1341,-,4.0,conserved hypotheticals,F,-14.185285,33.024635,7
Rv1342c,-,2.0,cell wall and cell processes,S,-13.80549,38.23845,0
Rv1343c,lprD,2.0,cell wall and cell processes,K,-9.568714,32.01121,11
Rv1345,fadD33,3.0,lipid metabolism,IQ,-17.501839,29.015636,18
Rv1346,fadE14,3.0,lipid metabolism,I,-12.709247,26.356188,9
Rv1347c,-,4.0,lipid metabolism,J,-13.880566,32.01564,7
Rv1348,-,5.0,cell wall and cell processes,V,-9.813057,31.978708,11
Rv1349,-,5.0,cell wall and cell processes,V,-9.910924,32.352932,11
Rv1352,-,1.0,conserved hypotheticals,S,-16.98807,15.132404,15
Rv1357c,-,2.0,conserved hypotheticals,T,-8.976828,45.78111,5
Rv1359,-,1.0,regulatory proteins,T,-14.373078,33.293896,7
Rv1360,-,1.0,intermediary metabolism and respiration,C,-9.450125,26.38633,12
Rv1364c,-,3.0,information pathways,T,-22.408895,25.88477,17
Rv1366,-,1.0,conserved hypotheticals,S,-12.213714,26.349371,20
Rv1369c,-,,insertion seqs and phages,L,7.5025215,7.4721,8
Rv1371,-,1.0,cell wall and cell processes,S,-17.029383,15.02632,15
Rv1372,-,5.0,conserved hypotheticals,Q,-18.109463,12.623201,3
Rv1386,PE15,3.0,PE/PPE,S,-14.185568,28.926056,14
Rv1387,PPE20,2.0,PE/PPE,S,-13.500967,32.451744,7
Rv1395,-,2.0,regulatory proteins,K,-13.641537,25.165106,9
Rv1398c,-,1.0,"virulence, detoxification, adaptation",S,-18.070257,12.582557,3
Rv1400c,lipI,1.0,intermediary metabolism and respiration,I,-13.619993,25.139921,9
Rv1401,-,2.0,cell wall and cell processes,S,-9.499121,44.84185,19
Rv1402,priA,3.0,information pathways,L,-10.617991,-1.5673244,2
Rv1405c,-,1.0,intermediary metabolism and respiration,QR,-8.805245,18.457207,6
Rv1406,fmt,2.0,information pathways,J,-14.134044,37.812683,0
Rv1407,fmu,2.0,information pathways,J,-8.925194,45.317177,5
Rv1409,ribG,4.0,intermediary metabolism and respiration,H,-13.756717,38.21838,0
Rv1410c,-,4.0,cell wall and cell processes,GEPR,-24.408373,27.727179,4
Rv1411c,lprG,5.0,cell wall and cell processes,S,-24.536545,27.671206,4
Rv1412,ribC,3.0,intermediary metabolism and respiration,H,-13.762748,38.26037,0
Rv1413,-,1.0,conserved hypotheticals,E,-15.888373,27.743399,1
Rv1415,ribA2,5.0,intermediary metabolism and respiration,H,-13.763979,38.269257,0
Rv1418,lprH,2.0,cell wall and cell processes,S,-8.871753,45.870953,5
Rv1420,uvrC,3.0,information pathways,L,-25.127707,27.607817,4
Rv1421,-,2.0,conserved hypotheticals,R,-10.097968,18.761057,6
Rv1422,-,2.0,conserved hypotheticals,S,-14.372256,37.512814,0
Rv1426c,lipO,1.0,intermediary metabolism and respiration,I,-27.696459,27.70795,10
Rv1427c,fadD12,1.0,lipid metabolism,IQ,-17.999882,12.65759,3
Rv1428c,-,1.0,conserved hypotheticals,I,-12.516402,28.4489,14
Rv1429,-,1.0,conserved hypotheticals,TQ,-9.495291,26.370956,12
Rv1431,-,1.0,cell wall and cell processes,S,-13.626174,25.140465,9
Rv1432,-,1.0,intermediary metabolism and respiration,Q,-24.7254,27.299507,4
Rv1433,-,3.0,cell wall and cell processes,S,-17.487757,28.984606,18
Rv1435c,-,1.0,cell wall and cell processes,S,-17.496496,29.01314,18
Rv1436,gap,5.0,intermediary metabolism and respiration,G,-14.155255,37.792988,0
Rv1437,pgk,3.0,intermediary metabolism and respiration,G,-25.831455,27.641863,4
Rv1439c,-,1.0,conserved hypotheticals,S,-9.280992,44.30964,19
Rv1445c,devB,2.0,intermediary metabolism and respiration,G,-13.704754,26.693659,9
Rv1447c,zwf2,3.0,intermediary metabolism and respiration,G,-18.34238,13.614385,3
Rv1448c,tal,3.0,intermediary metabolism and respiration,G,-14.15232,32.47638,7
Rv1453,-,1.0,regulatory proteins,TQ,-27.676603,27.719446,10
Rv1457c,-,1.0,cell wall and cell processes,V,-26.148273,27.463364,4
Rv1458c,-,1.0,cell wall and cell processes,V,-25.000536,27.742027,4
Rv1460,-,1.0,regulatory proteins,K,-8.915747,45.927658,5
Rv1464,csd,3.0,intermediary metabolism and respiration,E,-14.0154295,38.000805,0
Rv1467c,fadE15,1.0,lipid metabolism,I,-27.69583,27.708553,10
Rv1468c,PE_PGRS29,1.0,PE/PPE,S,-13.404917,32.442314,7
Rv1470,trxA,1.0,intermediary metabolism and respiration,OC,-17.022076,15.027526,15
Rv1471,trxB1,2.0,intermediary metabolism and respiration,OC,-9.293575,44.257896,19
Rv1473,-,2.0,cell wall and cell processes,R,-18.496855,14.224231,3
Rv1473A,-,1.0,regulatory proteins,S,-8.908527,45.92751,5
Rv1477,-,5.0,"virulence, detoxification, adaptation",M,-14.210902,32.36673,7
Rv1478,-,4.0,"virulence, detoxification, adaptation",M,-9.056939,45.429523,5
Rv1489A,-,1.0,conserved hypotheticals,I,-13.724477,26.692968,9
Rv1492,mutA,3.0,lipid metabolism,I,-8.824527,45.170143,19
Rv1493,mutB,3.0,lipid metabolism,I,-13.622414,31.94266,7
Rv1494,-,2.0,"virulence, detoxification, adaptation",S,-17.726498,14.430713,15
Rv1496,-,3.0,cell wall and cell processes,E,-9.4859495,44.822147,19
Rv1498A,-,1.0,conserved hypotheticals,S,-15.931419,26.95573,1
Rv1498c,-,1.0,intermediary metabolism and respiration,QR,-14.11041,26.541103,9
Rv1500,-,2.0,intermediary metabolism and respiration,M,-8.577072,45.689438,5
Rv1502,-,1.0,unknown,G,-9.490737,26.356638,12
Rv1505c,-,1.0,conserved hypotheticals,R,-27.725382,27.695572,10
Rv1507c,-,1.0,conserved hypotheticals,S,-9.703282,26.336145,12
Rv1508c,-,1.0,cell wall and cell processes,S,-18.087254,12.574859,3
Rv1512,epiA,3.0,intermediary metabolism and respiration,MG,-24.631418,27.560654,4
Rv1515c,-,1.0,conserved hypotheticals,QR,-8.859893,45.863037,5
Rv1516c,-,1.0,intermediary metabolism and respiration,M,-13.808541,26.642088,9
Rv1517,-,1.0,cell wall and cell processes,S,-8.940157,45.817245,5
Rv1518,-,1.0,conserved hypotheticals,M,-9.47186,26.34455,12
Rv1524,-,2.0,intermediary metabolism and respiration,GC,-8.634792,45.244236,5
Rv1526c,-,1.0,intermediary metabolism and respiration,GC,-17.684011,14.484122,15
Rv1528c,papA4,1.0,lipid metabolism,S,-8.554715,45.032707,19
Rv1530,adh,2.0,intermediary metabolism and respiration,ER,-17.021181,15.02074,15
Rv1532c,-,1.0,conserved hypotheticals,Q,-8.8462515,45.81605,5
Rv1534,-,1.0,regulatory proteins,K,-14.143874,26.496212,9
Rv1535,-,1.0,conserved hypotheticals,S,-11.71512,30.025187,16
Rv1537,dinX,4.0,information pathways,L,-17.06151,14.987239,15
Rv1538c,ansA,3.0,intermediary metabolism and respiration,EJ,-10.075815,18.758062,6
Rv1540,-,2.0,conserved hypotheticals,J,-25.906008,27.754211,4
Rv1541c,lprI,4.0,cell wall and cell processes,R,-8.668158,45.787846,5
Rv1542c,glbN,5.0,intermediary metabolism and respiration,R,-11.630019,30.09135,16
Rv1543,-,2.0,lipid metabolism,IQR,-27.33765,27.840427,10
Rv1544,-,2.0,lipid metabolism,R,-18.372326,14.42114,15
Rv1546,-,1.0,conserved hypotheticals,S,-13.980641,32.928513,7
Rv1548c,PPE21,2.0,PE/PPE,S,-27.679195,27.639294,10
Rv1551,plsB1,2.0,lipid metabolism,I,-27.637257,27.611334,10
Rv1556,-,1.0,regulatory proteins,K,-17.968681,12.943174,3
Rv1558,-,3.0,conserved hypotheticals,S,-18.060448,12.670287,3
Rv1559,ilvA,4.0,intermediary metabolism and respiration,E,-14.327657,37.559006,0
Rv1562c,treZ,4.0,"virulence, detoxification, adaptation",G,-13.79169,32.70935,7
Rv1563c,treY,3.0,"virulence, detoxification, adaptation",G,-8.590021,45.570133,5
Rv1564c,treX,2.0,"virulence, detoxification, adaptation",G,-13.827154,32.796173,7
Rv1565c,-,1.0,cell wall and cell processes,I,-24.964273,27.69581,4
Rv1566c,-,1.0,"virulence, detoxification, adaptation",M,-24.489738,27.762012,4
Rv1568,bioA,5.0,intermediary metabolism and respiration,H,-9.145487,18.377993,6
Rv1569,bioF1,5.0,intermediary metabolism and respiration,H,-10.121203,32.317898,11
Rv1570,bioD,5.0,intermediary metabolism and respiration,H,-27.591093,27.816944,10
Rv1576c,-,1.0,insertion seqs and phages,R,-18.20111,12.746091,3
Rv1579c,-,1.0,insertion seqs and phages,S,-14.006957,32.98447,7
Rv1582c,-,1.0,insertion seqs and phages,R,-10.511648,-1.513369,2
Rv1585c,-,1.0,insertion seqs and phages,S,-14.120544,32.572807,7
Rv1586c,-,1.0,insertion seqs and phages,L,-10.605761,-1.5593507,2
Rv1587c,-,1.0,insertion seqs and phages,S,-14.077833,26.50383,9
Rv1589,bioB,3.0,intermediary metabolism and respiration,H,-9.120138,18.38721,6
Rv1590,-,1.0,conserved hypotheticals,S,-13.688741,38.078598,0
Rv1592c,-,2.0,conserved hypotheticals,S,-14.031431,28.033918,14
Rv1595,nadB,3.0,intermediary metabolism and respiration,H,-14.147557,33.05442,7
Rv1608c,bcpB,3.0,"virulence, detoxification, adaptation",O,-8.586921,45.638023,5
Rv1609,trpE,3.0,intermediary metabolism and respiration,EH,-9.97309,32.41038,11
Rv1612,trpB,3.0,intermediary metabolism and respiration,E,-13.789706,38.241577,0
Rv1615,-,1.0,cell wall and cell processes,S,-8.810354,45.824146,5
Rv1617,pykA,5.0,intermediary metabolism and respiration,G,-9.777,-1.6195828,2
Rv1620c,cydC,2.0,intermediary metabolism and respiration,V,-25.60729,27.119228,4
Rv1621c,cydD,2.0,intermediary metabolism and respiration,CO,-9.8961,-1.8127514,2
Rv1622c,cydB,1.0,intermediary metabolism and respiration,C,-9.934107,-1.8514628,2
Rv1623c,cydA,2.0,intermediary metabolism and respiration,C,-9.830239,-1.773831,2
Rv1626,-,3.0,regulatory proteins,T,-15.799988,30.697496,13
Rv1627c,-,1.0,lipid metabolism,I,-12.520907,28.45082,14
Rv1630,rpsA,4.0,information pathways,J,-13.817796,29.110008,14
Rv1632c,-,1.0,conserved hypotheticals,S,-27.615671,27.812483,10
Rv1633,uvrB,4.0,information pathways,L,-22.217133,25.761196,17
Rv1634,-,2.0,cell wall and cell processes,GEPR,-15.278119,31.015444,13
Rv1635c,-,1.0,cell wall and cell processes,S,-14.265478,29.020353,14
Rv1636,TB15.3,2.0,"virulence, detoxification, adaptation",T,-10.014959,32.484398,11
