Rv_ID	gene_name	Description	Final Call	tuberculist_category	NN_joined
Rv0743c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv0630c, Rv1030, Rv3384c, Rv1168c, Rv2284, Rv0549c, Rv3010c, Rv1247c, Rv1736c, Rv1082
Rv0744c	-	Possible transcriptional regulatory protein	Non essential	regulatory proteins	Rv2112c, Rv0438c, Rv2922c, Rv2579, Rv3318, Rv1675c, Rv2548, Rv0230c, NONE, NONE
Rv0745	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3225c, Rv0054, Rv2701c, Rv1189, Rv2725c, Rv3808c, Rv1075c, Rv1771, Rv2823c, Rv1399c
Rv0746	PE_PGRS9	PE-PGRS family protein PE_PGRS9	Non essential	PE/PPE	Rv3589, Rv2596, Rv3272, Rv0418, Rv2530c, Rv3911, Rv3754, Rv2702, Rv1121, NONE
Rv0747	PE_PGRS10	PE-PGRS family protein PE_PGRS10	Non essential	PE/PPE	Rv2351c, Rv1651c, Rv0669c, Rv2158c, Rv2914c, Rv3382c, Rv2824c, Rv1997, Rv2501c, Rv0252
Rv0748	vapB31	Possible antitoxin VapB31	Non essential	virulence, detoxification, adaptation	Rv0065, Rv1495, Rv3855, Rv3702c, Rv1448c, Rv1996, Rv0694, Rv0754, Rv3704c, Rv2819c
Rv0749	vapC31	Possible toxin VapC31 Contains PIN domain	Non essential	virulence, detoxification, adaptation	Rv0070c, Rv0208c, Rv1088, Rv3911, Rv0418, Rv3610c, Rv3272, Rv3062, Rv0500, Rv1258c
Rv0749A	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2601, Rv3310, Rv1346, Rv1736c, Rv1247c, Rv0595c, Rv1991c, Rv0631c, Rv2149c, Rv2985
Rv0750	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0586, Rv0987, Rv0969, Rv3082c, Rv3364c, Rv3841, Rv0858c, Rv3229c, Rv0254c, NONE
Rv0751c	mmsB	Probable 3-hydroxyisobutyrate dehydrogenase MmsB (hibadh)	Non essential	intermediary metabolism and respiration	Rv1185c, Rv2744c, Rv2430c, Rv1076, Rv2959c, Rv2350c, Rv2872, Rv3470c, Rv3488, Rv3203
Rv0752c	fadE9	Probable acyl-CoA dehydrogenase FadE9	Non essential	lipid metabolism	Rv1985c, Rv3740c, Rv1246c, Rv3743c, Rv1256c, Rv0629c, Rv3080c, Rv2238c, Rv3701c, Rv2245
Rv0753c	mmsA	Probable methylmalonate-semialdehyde dehydrogenase MmsA (methylmalonic acid semialdehyde dehydrogenase) (MMSDH)	Non essential	intermediary metabolism and respiration	Rv1991c, Rv0595c, Rv3310, Rv3287c, Rv0631c, Rv2074, Rv1542c, Rv3674c, Rv1247c, Rv1736c
Rv0754	PE_PGRS11	PE-PGRS family protein PE_PGRS11	Non essential	PE/PPE	Rv3704c, Rv1996, Rv3702c, Rv2964, Rv1563c, Rv3316, Rv1267c, Rv1731, Rv1495, Rv3855
Rv0755A	-	Putative transposase (fragment)	Growth advantage	insertion seqs and phages	Rv0848, Rv1372, Rv0980c, Rv2416c, Rv0505c, Rv3124, Rv1981c, Rv1103c, Rv1558, Rv3151
Rv0755c	PPE12	PPE family protein PPE12	Non essential	PE/PPE	Rv3589, Rv3272, Rv0418, Rv2596, Rv3592, Rv0478, Rv1316c, Rv3610c, Rv1604, Rv2530c
Rv0756c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1474c, Rv1475c, Rv2181, Rv0079, Rv2453c, Rv0153c, Rv2215, Rv3583c, Rv2175c, Rv1699
Rv0757	phoP	Possible two component system response transcriptional positive regulator PhoP	Non essential	regulatory proteins	Rv3615c, Rv3616c, Rv3870, Rv3882c, Rv3614c, Rv3871, Rv3877, Rv3869, Rv0190, Rv3874
Rv0758	phoR	Possible two component system response sensor kinase membrane associated PhoR	Non essential	regulatory proteins	Rv0757, Rv3615c, Rv3616c, Rv3870, Rv3882c, Rv3614c, Rv3871, Rv3877, Rv3869, Rv0190
Rv0759c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0757, Rv3615c, Rv3616c, Rv3870, Rv3882c, Rv3614c, Rv3871, Rv3877, Rv3869, Rv0190
Rv0760c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3272, Rv3589, Rv3610c, Rv0418, Rv0749, Rv0208c, Rv0478, Rv0070c, Rv3592, Rv3911
Rv0761c	adhB	Possible zinc-containing alcohol dehydrogenase NAD dependent AdhB	Non essential	intermediary metabolism and respiration	Rv2200c, Rv1379, Rv3199c, Rv0379, Rv3654c, Rv1335, Rv3809c, Rv1089, Rv2881c, Rv1665
Rv0762c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0802c, Rv0148, Rv3826, Rv1746, Rv3480c, Rv0978c, Rv3089, Rv3309c, Rv1886c, NONE
Rv0763c	-	Possible ferredoxin	Uncertain	intermediary metabolism and respiration	Rv3794, Rv3790, Rv3526, Rv1821, Rv2525c, Rv2418c, Rv2677c, Rv1485, Rv3273, Rv3822
Rv0764c	cyp51	Cytochrome P450 51 Cyp51 (CYPL1) (P450-L1A1) (sterol 14-alpha demethylase) (lanosterol 14-alpha demethylase) (P450-14DM)	Non essential	intermediary metabolism and respiration	Rv3408, Rv1980c, Rv0221, Rv3377c, Rv1876, Rv2296, Rv1983, Rv3821, Rv3409c, Rv0404
Rv0765c	-	Probable oxidoreductase	Non essential	intermediary metabolism and respiration	Rv3862c, Rv0518, Rv3056, Rv1246c, Rv3743c, Rv2918c, Rv0977, Rv1985c, Rv2484c, Rv3740c
Rv0766c	cyp123	Probable cytochrome P450 123 Cyp123	Non essential	intermediary metabolism and respiration	Rv1737c, Rv1596, Rv2848c, Rv3853, Rv2031c, Rv1258c, Rv0065, Rv0070c, Rv1088, Rv3855
Rv0767c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3810, Rv1822, Rv2359, Rv1538c, Rv0983, Rv0465c, Rv2613c, Rv0561c, Rv3574, Rv3131
Rv0768	aldA	Probable aldehyde dehydrogenase NAD dependent AldA (aldehyde dehydrogenase [NAD+])	Non essential	intermediary metabolism and respiration	Rv3146, Rv3821, Rv2962c, Rv0821c, Rv2267c, Rv2852c, Rv0624, Rv1365c, Rv2176, Rv3148
Rv0769	-	Probable dehydrogenase/reductase	Non essential	intermediary metabolism and respiration	Rv2816c, Rv1608c, Rv2428, Rv1187, Rv1848, Rv0220, Rv1264, Rv3155, Rv3197A, Rv2521
Rv0770	-	Probable dehydrogenase/reductase	Non essential	intermediary metabolism and respiration	Rv2031c, Rv3853, Rv1258c, Rv3878, Rv0533c, Rv3157, Rv3062, Rv2848c, Rv0500, Rv2213
Rv0771	-	Possible 4-carboxymuconolactone decarboxylase (CMD)	Non essential	intermediary metabolism and respiration	Rv1604, Rv1316c, Rv3592, Rv0557, Rv1629, Rv0113, Rv0478, Rv2252, Rv3589, Rv2949c
Rv0772	purD	Probable phosphoribosylamine--glycine ligase PurD (GARS) (glycinamide ribonucleotide synthetase) (phosphoribosylglycinamide synthetase) (5'-phosphoribosylglycinamide synthetase)	Essential	intermediary metabolism and respiration	Rv1436, Rv2397c, Rv0787A, Rv2988c, Rv2439c, Rv1415, Rv3457c, Rv0809, Rv0788, Rv1832
Rv0773c	ggtA	Probable bifunctional acylase GgtA: cephalosporin acylase (GL-7ACA acylase) + gamma-glutamyltranspeptidase (GGT)	Non essential	intermediary metabolism and respiration	Rv1242, Rv1103c, Rv2196, Rv0512, Rv1981c, Rv3886c, Rv0956, Rv2332, Rv1558, Rv2748c
Rv0774c	-	Probable conserved exported protein	Non essential	cell wall and cell processes	Rv0438c, Rv2112c, Rv3318, Rv2579, Rv2922c, Rv1675c, Rv2548, Rv0230c, NONE, NONE
Rv0775	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0221, Rv3408, Rv1980c, Rv2296, Rv1983, Rv0764c, Rv3825c, Rv1876, Rv3377c, Rv1297
Rv0776c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2852c, Rv2962c, Rv3146, Rv2267c, Rv0821c, Rv1365c, Rv0445c, Rv3821, Rv3148, Rv1328
Rv0777	purB	Probable adenylosuccinate lyase PurB (adenylosuccinase) (ASL) (ASASE)	Essential	intermediary metabolism and respiration	Rv0951, Rv3782, Rv0555, Rv2726c, Rv1094, Rv0001, Rv0685, Rv0534c, Rv3806c, Rv2361c
Rv0778	cyp126	Possible cytochrome P450 126 Cyp126	Non essential	intermediary metabolism and respiration	Rv2402, Rv1915, Rv1010, Rv0351, Rv0598c, Rv2029c, Rv3824c, Rv1760, Rv1843c, Rv0535
Rv0779c	-	Possible conserved transmembrane protein	Non essential	cell wall and cell processes	Rv1563c, Rv2964, Rv3316, Rv3704c, Rv0754, Rv1267c, Rv1996, Rv3702c, Rv1341, Rv0895
Rv0780	purC	Phosphoribosylaminoimidazole-succinocarboxamide synthase PurC (SAICAR synthetase)	Essential	intermediary metabolism and respiration	Rv3341, Rv1416, Rv0772, Rv1436, Rv2397c, Rv3002c, Rv0787A, Rv2988c, Rv2439c, Rv1415
Rv0781	ptrBa	Probable protease II PtrBa [first part] (oligopeptidase B)	Non essential	intermediary metabolism and respiration	Rv0113, Rv0557, Rv0982, Rv0478, Rv2865, Rv2623, Rv3592, Rv1629, Rv1604, Rv0596c
Rv0782	ptrBb	Probable protease II PtrBb [second part] (oligopeptidase B)	Non essential	intermediary metabolism and respiration	Rv3488, Rv2744c, Rv2350c, Rv1185c, Rv2430c, Rv0751c, Rv2027c, Rv2232, Rv2872, Rv1561
Rv0783c	emrB	Possible multidrug resistance integral membrane efflux protein EmrB	Non essential	cell wall and cell processes	Rv3480c, Rv0802c, Rv3309c, Rv3826, Rv3086, Rv0148, Rv1368, Rv1267c, Rv3089, NONE
Rv0784	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0987, Rv0969, Rv3364c, Rv0586, Rv1872c, Rv2549c, Rv0277c, NONE, NONE, NONE
Rv0785	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1468c, Rv1328, Rv1365c, Rv1222, Rv2267c, Rv2218, Rv0821c, Rv0445c, Rv1205, Rv3297
Rv0786c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2820c, Rv0386, Rv2763c, Rv1143, Rv0844c, Rv0838, Rv0301, Rv0518, Rv2918c, Rv3056
Rv0787	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1364c, Rv3547, Rv0583c, Rv0116c, Rv0132c, Rv0414c, Rv3043c, Rv1155, Rv1850, Rv2573
Rv0787A	-	hypothetical protein	Essential	conserved hypotheticals	Rv2988c, Rv2439c, Rv1415, Rv2397c, Rv1436, Rv3457c, Rv0788, Rv1832, Rv0772, Rv1612
Rv0788	purQ	Probable phosphoribosylformylglycinamidine synthase I PURG (FGAM synthase I)	Essential	intermediary metabolism and respiration	Rv1832, Rv1409, Rv1609, Rv3602c, Rv2995c, Rv2225, Rv2192c, Rv1612, Rv1415, Rv3710
Rv0789c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv0956, Rv2332, Rv3886c, Rv2950c, Rv1242, Rv2196, Rv0512, Rv0934, Rv1103c, Rv3509c
Rv0790c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv2245, Rv0573c, Rv3701c, Rv3370c, Rv3111, Rv3010c, Rv1634, Rv1161, Rv2284, Rv2873
Rv0791c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1009, Rv0937c, Rv0866, Rv2346c, Rv0091, Rv1198, Rv0385, Rv3234c, Rv3371, Rv1033c
Rv0792c	-	Probable transcriptional regulatory protein (probably GntR-family)	Non essential	regulatory proteins	Rv1850, Rv0132c, Rv2063A, Rv2573, Rv3547, Rv1155, Rv3744, Rv0583c, Rv1364c, Rv0116c
Rv0793	-	Possible monooxygenase	Non essential	intermediary metabolism and respiration	Rv2112c, Rv2922c, Rv3318, Rv0438c, Rv2579, Rv1909c, Rv1160, Rv1675c, Rv0230c, NONE
Rv0794c	-	Probable oxidoreductase	Non essential	intermediary metabolism and respiration	Rv0631c, Rv1991c, Rv0595c, Rv2285, Rv3674c, Rv3310, Rv2902c, Rv1346, Rv2149c, Rv0985c
Rv0795	-	Putative transposase for insertion sequence element IS6110 (fragment)	Non essential	insertion seqs and phages	Rv0554, Rv2461c, Rv3261, Rv1286, Rv2335, Rv3262, Rv2334, Rv1170, Rv3696c, Rv0899
Rv0796	-	Putative transposase for insertion sequence element IS6110	Non essential	insertion seqs and phages	Rv2461c, Rv3261, Rv1286, Rv2335, Rv3262, Rv2334, Rv1170, Rv3696c, Rv0554, Rv0899
Rv0797	-	Putative transposase for insertion sequence element IS1547	Non essential	insertion seqs and phages	Rv1876, Rv0845, Rv1983, Rv3377c, Rv1980c, Rv2296, Rv3408, Rv0643c, Rv0764c, Rv0221
Rv0798c	cfp29	29 KDa antigen CFP29	Non essential	virulence, detoxification, adaptation	Rv3409c, Rv0221, Rv3408, Rv2631, Rv0764c, Rv1980c, Rv3821, Rv3619c, Rv3065, Rv2296
Rv0799c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0237, Rv2780, Rv3045, Rv0670, Rv1653, Rv1931c, Rv0548c, Rv2953, Rv1400c, Rv2950c
Rv0800	pepC	Probable aminopeptidase PepC	Non essential	intermediary metabolism and respiration	Rv3808c, Rv1771, Rv0054, Rv3225c, Rv2725c, Rv2701c, Rv1189, Rv0683, Rv2299c, Rv1075c
Rv0801	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3853, Rv2031c, Rv2848c, Rv1737c, Rv1258c, Rv1088, Rv0070c, Rv1596, Rv3062, Rv0749
Rv0802c	-	Possible succinyltransferase in the GCN5-related N-acetyltransferase family	Non essential	intermediary metabolism and respiration	Rv0148, Rv3480c, Rv3826, Rv3309c, Rv3089, Rv1368, Rv1746, NONE, NONE, NONE
Rv0803	purL	Phosphoribosylformylglycinamidine synthase II PurL (FGAM synthase II)	Essential	intermediary metabolism and respiration	Rv2109c, Rv1208, Rv1464, Rv3031, Rv2906c, Rv3596c, Rv0002, Rv3601c, Rv2987c, Rv2678c
Rv0804	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2176, Rv2878c, Rv3619c, Rv0624, Rv2970c, Rv3409c, Rv2243, Rv2855, Rv3821, Rv2631
Rv0805	-	Class III cyclic nucleotide phosphodiesterase (cNMP PDE)	Non essential	intermediary metabolism and respiration	Rv2939, Rv2933, Rv2941, Rv2934, Rv2932, Rv2930, Rv2931, Rv2935, Rv3518c, Rv2521
Rv0806c	cpsY	Possible UDP-glucose-4-epimerase CpsY (galactowaldenase) (UDP-galactose-4-epimerase) (uridine diphosphate galactose-4-epimerase) (uridine diphospho-galactose-4-epimerase)	Non essential	cell wall and cell processes	Rv1237, Rv3131, Rv0470c, Rv3574, Rv1957, Rv0465c, Rv3810, Rv1538c, Rv3132c, Rv1347c
Rv0807	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1485, Rv2746c, Rv2537c, Rv2241, Rv0491, Rv2421c, Rv3420c, Rv3794, Rv1640c, Rv3526
Rv0808	purF	Amidophosphoribosyltransferase PurF (glutamine phosphoribosylpyrophosphate amidotransferase) (ATASE) (gpatase)	Essential	intermediary metabolism and respiration	Rv1612, Rv3457c, Rv1437, Rv2995c, Rv1832, Rv3602c, Rv0788, Rv2439c, Rv2225, Rv1609
Rv0809	purM	Probable phosphoribosylformylglycinamidine CYCLO-ligase PurM (AIRS) (phosphoribosyl-aminoimidazole synthetase) (air synthase)	Essential	intermediary metabolism and respiration	Rv1559, Rv3710, Rv1409, Rv2192c, Rv1609, Rv1415, Rv0788, Rv1832, Rv2225, Rv3602c
Rv0810c	-	hypothetical protein	Essential	conserved hypotheticals	Rv2447c, Rv1293, Rv3598c, Rv2720, Rv3425, Rv2188c, Rv1527c, Rv2465c, Rv2538c, Rv3012c
Rv0811c	-	hypothetical protein	Essential	conserved hypotheticals	Rv3806c, Rv0001, Rv1094, Rv2361c, Rv0685, Rv0534c, Rv2726c, Rv1603, Rv0951, Rv0555
Rv0812	-	Probable amino acid aminotransferase	Growth defect	intermediary metabolism and respiration	Rv1184c, Rv1633, Rv3084, Rv0407, Rv0129c, Rv2386c, Rv2215, Rv1285, Rv2589, Rv2221c
Rv0813c	-	hypothetical protein	Growth advantage	conserved hypotheticals	Rv1433, Rv1288, Rv2211c, Rv0853c, Rv2593c, Rv2388c, Rv1077, Rv2068c, Rv2801A, Rv3379c
Rv0814c	sseC2	Conserved protein SseC2	Growth advantage	intermediary metabolism and respiration	Rv1558, Rv1027c, Rv3913, Rv0505c, Rv3124, Rv3297, Rv3378c, Rv0342, Rv0512, Rv3793
Rv0815c	cysA2	Probable thiosulfate sulfurtransferase CysA2 (rhodanese-like protein) (thiosulfate cyanide transsulfurase) (thiosulfate thiotransferase)	Growth advantage	intermediary metabolism and respiration	Rv3420c, Rv2421c, Rv2746c, Rv1602, Rv1485, Rv1336, Rv1345, Rv0491, Rv2537c, Rv1821
Rv0816c	thiX	Probable thioredoxin ThiX	Growth advantage	intermediary metabolism and respiration	Rv1660, Rv1196, Rv0006, Rv2294, Rv2156c, Rv3366, Rv2299c, Rv1625c, Rv0286, Rv1161
Rv0817c	-	Probable conserved exported protein	Growth defect	cell wall and cell processes	Rv2181, Rv3583c, Rv2215, Rv2175c, Rv2453c, Rv1474c, Rv1633, Rv1285, Rv2795c, Rv0079
Rv0818	-	Transcriptional regulatory protein	Growth advantage	regulatory proteins	Rv0930, Rv0820, Rv0929, Rv0928, Rv0924c, Rv0644c, Rv0989c, Rv0645c, Rv3696c, Rv1239c
Rv0819	mshD	GCN5-related N-acetyltransferase, MshD	Growth advantage	intermediary metabolism and respiration	Rv2007c, Rv2625c, Rv0827c, Rv3724B, Rv0282, Rv3414c, Rv0668, Rv2928, Rv0486, Rv1121
Rv0820	phoT	Probable phosphate-transport ATP-binding protein ABC transporter PhoT	Growth advantage	cell wall and cell processes	Rv0930, Rv0929, Rv0928, Rv0924c, Rv0644c, Rv0645c, Rv0989c, Rv3696c, Rv1239c, Rv0413
Rv0821c	phoY2	Probable phosphate-transport system transcriptional regulatory protein PhoY2	Growth advantage	cell wall and cell processes	Rv2267c, Rv1365c, Rv2852c, Rv3146, Rv1328, Rv1468c, Rv2962c, Rv0445c, Rv3821, Rv2218
Rv0822c	-	hypothetical protein	Growth advantage	conserved hypotheticals	Rv2852c, Rv2962c, Rv0445c, Rv3145, Rv2416c, Rv3392c, Rv3146, Rv0848, Rv3148, Rv2267c
Rv0823c	-	Possible transcriptional regulatory protein	Growth advantage	regulatory proteins	Rv0888, Rv2027c, Rv3404c, Rv2350c, Rv1302, Rv2430c, Rv1212c, Rv0475, Rv2118c, Rv3842c
Rv0824c	desA1	Probable acyl-[acyl-carrier protein] desaturase DesA1 (acyl-[ACP] desaturase) (stearoyl-ACP desaturase) (protein Des)	Essential	lipid metabolism	Rv3914, Rv0733, Rv3032, Rv3443c, Rv3465, Rv2882c, Rv2986c, Rv0016c, Rv1631, Rv0288
Rv0825c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1468c, Rv1222, Rv1328, Rv1205, Rv1365c, Rv3419c, Rv2267c, Rv2218, Rv0821c, Rv1386
Rv0826	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3842c, Rv0475, Rv1955, Rv1212c, Rv0823c, Rv0668, Rv3404c, Rv0888, Rv1302, Rv2118c
Rv0827c	kmtR	Metal sensor transcriptional regulator KmtR (ArsR-SmtB family)	Non essential	regulatory proteins	Rv3724B, Rv2625c, Rv1121, Rv2928, Rv0486, Rv2702, Rv2596, Rv0933, Rv2252, Rv0668
Rv0828c	-	Possible deaminase	Non essential	intermediary metabolism and respiration	Rv2350c, Rv2430c, Rv0751c, Rv2744c, Rv2027c, Rv1185c, Rv3488, Rv0823c, Rv0888, Rv1302
Rv0829	-	Possible transposase (fragment)	Non essential	insertion seqs and phages	Rv0982, Rv1259, Rv3240c, Rv2919c, Rv2865, Rv0496, Rv3358, Rv0596c, Rv1537, Rv0211
Rv0830	-	Possible S-adenosylmethionine-dependent methyltransferase	Non essential	lipid metabolism	Rv3083, Rv0553, Rv3879c, Rv0938, Rv2174, Rv1020, Rv1994c, Rv0583c, Rv1155, Rv0116c
Rv0831c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0404, Rv3377c, Rv0764c, Rv2187, Rv1876, Rv1980c, Rv0058, Rv0845, Rv1032c, Rv3408
Rv0832	PE_PGRS12	PE-PGRS family protein PE_PGRS12	Non essential	PE/PPE	Rv2631, Rv3409c, Rv3619c, Rv2878c, Rv1601, Rv2176, Rv0458, Rv3065, Rv2136c, Rv0624
Rv0833	PE_PGRS13	PE-PGRS family protein PE_PGRS13	Non essential	PE/PPE	Rv0845, Rv0551c, Rv0643c, Rv1876, Rv0058, Rv1695, Rv3377c, Rv3573c, Rv2924c, NONE
Rv0834c	PE_PGRS14	PE-PGRS family protein PE_PGRS14	Non essential	PE/PPE	Rv0417, Rv1484, Rv2121c, Rv0444c, Rv1306, Rv1311, Rv2742c, Rv1392, Rv3012c, Rv2440c
Rv0835	lpqQ	Possible lipoprotein LpqQ	Non essential	cell wall and cell processes	Rv3287c, Rv1542c, Rv2074, Rv2873, Rv3339c, Rv1984c, Rv1082, Rv1634, Rv3504, Rv2737c
Rv0836c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv3740c, Rv0629c, Rv2238c, Rv3080c, Rv1256c, Rv1246c, Rv2009, Rv1985c, Rv3607c, Rv3743c
Rv0837c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv0516c, Rv0447c, Rv2590, Rv0899, Rv0159c, Rv0676c, Rv3617, Rv1747, Rv3824c, Rv0598c
Rv0838	lpqR	Probable conserved lipoprotein LpqR	Non essential	cell wall and cell processes	Rv0844c, Rv2820c, Rv2484c, Rv0518, Rv3056, Rv0194, Rv2763c, Rv0386, Rv3487c, Rv1143
Rv0839	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2332, Rv0956, Rv3886c, Rv0512, Rv1242, Rv2196, Rv2950c, Rv1103c, Rv1981c, Rv0934
Rv0840c	pip	Probable proline iminopeptidase Pip (prolyl aminopeptidase) (pap)	Non essential	intermediary metabolism and respiration	Rv3133c, Rv2429, Rv2006, Rv1777, Rv0182c, Rv0114, Rv0889c, Rv3089, Rv1180, NONE
Rv0841	-	Probable conserved transmembrane protein	Non essential	cell wall and cell processes	Rv1379, Rv0761c, Rv3199c, Rv2200c, Rv0379, Rv1335, Rv2743c, Rv3654c, Rv1089, Rv1962c
Rv0842	-	Probable conserved integral membrane protein	Non essential	cell wall and cell processes	Rv1372, Rv2748c, Rv1981c, Rv3152, Rv1266c, Rv2005c, Rv3660c, Rv0867c, Rv0980c, Rv1103c
Rv0843	-	Probable dehydrogenase	Non essential	intermediary metabolism and respiration	Rv2821c, Rv1180, Rv1425, Rv2952, Rv0570, Rv1129c, Rv3088, Rv1029, Rv0114, Rv0889c
Rv0844c	narL	Possible nitrate/nitrite response transcriptional regulatory protein NarL	Non essential	regulatory proteins	Rv0838, Rv2820c, Rv2763c, Rv0194, Rv0386, Rv1143, Rv1552, Rv0518, Rv3056, Rv2484c
Rv0845	-	Possible two component sensor kinase	Non essential	regulatory proteins	Rv1876, Rv3377c, Rv1983, Rv1980c, Rv0643c, Rv0058, Rv3408, Rv2296, Rv3573c, NONE
Rv0846c	-	Probable oxidase	Non essential	intermediary metabolism and respiration	Rv3464, Rv2111c, Rv2523c, Rv0510, Rv1240, Rv3846, Rv2124c, Rv2711, Rv3303c, Rv2611c
Rv0847	lpqS	Probable lipoprotein LpqS	Non essential	cell wall and cell processes	Rv0677c, Rv3452, Rv0908, Rv1886c, Rv1368, Rv3109, Rv3826, Rv3600c, Rv3309c, Rv0620
Rv0848	cysK2	Possible cysteine synthase a CysK2 (O-acetylserine sulfhydrylase) (O-acetylserine (thiol)-lyase) (CSASE)	Non essential	intermediary metabolism and respiration	Rv2416c, Rv0980c, Rv3392c, Rv3145, Rv3151, Rv3150, Rv1372, Rv0505c, Rv3124, Rv0445c
Rv0849	-	Probable conserved integral membrane transport protein	Non essential	cell wall and cell processes	Rv0006, Rv1625c, Rv0286, Rv2294, Rv1161, Rv3366, Rv1196, Rv2299c, Rv1660, Rv0977
Rv0850	-	Putative transposase (fragment)	Non essential	insertion seqs and phages	Rv1991c, Rv3310, Rv0595c, Rv1247c, Rv1736c, Rv2074, Rv1168c, Rv3287c, Rv0631c, Rv1542c
Rv0851c	-	Probable short-chain type dehydrogenase/reductase	Non essential	intermediary metabolism and respiration	Rv2976c, Rv2088, Rv3328c, Rv3567c, Rv3812, Rv0234c, Rv3655c, Rv1885c, Rv0469, Rv2822c
Rv0852	fadD16	Possible fatty-acid-CoA ligase FadD16 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	Non essential	lipid metabolism	Rv2112c, Rv2579, Rv0438c, Rv2922c, Rv3318, Rv1675c, Rv1160, Rv0230c, Rv2548, NONE
Rv0853c	pdc	Probable pyruvate or indole-3-pyruvate decarboxylase Pdc	Non essential	intermediary metabolism and respiration	Rv1288, Rv2801A, Rv1077, Rv1433, Rv0813c, Rv2482c, Rv1329c, Rv3379c, Rv0032, Rv3731
Rv0854	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2482c, Rv2801A, Rv0032, Rv1077, Rv3379c, Rv1650, Rv1288, Rv0853c, Rv1329c, Rv2388c
Rv0855	far	Probable fatty-acid-CoA racemase Far	Non essential	lipid metabolism	Rv3724B, Rv0827c, Rv2625c, Rv1121, Rv2928, Rv0486, Rv2702, Rv2596, Rv0933, Rv0045c
Rv0856	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0751c, Rv2430c, Rv2959c, Rv1185c, Rv1076, Rv2350c, Rv2744c, Rv1223, Rv2027c, Rv3203
Rv0857	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1253, Rv1739c, Rv2103c, Rv3841, Rv2002, Rv0254c, Rv3082c, Rv2602, Rv1857, Rv2010
Rv0858c	dapC	Probable N-succinyldiaminopimelate aminotransferase DapC (DAP-at)	Non essential	intermediary metabolism and respiration	Rv3364c, Rv2002, Rv0254c, Rv2602, Rv3841, Rv1102c, Rv1739c, Rv3082c, Rv0409, NONE
Rv0859	fadA	Possible acyl-CoA thiolase FadA	Non essential	lipid metabolism	Rv0860, Rv2051c, Rv2524c, Rv1700, Rv2869c, Rv2171, Rv1280c, Rv1412, Rv2151c, Rv0437c
Rv0860	fadB	Probable fatty oxidation protein FadB	Non essential	lipid metabolism	Rv0859, Rv2051c, Rv2524c, Rv2869c, Rv1700, Rv2171, Rv0437c, Rv1280c, Rv1159, Rv2151c
Rv0861c	ercc3	DNA helicase Ercc3	Non essential	information pathways	Rv1849, Rv0321, Rv1712, Rv3214, Rv3087, Rv0732, Rv3505, Rv3809c, Rv2427c, Rv2179c
Rv0862c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2822c, Rv3328c, Rv0192, Rv3812, Rv3655c, Rv2976c, Rv1021, Rv2817c, Rv2818c, Rv3567c
Rv0863	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1180, Rv0114, Rv2821c, Rv0889c, Rv1425, Rv2006, Rv0187, Rv2688c, Rv0570, Rv1777
Rv0864	moaC2	Probable molybdenum cofactor biosynthesis protein C 2 MoaC2	Non essential	intermediary metabolism and respiration	Rv1860, Rv2427c, Rv3703c, Rv1478, Rv1846c, Rv3505, Rv0191, Rv3313c, Rv1447c, Rv0693
Rv0865	mog	Probable molybdopterin biosynthesis Mog protein	Non essential	intermediary metabolism and respiration	Rv3364c, Rv0858c, Rv0987, Rv0254c, Rv0586, NONE, NONE, NONE, NONE, NONE
